dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,26.864955,21.769579,18.923239,10.342688,2.747537,16.338934,4.151323,2.061530,0.318821,28.896021,8.954937
cuda,Background_Matting,4,23.178231,19.299182,16.147939,8.900171,2.553393,16.030953,5.750928,2.993104,0.235270,29.256491,9.891405
cuda,LearningToPaint,96,13.570408,12.162401,8.486274,5.738278,0.997481,10.022065,1.239496,0.728934,0.074132,25.347942,5.614748
cuda,Super_SloMo,6,24.092411,21.160823,17.964668,10.770733,2.683350,16.769018,5.884048,2.951034,0.151485,8.832673,8.341451
cuda,alexnet,128,6.929023,6.432658,2.690440,2.278086,0.183909,5.850120,0.957927,0.333629,0.015722,3.766630,4.502810
cuda,attention_is_all_you_need_pytorch,256,28.050234,23.652662,20.277183,11.196337,2.575537,18.415968,5.030505,2.361497,0.391017,32.676997,10.347328
cuda,dcgan,32,6.221437,5.791324,2.693892,2.176474,0.348032,3.278386,0.209198,0.115653,0.012629,1.466037
cuda,demucs,4,14.572730,12.864993,9.622224,8.429888,0.466612,13.776145,1.282649,0.670521,0.044765,7.926798,5.844650
cuda,densenet121,4,53.591571,45.349203,42.012724,23.865796,7.315776,35.779920,13.910508,5.607060,0.694341,56.937486,20.038252
cuda,dlrm,1024,5.579262,5.190735,2.359499,1.703990,0.178964,3.205186,0.387151,0.167583,0.016320,1.694101
cuda,drq,1,7.543990,6.674064,3.208538,2.690724,0.134328,4.354192,0.195283,0.116472,0.015783,1.810950
cuda,fastNLP_Bert,6,29.757011,24.307338,21.420973,13.628104,2.302149,19.126112,4.051895,2.119061,0.307366,7.145758,7.997699
cuda,functorch_dp_cifar10,64,12.848122,11.615666,8.486136,5.544684,1.319083,11.380693,2.398560,1.106910,0.066221,33.549353,7.233718
cuda,hf_Albert,8,20.116986,17.477016,14.367135,7.075615,1.878559,12.029150,3.403499,1.521019,0.151161,8.713980,6.987802
cuda,hf_Bart,4,40.034513,29.231110,26.198681,15.914725,3.056336,24.025566,4.958669,2.689681,0.284548,4.023960,11.420078
cuda,hf_Bert,4,23.981482,19.026556,15.951663,8.370782,2.018917,13.827200,4.074281,1.946261,0.285911,3.417403,7.664778
cuda,hf_Bert_large,4,41.186507,30.556654,27.536606,12.633466,3.765707,20.830084,7.744876,3.723282,0.807945,3.221839,12.767303
cuda,hf_BigBird,2,78.230881,65.192899,61.770221,33.419158,8.964219,52.742763,23.298484,10.939570,0.589217,9.667486,29.511628
cuda,hf_DistilBert,8,16.287654,13.874127,10.513924,6.503552,1.296977,10.636822,1.899634,1.066471,0.117366,6.149044,5.525702
cuda,hf_GPT2,4,23.713891,18.830527,15.445385,8.747586,2.156817,12.960615,3.761660,1.778898,0.258778,8.132111,6.547135
cuda,hf_GPT2_large,4,59.182135,43.638815,40.669227,20.641618,6.230596,35.195015,13.227086,5.401593,1.395931,16.221453,21.625050
cuda,hf_Longformer,2,78.048889,66.772604,63.643507,40.365187,8.558547,55.644588,21.621833,8.241867,0.437916,6.280320,24.473779
cuda,hf_Reformer,4,32.858513,28.169312,24.405338,22.150959,0.775285,27.438495,1.349705,0.770415,0.071394,5.608389,6.170257
cuda,hf_T5,8,26.924958,21.363997,18.732783,9.757305,2.705531,15.680242,4.040880,2.227942,0.303866,8.688078,9.178642
cuda,hf_T5_large,2,99.762911,71.880608,68.733623,32.288653,10.407165,49.956917,21.645138,7.365249,2.580240,27.492182,29.049819
cuda,lennard_jones,1000,4.203360,3.814264,1.493249,1.198102,0.068435,2.262081,0.211321,0.062977,0.006442,1.138785
cuda,mnasnet1_0,32,24.522371,21.306288,17.300169,10.577885,2.616510,16.259207,3.741230,1.926704,0.207677,75.016257,8.494323
cuda,mobilenet_v2,96,26.676276,23.382735,20.100606,12.354076,2.855737,17.920092,4.276598,2.319652,0.235068,93.966520,8.634875
cuda,mobilenet_v3_large,32,25.284364,21.701875,18.292290,10.779171,2.745984,17.903422,4.296947,2.463200,0.235692,100.387218,10.345273
cuda,nvidia_deeprecommender,256,5.419675,4.929271,2.064028,1.589917,0.135363,4.829505,0.286930,0.092257,0.009777,3.386936,0.565320
cuda,phlippe_densenet,128,27.470263,24.057143,20.774079,13.939799,2.740195,21.034513,4.582451,2.371192,0.224933,124.853772,10.034087
cuda,phlippe_resnet,128,11.395570,10.043552,6.919583,4.281043,0.931026,7.054035,1.053883,0.695051,0.068628,16.013115,3.778177
cuda,pytorch_CycleGAN_and_pix2pix,1,12.456880,11.255344,8.103196,5.017610,1.043494,8.954850,2.163673,1.007890,0.069766,16.509231,5.054680
cuda,pytorch_stargan,16,12.351699,11.128508,7.946764,4.951191,0.939114,8.487792,1.236373,0.539466,0.059200,27.383051,4.557178
cuda,pytorch_struct,200,6.489767,5.726902,2.771795,1.960649,0.157310,5.557475,0.268606,0.173929,0.020787,3.775486,8.427569
