dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,15.148130,13.182905,5.303571,1.936388,10.242677,3.732675,1.316517,0.160861,1.354462,1.434198,8.331558
cuda,AlbertForQuestionAnswering,4,14.832128,12.931801,5.185416,1.865103,9.967940,3.563816,1.278674,0.152101,0.917800,1.061996,7.656447
cuda,AllenaiLongformerBase,4,63.013881,54.139269,32.510023,6.542883,40.258800,17.406826,6.157819,0.456079,16.823476,3.260854,31.493960
cuda,BartForCausalLM,4,19.512909,16.222218,7.761840,2.110082,10.912877,4.088754,1.856145,0.342448,2.074620,2.308620,7.639077
cuda,BartForConditionalGeneration,2,51.147313,42.239167,18.697647,6.079241,24.642598,11.612362,4.749103,1.409739,0.847008,1.235641,13.180827
cuda,BertForMaskedLM,16,19.917885,16.358930,7.330958,2.251536,10.528967,4.490196,1.920188,0.358979,1.784657,2.219359,7.357810
cuda,BertForQuestionAnswering,16,19.772019,16.272897,7.305350,2.211224,10.401771,4.406245,1.893124,0.346068,1.335893,1.675136,6.765516
cuda,BlenderbotSmallForCausalLM,64,12.964463,10.737684,4.732981,1.407473,7.106658,2.557626,1.283494,0.203389,2.694694,6.556571,2.423207
cuda,BlenderbotSmallForConditionalGeneration,64,32.662746,26.994710,12.449344,3.954983,16.707855,7.705883,3.251464,0.772992,1.909469,1.889184,10.327910
cuda,CamemBert,16,19.680823,16.163683,7.192623,2.233240,10.273327,4.441492,1.899254,0.354634,0.687827,1.067408,6.123606
cuda,DebertaForMaskedLM,4,33.387409,26.414621,16.344291,3.059300,20.005867,5.736664,2.719808,0.397538,14.791112,2.660887,21.787849
cuda,DebertaForQuestionAnswering,8,33.599980,26.604324,16.476352,3.029740,19.949326,5.718959,2.706283,0.395339,16.031014,3.022053,22.810050
cuda,DebertaV2ForMaskedLM,1,51.288867,37.803340,19.854000,4.623919,23.187994,7.364242,3.872483,0.706657,34.507283,1.854960,42.938266
cuda,DebertaV2ForQuestionAnswering,2,51.641062,38.143839,20.120577,5.133420,24.356181,8.850285,4.491771,0.709822,34.714206,0.572760,44.560089
cuda,DistilBertForMaskedLM,128,11.999560,10.389264,5.590513,1.180342,7.591470,2.373772,1.045257,0.148279,1.419647,4.019325,4.666409
cuda,DistilBertForQuestionAnswering,256,11.925546,10.344860,5.618469,1.146285,7.742198,2.399900,1.043764,0.143030,0.803401,3.011888,4.136256
cuda,DistillGPT2,16,10.743323,9.180018,4.857721,1.243005,6.950193,2.247792,0.970596,0.132339,1.789198,2.726688,5.184735
cuda,ElectraForCausalLM,32,21.878616,18.270370,9.189797,2.248716,15.186689,4.612594,1.966748,0.350602,3.690738,4.078764,12.064716
cuda,ElectraForQuestionAnswering,64,20.187177,16.556657,7.460727,2.257678,12.700818,4.549604,1.926372,0.351263,2.149002,2.444081,9.770737
cuda,GPT2ForSequenceClassification,4,17.588340,14.663040,6.729389,2.656030,9.510851,3.900270,1.769449,0.303170,1.765249,2.525588,7.312173
cuda,LayoutLMForMaskedLM,16,21.523714,17.696910,8.512991,2.306706,11.756600,4.576082,1.964910,0.357312,1.814442,2.613412,7.489670
cuda,LayoutLMForSequenceClassification,16,21.710741,17.910279,8.764134,2.329880,13.593916,5.339725,2.219890,0.346581,6.278697,7.040052,13.562617
cuda,M2M100ForConditionalGeneration,16,46.851193,38.443704,17.377659,6.055545,24.970879,10.116802,4.746606,1.022588,4.487499,11.555683,18.431322
cuda,MBartForCausalLM,4,20.436675,17.099997,8.487538,2.293538,12.005822,4.372464,1.972669,0.376593,2.147808,2.283340,8.270136
cuda,MBartForConditionalGeneration,2,48.498406,39.827810,17.524603,6.354041,25.271245,12.119022,5.555486,1.564446,0.581517,0.666387,14.997474
cuda,MT5ForConditionalGeneration,16,31.672346,26.460576,11.718576,4.041917,17.443903,7.942198,2.995253,0.577599,4.084606,23.749909,14.060306
cuda,MegatronBertForCausalLM,4,38.922717,31.615101,13.641379,5.210335,19.509050,9.748726,3.898540,1.035952,1.057615,1.966685,12.390915
cuda,MegatronBertForQuestionAnswering,8,39.528091,32.259090,13.511167,5.131391,19.279344,9.506317,3.848874,1.039687,1.453699,1.628116,12.599121
cuda,MobileBertForMaskedLM,64,51.505900,42.767593,12.982457,6.223508,30.090912,15.514954,6.444274,4.247117,3.082380,4.445526,27.288175
cuda,MobileBertForQuestionAnswering,128,51.778473,42.969992,12.406820,6.208097,29.837501,15.471038,6.399274,4.116882,2.584871,2.842506,26.618006
cuda,OPTForCausalLM,2,19.525036,16.394830,8.044853,2.442077,11.232298,4.489857,2.011625,0.337350,2.344151,3.099132,8.091508
cuda,PLBartForCausalLM,8,11.967893,10.246100,5.603558,1.151638,7.868328,2.238550,0.995925,0.143902,1.317519,1.513505,4.795972
cuda,PLBartForConditionalGeneration,4,25.578440,21.432139,9.642978,3.174549,13.699922,5.667031,2.525269,0.514654,2.406678,2.645090,9.799365
cuda,PegasusForCausalLM,32,19.693468,16.347741,7.997523,2.392270,11.895421,4.106793,1.945805,0.372870,2.627749,2.479514,9.039319
cuda,PegasusForConditionalGeneration,32,37.872222,33.487257,13.286739,4.753757,22.028879,9.602172,4.280776,0.976032,1.871942,0.657434,15.629094
cuda,RobertaForCausalLM,16,20.071105,16.514184,7.426385,2.266252,10.367088,4.546319,1.945639,0.351487,0.704197,1.392715,6.034247
cuda,RobertaForQuestionAnswering,16,19.910712,16.358013,7.296970,2.217176,10.057156,4.432826,1.899697,0.344359,0.383364,0.765771,5.485013
cuda,Speech2Text2ForCausalLM,256,12.226060,10.429588,6.231135,0.994987,8.758012,1.949300,0.980865,0.142892,1.461319,1.345241,5.043674
cuda,T5ForConditionalGeneration,4,23.724049,19.940465,9.402219,2.676309,13.437592,5.373572,2.152924,0.364067,3.052861,8.049188,9.909891
cuda,T5Small,4,22.814446,19.115698,9.253107,2.904305,13.107536,5.340506,2.137271,0.357433,3.170402,7.959848,10.070472
