,Compiler,torchbench,huggingface,timm_models
eager,eager,"98%, 50/51","100%, 44/44","100%, 68/68"
ts_nvfuser,ts_nvfuser,"90%, 46/51","89%, 39/44","100%, 68/68"
aot_eager,aot_eager,"92%, 47/51","100%, 44/44","100%, 68/68"
aot_cudagraphs,aot_cudagraphs,"2%, 1/51","0%, 0/44","0%, 0/68"
aot_nvfuser,aot_nvfuser,"86%, 44/51","100%, 44/44","94%, 64/68"
inductor_cudagraphs,inductor_cudagraphs,"73%, 37/51","93%, 41/44","96%, 65/68"
