,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.01x,1.00x
aot_eager,aot_eager,1.00x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.21x,1.05x,1.00x
aot_nvfuser,aot_nvfuser,1.17x,0.0x,1.19x
inductor,inductor,1.84x,1.76x,1.41x
inductor_no_cudagraphs,inductor_no_cudagraphs,1.38x,1.54x,1.37x
