,Compiler,torchbench,huggingface,timm_models
eager,eager,"96%, 54/56","100%, 46/46","100%, 61/61"
aot_eager,aot_eager,"91%, 51/56","100%, 46/46","100%, 61/61"
inductor,inductor,"86%, 48/56","83%, 38/46","89%, 54/61"
inductor_no_cudagraphs,inductor_no_cudagraphs,"89%, 50/56","98%, 45/46","95%, 58/61"
