dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.709504,6.801478,2.873433,9.340471,3.858244,1.569463,0.304661,9.133670,5.533532
cuda,Background_Matting,4,1.754571,6.368824,2.741733,11.274537,4.725523,2.035014,0.216356,7.889394,7.738271
cuda,LearningToPaint,96,0.700542,3.970497,0.971586,6.238488,1.515784,0.626768,0.076751,23.534481,3.275566
cuda,Super_SloMo,6,1.936159,8.071428,2.984994,10.049296,5.409000,1.955192,0.134652,5.051374
cuda,alexnet,128,0.135708,1.614773,0.196936,2.349478,0.443818,0.191625,0.015198,0.937886
cuda,attention_is_all_you_need_pytorch,256,2.177422,7.246082,2.422732,9.881586,4.097935,1.736978,0.360401,9.078598,5.177891
cuda,dcgan,32,0.138064,1.905865,0.192538,2.539099,0.215388,0.088200,0.012821,6.643559,0.832824
cuda,demucs,4,0.269127
cuda,densenet121,4,4.127945,19.950881,7.253508,34.380763,17.584622,5.733388,0.771972,334.515490,22.543241
cuda,dlrm,2048,0.424542,1.175452,0.175037,2.229423,0.380342,0.127963,0.016096,1.236904
cuda,drq,1,0.240215,1.717228,0.142469,2.705932,0.152459,0.078560,0.015480,1.139312
cuda,fastNLP_Bert,6,2.858986,8.406929,2.132307,11.424493,4.024523,1.646063,0.298654,4.262569,5.255826
cuda,hf_Albert,8,2.174488,3.721865,1.868655,7.006604,3.264254,1.133876,0.145877,5.239599,2.523291
cuda,hf_Bart,4,3.164591,8.930584,3.162321,12.976769,4.992103,2.013376,0.406909,3.990626,7.612632
cuda,hf_Bert,4,2.629919,5.121354,2.357382,7.893643,3.752186,1.483704,0.283841,5.236118,0.420037
cuda,hf_DistilBert,8,1.215317,3.433652,1.330656,5.572567,2.068238,0.879350,0.121413,3.526770,2.291354
cuda,hf_GPT2,4,2.535078,4.950257,2.051473,7.995322,3.619092,1.419422,0.279990,5.184943,1.847864
cuda,hf_GPT2_large,4,8.739302,13.313894,7.205630,20.059386,10.280000,3.964963,1.264923,14.214224,1.519475
cuda,hf_Reformer,4,2.234278,7.718890,0.734955,8.429369,1.151266,0.741084,0.054181,3.148838,1.481117
cuda,hf_T5,8,3.540351,7.247961,2.512551,11.038791,4.294080,1.585694,0.303435,5.873603,6.422490
cuda,hf_T5_large,2,17.715764,24.299479,9.631844,37.789906,21.334636,5.972074,2.502367,23.194041,23.603132
cuda,lennard_jones,1000,0.110052,0.937387,0.074990,1.501319,0.072922,0.046532,0.006596,0.643329
cuda,mnasnet1_0,32,1.563426,8.264780,2.536654,12.791894,5.092538,1.966176,0.251504,93.227360,7.158731
cuda,mobilenet_v2,96,1.661826,8.976388,2.740977,13.450214,5.597460,2.113373,0.281476,54.079273,7.311511
cuda,mobilenet_v3_large,32,1.738845,8.736062,3.099542,14.399945,5.623142,2.249434,0.287967,115.503322,8.863320
cuda,nvidia_deeprecommender,256,0.198174,1.064622,0.120835,2.101027,0.117356,0.066555,0.009668,1.164524,0.432247
cuda,pytorch_CycleGAN_and_pix2pix,1,0.649557,2.501900,1.146163,4.346975,1.773074,0.700517,0.073781,3.034733
cuda,pytorch_stargan,16,0.648126,2.100341,0.910456,3.532962,0.945919,0.484507,0.047996,2.378613,18.851979
