dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,3.001112,13.752863,4.751834,22.716933,10.942683,4.435255,0.621327,37.734574,56.051168,51.625195
cuda,beit_base_patch16_224,64,1.972277,6.295053,2.174593,10.145915,4.156054,1.591200,0.244401,1.119370,1.799972,7.250166
cuda,botnet26t_256,128,1.791289,11.155726,2.776197,16.773118,7.673600,2.696801,0.177917,17.533985,30.469812,26.002332
cuda,cait_m36_384,4,6.283129,13.755151,7.536514,25.521882,13.449164,5.584334,1.756221,6.968389,7.230379,26.628578
cuda,coat_lite_mini,128,1.880401,7.533224,2.484889,15.396934,7.261444,2.345777,0.208764,13.884783,48.067298,24.328628
cuda,convit_base,64,1.940221,6.401139,2.491727,12.763981,5.636508,2.233847,0.281215,4.376473,5.991946,13.343032
cuda,convmixer_768_32,32,2.297915,6.666067,2.913662,10.572287,4.223241,1.942873,0.340775,6.104151,6.802650,13.280574
cuda,convnext_base,64,2.754779,8.831244,4.884154,17.761169,8.937561,3.204243,0.519077,18.208586,39.136239,32.200432
cuda,crossvit_9_240,128,3.026974,8.776962,3.669742,14.990087,7.363458,2.691787,0.396629,8.413801,9.207230,18.450772
cuda,cspdarknet53,64,3.554053,9.654329,3.676029,15.135394,5.734305,2.979906,0.414016,38.335151,54.143458,47.627463
cuda,deit_base_distilled_patch16_224,64,1.555272,5.338490,1.993004,11.996577,3.926969,1.502518,0.215617,2.583585,2.660597,11.322361
cuda,dla102,128,3.611869,13.779040,5.498343,21.849168,9.939389,3.903213,0.724819,26.598530,46.839674,40.365387
cuda,dm_nfnet_f0,128,3.001692,9.648990,5.827454,15.377915,7.176225,2.381309,0.297995,17.900125,29.256773,29.650553
cuda,dpn107,32,5.874260,14.150930,5.467226,24.630357,11.332292,4.489909,0.648592,27.819141,76.325045,44.012256
cuda,eca_botnext26ts_256,128,1.907364,11.683438,2.854470,18.078650,8.025209,2.846021,0.189307,23.383510,30.172240,32.716413
cuda,ese_vovnet19b_dw,128,1.326250,7.175306,1.720974,11.553018,4.285860,1.616062,0.144396,17.339733,34.562625,23.491419
cuda,fbnetc_100,128,3.164008,9.954541,3.185547,16.200181,6.410506,2.456120,0.362106,37.407432,61.846559,46.959126
cuda,fbnetv3_b,128,5.121071,14.199489,5.444067,22.378963,10.758870,3.956759,0.794193,43.781459,66.471382,57.623769
cuda,gernet_l,128,2.981673,7.781170,2.791018,12.373048,4.185979,2.315426,0.306741,16.708650,25.238225,24.196773
