dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,timm_models,dm_nfnet_f0,9.694,128,1.0,1.0,590.0,590.0,1.0,0.9981
cuda,huggingface,AllenaiLongformerBase,9.4868,1,4.0,4.0,3312.0,3315.0,0.9991,0.9944
cuda,timm_models,fbnetv3_b,9.4442,128,1.0,1.0,456.0,456.0,1.0,0.9981
cuda,timm_models,gluon_senet154,9.3537,64,1.0,1.0,979.0,979.0,1.0,0.9991
cuda,torchbench,timm_nfnet,9.3485,128,1.0,1.0,590.0,590.0,1.0,0.9984
cuda,timm_models,cait_m36_384,8.3983,4,1.0,1.0,1380.0,1380.0,1.0,0.999
cuda,huggingface,YituTechConvBert,8.2956,1,1.0,1.0,680.0,680.0,1.0,0.9979
cuda,timm_models,resnest101e,7.8162,64,1.0,1.0,1011.0,1011.0,1.0,0.9991
cuda,huggingface,BigBird,7.7488,1,64.0,75.0,5439.0,5517.0,0.9859,0.9716
cuda,torchbench,hf_BigBird,7.7063,1,64.0,75.0,5376.0,5447.0,0.987,0.9679
cuda,huggingface,T5ForConditionalGeneration,7.6627,4,1.0,1.0,863.0,863.0,1.0,0.9986
cuda,huggingface,T5Small,7.553,1,1.0,1.0,869.0,869.0,1.0,0.9978
cuda,huggingface,GPTNeoForSequenceClassification,7.5059,4,2.0,2.0,1192.0,1192.0,1.0,0.9993
cuda,huggingface,GPTNeoForCausalLM,7.3643,4,1.0,1.0,1271.0,1271.0,1.0,0.9994
cuda,torchbench,hf_T5,7.3505,1,1.0,1.0,867.0,867.0,1.0,0.9982
cuda,timm_models,densenet121,6.6048,128,13.0,13.0,565.0,572.0,0.9878,0.9958
cuda,timm_models,xcit_large_24_p8_224,6.5112,11,1.0,1.0,1301.0,1301.0,1.0,0.9991
cuda,timm_models,cspdarknet53,6.4603,64,1.0,1.0,305.0,305.0,1.0,0.9977
cuda,huggingface,PegasusForConditionalGeneration,6.2962,8,7.0,7.0,1303.0,1306.0,0.9977,0.9979
cuda,huggingface,DebertaV2ForQuestionAnswering,6.295,4,163.0,99.0,958.0,1049.0,0.9133,0.7873
cuda,huggingface,DebertaV2ForMaskedLM,6.2908,4,163.0,99.0,956.0,1037.0,0.9219,0.7837
cuda,huggingface,XGLMForCausalLM,6.2746,4,4.0,4.0,1002.0,1002.0,1.0,0.9974
cuda,huggingface,M2M100ForConditionalGeneration,6.1887,4,7.0,7.0,1317.0,1319.0,0.9985,0.9972
cuda,timm_models,twins_pcpvt_base,5.9144,128,1.0,1.0,1089.0,1089.0,1.0,0.9982
cuda,timm_models,nfnet_l0,5.8085,128,1.0,1.0,521.0,521.0,1.0,0.9982
cuda,timm_models,legacy_senet154,5.6427,64,1.0,1.0,979.0,979.0,1.0,0.9993
cuda,timm_models,res2net101_26w_4s,5.6412,128,1.0,1.0,842.0,842.0,1.0,0.999
cuda,timm_models,poolformer_m36,5.5404,64,1.0,1.0,619.0,619.0,1.0,0.9984
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.5034,64,1.0,1.0,879.0,879.0,1.0,0.9981
cuda,huggingface,LayoutLMForMaskedLM,5.3739,16,1.0,1.0,452.0,452.0,1.0,0.9966
cuda,huggingface,ElectraForCausalLM,5.2892,32,1.0,1.0,412.0,412.0,1.0,0.9967
cuda,timm_models,gernet_l,5.2858,128,1.0,1.0,246.0,246.0,1.0,0.9967
cuda,huggingface,LayoutLMForSequenceClassification,5.2388,16,2.0,2.0,457.0,458.0,0.9978,0.9958
cuda,huggingface,RobertaForCausalLM,5.2052,64,1.0,1.0,416.0,416.0,1.0,0.9968
cuda,huggingface,ElectraForQuestionAnswering,5.1921,64,1.0,1.0,401.0,401.0,1.0,0.997
cuda,huggingface,RobertaForQuestionAnswering,5.1787,64,1.0,1.0,409.0,409.0,1.0,0.9954
cuda,huggingface,BertForQuestionAnswering,5.1188,64,1.0,1.0,410.0,410.0,1.0,0.9965
cuda,huggingface,CamemBert,5.0768,1,1.0,1.0,412.0,412.0,1.0,0.9965
cuda,huggingface,BertForMaskedLM,5.0448,64,1.0,1.0,379.0,379.0,1.0,0.9966
cuda,torchbench,detectron2_maskrcnn,5.0329,2,123.0,120.0,1220.0,1767.0,0.6904,0.7036
cuda,timm_models,repvgg_a2,5.0135,128,1.0,1.0,231.0,231.0,1.0,0.9968
