dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,18.702285,16.152904,13.503934,6.738159,2.105031,13.190529,3.281830,1.567146,0.156059,0.002572,6.876466,8.715728
cuda,AlbertForQuestionAnswering,4,18.501956,15.993861,13.376136,6.653230,1.905173,12.913219,3.219067,1.545234,0.153062,0.002404,3.508498,8.502236
cuda,AllenaiLongformerBase,4,77.482259,66.502927,63.274806,41.443904,8.514126,56.389659,21.305437,7.780256,0.451229,17.735548,4.994723,41.925682
cuda,BartForCausalLM,4,28.498384,22.307803,19.293994,12.364784,1.918777,20.103277,3.357574,2.143085,0.216726,4.549480,2.772683,14.414434
cuda,BartForConditionalGeneration,2,50.462505,38.656174,35.966863,17.120776,4.940365,25.445816,9.967261,4.898964,1.271398,0.767782,0.428663,14.513997
cuda,BertForMaskedLM,16,23.869966,18.795052,16.247483,8.559293,2.053107,14.192962,4.093590,1.981796,0.295357,0.002492,2.968884,7.880170
cuda,BertForQuestionAnswering,16,23.180525,18.181957,15.636150,8.049455,2.017182,13.702199,4.009836,1.964939,0.294602,0.002529,2.643858,7.859607
cuda,BlenderbotSmallForCausalLM,64,20.311419,15.809364,12.981566,8.214023,1.315386,15.427734,2.392532,1.493449,0.148571,4.169092,3.020011,12.838155
cuda,BlenderbotSmallForConditionalGeneration,64,35.749152,28.163282,24.555894,12.156475,3.327789,19.189000,6.493194,3.274524,0.659571,1.639188,2.314649,12.311349
cuda,CamemBert,16,23.784602,18.779360,16.224307,8.539258,2.038814,13.403442,4.093223,1.989984,0.301477,0.002502,1.671091,7.092817
cuda,DistilBertForMaskedLM,128,17.767256,15.295896,11.895496,7.743485,1.270483,11.863669,1.963639,1.091941,0.122577,3.648351,8.966849,9.139696
cuda,DistilBertForQuestionAnswering,256,17.393842,14.958630,11.672657,7.568369,1.245996,12.019960,1.999287,1.083740,0.117042,3.637615,9.967279,9.431510
cuda,DistillGPT2,16,16.109256,13.691128,10.648292,7.213198,1.184269,11.545625,2.020103,1.004546,0.114581,1.002909,4.450263,6.608724
cuda,ElectraForCausalLM,32,34.238745,26.569061,23.401107,15.317367,2.294783,29.700241,4.140276,2.117650,0.311702,2.228104,9.380311,19.099725
cuda,ElectraForQuestionAnswering,64,25.298718,20.015322,16.778531,8.637283,2.050888,18.927412,4.102780,1.979056,0.305272,0.002486,2.915462,12.533430
cuda,GPT2ForSequenceClassification,4,23.013008,18.367022,15.418027,8.763521,2.230252,13.066720,3.780037,1.853135,0.267687,0.345798,2.468089,7.054248
cuda,LayoutLMForMaskedLM,16,25.460482,19.936236,16.831139,8.542230,2.086855,14.454913,4.141258,2.018137,0.307130,2.001832,2.965985,10.193039
cuda,LayoutLMForSequenceClassification,16,25.599170,20.010545,16.764052,8.506772,2.055880,16.209434,4.890672,2.240170,0.296701,5.854008,6.789860,15.803906
cuda,M2M100ForConditionalGeneration,16,55.025886,41.445256,38.384038,20.238327,5.140028,33.758643,9.025266,5.417657,0.685807,18.003146,23.668600,37.148460
cuda,MBartForCausalLM,4,28.356933,21.877814,18.975142,11.943245,2.081633,19.493042,3.456152,2.226817,0.229679,4.756190,2.852500,14.596097
cuda,MBartForConditionalGeneration,2,53.261281,41.170545,38.155490,19.492956,5.073377,30.530439,10.750116,5.085028,1.354541,0.729841,0.374611,17.627289
cuda,MT5ForConditionalGeneration,16,38.432018,30.483671,27.409930,13.520515,3.884133,22.185456,6.576379,2.740191,0.491805,39.311236,73.821297,52.211516
cuda,MegatronBertForCausalLM,4,41.443286,31.401272,28.527707,13.222581,4.329461,21.838303,8.579420,4.119242,0.915752,1.144074,3.017723,14.474022
cuda,MegatronBertForQuestionAnswering,8,41.306732,31.315346,28.386940,13.303235,4.290426,22.224417,8.388396,4.046458,0.928773,1.487496,2.892593,15.396860
cuda,MobileBertForMaskedLM,64,65.529429,49.451277,45.944009,17.214504,6.852837,35.441522,14.276237,7.705950,3.758603,22.389443,39.881971,48.143972
cuda,MobileBertForQuestionAnswering,128,65.245057,49.246520,45.708882,16.937623,6.863859,36.184753,14.294343,7.741750,3.783022,17.126883,33.478343,43.917207
cuda,OPTForCausalLM,2,24.411991,19.198222,16.377250,9.585579,2.086744,16.724428,3.691216,2.308555,0.225647,4.844788,2.557714,14.267772
cuda,PLBartForCausalLM,8,20.876940,17.193777,14.612641,10.844458,1.105589,17.215123,1.959394,1.161790,0.113755,2.512623,1.866510,10.105424
cuda,PLBartForConditionalGeneration,4,38.258615,29.426191,26.685584,17.085347,2.637557,25.643675,4.648069,2.773325,0.298547,4.273174,3.814047,15.723640
cuda,PegasusForCausalLM,32,25.826254,19.938210,17.269946,10.185879,2.037922,17.527066,3.435084,2.196280,0.225686,5.394270,3.417439,14.979882
cuda,PegasusForConditionalGeneration,32,45.704689,40.562994,37.778377,18.935776,5.070189,29.901524,9.559807,5.111819,0.982069,2.596915,1.890640,19.104089
cuda,RobertaForCausalLM,16,23.823092,18.770478,16.173708,8.411085,2.075990,13.009865,4.210559,2.039953,0.303491,0.002445,2.012138,6.865658
cuda,RobertaForQuestionAnswering,16,23.434813,18.406749,15.830029,8.178396,2.038541,12.338031,4.057786,1.966723,0.298477,0.002497,1.336085,6.389484
cuda,Speech2Text2ForCausalLM,256,19.092829,15.758794,13.138970,9.666514,0.926835,15.547458,1.826565,1.117931,0.115786,2.783912,4.038325,9.692522
cuda,T5ForConditionalGeneration,4,27.731406,22.307441,19.663837,10.422258,2.614669,16.120982,4.775461,2.001216,0.310935,3.070037,9.168911,11.624626
cuda,T5Small,4,27.646909,22.208739,19.544310,10.314268,2.609345,15.951413,4.755473,1.991505,0.311468,3.168133,9.487194,11.655629
cuda,TrOCRForCausalLM,32,28.287527,22.071461,19.275963,12.322773,1.868659,19.152514,3.364839,2.146841,0.216135,3.517783,1.782441,12.421648
cuda,XGLMForCausalLM,8,41.485726,31.744503,28.883567,14.445441,4.545961,25.219678,7.373930,4.605216,0.455752,9.964516,5.452050,25.696450
cuda,XLNetLMHeadModel,8,59.660876,48.539455,45.869281,23.599263,5.480998,31.493428,16.003545,4.548366,0.958195,11.516679,13.958538
cuda,YituTechConvBert,16,38.635229,27.750682,24.907680,13.114154,3.601232,25.183744,6.492183,3.050500,0.539060,1.122389,14.718100,17.089835
