dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,40.465241,34.557368,30.448661,17.672626,5.327631,27.039693,9.499299,5.156114,0.598618,42.212198,96.916044,57.279749
cuda,beit_base_patch16_224,64,20.957455,16.904849,14.013758,7.992946,1.722472,12.936125,3.936121,2.092297,0.276079,0.643952,3.252994,7.470843
cuda,botnet26t_256,128,26.507653,23.473574,19.082197,14.135988,2.492615,21.785355,6.152751,3.163391,0.148398,26.642646,52.617721,36.934222
cuda,cait_m36_384,4,57.893020,43.885777,40.958558,18.051582,6.229545,35.504320,16.128606,7.815874,2.193983,7.902322,22.013883,32.200693
cuda,coat_lite_mini,128,27.962172,24.478912,20.175652,14.047996,2.438808,26.748711,7.856811,3.453026,0.237939,13.387533,43.743573,28.686860
cuda,convit_base,64,24.771753,20.928151,16.986059,9.809795,2.225075,19.306787,5.453743,2.561178,0.298704,5.398152,8.579123,17.308033
cuda,convmixer_768_32,32,22.062697,20.367790,16.024700,6.936869,3.193777,12.077809,3.761180,2.151918,0.322580,2.739007,11.343518,2.051322
cuda,convnext_base,64,29.547982,22.750302,18.644709,10.169872,3.735349,19.502860,5.898639,3.031122,0.517967,6.270137,12.439908,19.584332
cuda,crossvit_9_240,128,32.487426,26.798668,22.397390,12.033440,3.082556,26.104106,7.689539,3.685308,0.470267,17.428681,32.477584,34.852862
cuda,cspdarknet53,64,31.718182,25.875035,21.672336,11.727052,4.018881,17.888925,5.108438,2.704299,0.340873,24.281222,52.648337,34.749447
cuda,deit_base_distilled_patch16_224,64,19.877268,16.642569,13.681392,8.269545,1.650816,24.968648,4.075289,1.955176,0.242191,2.284329,3.829154,20.778857
cuda,dla102,128,39.416696,32.986794,29.117320,14.945490,5.043101,22.429642,7.918386,3.962857,0.580813,17.119374,39.369680,30.328517
cuda,dm_nfnet_f0,128,27.559923,21.252113,17.867884,8.537270,3.572518,16.835958,5.480953,2.328622,0.288558,22.760345,27.964427,34.886393
cuda,dpn107,32,47.782618,37.894437,34.494627,17.828395,5.607874,27.331427,7.952864,4.825308,0.580541,15.831545,27.775221,31.777653
cuda,eca_botnext26ts_256,128,27.927963,24.702080,20.284184,14.525890,3.008567,22.034496,6.263682,2.963682,0.165565,31.212933,56.148022,41.908155
