dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,27.175602,22.094249,18.853965,10.303406,2.598742,16.474948,4.445911,2.124840,0.328050,26.650473,8.976575
cuda,Background_Matting,4,24.446037,20.515421,16.440167,9.482742,2.614810,17.028568,5.866395,2.985742,0.239168,31.314504,10.368904
cuda,LearningToPaint,96,14.424773,13.009642,8.616869,5.842983,1.012580,9.859659,1.256460,0.747377,0.077458,22.610331,5.373300
cuda,Super_SloMo,6,22.969031,20.010546,17.321024,10.479531,2.697171,16.173442,6.102532,2.723311,0.153074,8.539781,7.718969
cuda,alexnet,128,6.282974,5.786106,2.710897,2.306361,0.182251,5.727457,0.943425,0.329947,0.016016,3.614015,4.625165
cuda,attention_is_all_you_need_pytorch,256,27.198914,22.910793,19.968193,11.074408,2.814975,18.354035,4.677077,2.643032,0.385565,32.680237,10.330853
cuda,dcgan,32,6.133962,5.700995,2.658570,2.135888,0.350711,3.230440,0.209934,0.116955,0.012968,1.460245
cuda,demucs,4,13.983023,12.365537,9.262982,8.273683,0.457779,14.175771,1.158685,0.815545,0.045024,9.044055,6.390384
cuda,densenet121,4,52.843309,44.885914,41.604076,23.844968,7.269449,35.919645,13.906569,5.699572,0.711527,53.618207,20.141980
cuda,drq,1,6.848482,6.161457,3.204108,2.683020,0.139962,4.204885,0.190062,0.113181,0.016318,1.675632
cuda,fastNLP_Bert,6,29.230235,23.948274,21.097717,13.488666,2.301089,18.816111,3.998754,2.123402,0.314693,7.186895,7.819174
cuda,functorch_dp_cifar10,64,12.842323,11.432235,8.414884,5.612233,1.333542,11.311334,2.409516,1.096953,0.068575,34.761460,7.108980
cuda,hf_Albert,8,20.237953,17.586301,14.358760,7.088102,1.911323,12.320764,3.637780,1.555690,0.156322,9.780763,7.312564
cuda,hf_Bart,4,40.149081,29.713700,26.762178,16.913977,2.685681,25.676344,5.383727,3.235661,0.292175,4.371754,11.696951
cuda,hf_Bert,4,24.472669,19.607014,16.682189,9.188512,2.004455,14.526305,3.998573,1.952383,0.292441,3.352586,7.727235
cuda,hf_Bert_large,4,41.528071,31.110594,28.181878,13.135106,3.890644,21.571612,8.292485,3.836134,0.828047,3.303799,12.702181
cuda,hf_BigBird,2,76.597036,64.295307,61.148541,33.124458,9.147424,53.270862,22.827692,11.275837,0.598880,8.700794,29.979401
cuda,hf_DistilBert,8,16.423821,13.764091,10.564895,6.430924,1.071898,10.398010,1.893269,1.068348,0.121149,6.605718,5.134157
cuda,hf_GPT2,4,23.445350,18.650842,15.703180,9.075074,2.414165,13.001148,3.451282,1.794829,0.259292,7.944353,6.509845
cuda,hf_GPT2_large,4,58.980541,43.927443,40.921306,20.996782,6.476890,34.669307,11.945426,5.332176,1.448341,15.534452,21.205472
cuda,hf_Longformer,2,80.072774,68.610636,65.374663,43.101979,8.765272,58.857860,23.357689,7.730884,0.451375,6.575969,25.221018
cuda,hf_Reformer,4,28.799790,24.446240,21.469931,19.316546,0.786458,23.523185,1.550100,0.801480,0.073861,5.347883,5.102456
cuda,hf_T5,8,28.811764,22.693992,19.399006,10.074038,3.341832,15.643241,4.087936,1.942368,0.307397,8.726398,9.174829
cuda,hf_T5_large,2,99.615100,72.753808,69.655947,33.112521,10.462466,50.928534,22.031837,7.494056,2.595991,26.345967,29.233970
cuda,lennard_jones,1000,4.442715,4.051629,1.698808,1.402869,0.068184,2.387377,0.083979,0.195428,0.006710,1.059329
cuda,mnasnet1_0,32,24.303486,21.309225,17.179695,10.441838,2.901073,16.057934,3.759343,1.970839,0.215135,67.909202,8.725561
cuda,mobilenet_v2,96,26.108258,23.093129,18.958030,11.779572,2.629078,17.419601,4.369595,2.109629,0.237723,88.866230,8.471035
cuda,mobilenet_v3_large,32,26.808490,23.268522,19.210957,11.780195,2.988350,19.323468,4.565930,2.239886,0.246410,94.833094,10.732516
cuda,nvidia_deeprecommender,256,5.425778,4.934901,2.062324,1.589925,0.133999,4.583869,0.278247,0.093115,0.009962,3.140163,0.549870
cuda,phlippe_densenet,128,25.068877,21.937836,19.182808,12.493690,2.767293,18.882621,4.629033,2.392500,0.231571,128.253654,9.354770
cuda,phlippe_resnet,128,10.676510,9.349284,6.745381,4.104795,0.935628,6.782959,1.057754,0.718640,0.071785,16.052011,3.685374
cuda,pytorch_CycleGAN_and_pix2pix,1,11.497411,10.284517,7.578413,4.477438,1.060050,8.013946,2.202568,1.033136,0.073853,18.538197,4.672845
cuda,pytorch_stargan,16,11.724779,10.488282,7.811290,4.831005,0.955534,7.683630,1.257608,0.554126,0.062520,28.498486,3.889445
cuda,pytorch_struct,200,5.665186,4.917917,2.483378,1.720918,0.155983,5.018045,0.418516,0.176772,0.021652,3.473199,8.650738
cuda,pytorch_unet,1,13.750027,11.898489,9.277990,6.046939,1.145480,10.870421,2.537674,1.154062,0.089783,38.068211,6.056252
cuda,resnet152,32,48.644237,39.249658,36.391679,15.833805,7.198984,22.179913,9.405369,4.668722,0.978045,34.491169,14.649792
cuda,resnet18,16,12.490774,11.143092,8.389119,5.678733,1.042300,9.375107,2.056884,0.875943,0.073053,23.982853,4.811301
cuda,resnet50,32,21.102517,18.035456,15.255401,8.344444,2.502967,12.960915,3.762758,1.860744,0.219102,31.062676,7.310182
