,Compiler,torchbench,huggingface,timm_models
eager,eager,"90%, 53/59","100%, 45/45","68%, 41/60"
aot_eager,aot_eager,"88%, 52/59","100%, 45/45","92%, 55/60"
inductor,inductor,"86%, 51/59","87%, 39/45","97%, 58/60"
inductor_no_cudagraphs,inductor_no_cudagraphs,"85%, 50/59","98%, 44/45","95%, 57/60"
