dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,18.827144,16.256915,13.558694,6.755344,2.111182,13.104477,3.017665,1.551815,0.155658,6.902075,8.843279
cuda,AlbertForQuestionAnswering,4,18.858037,16.338841,13.667729,6.911119,1.885417,13.075802,2.994164,1.548062,0.155753,3.663289,8.613319
cuda,AllenaiLongformerBase,4,80.905652,69.580254,66.090216,43.394870,8.906363,59.329288,23.050191,8.215302,0.454118,4.959283,25.766498
cuda,BartForCausalLM,4,29.634780,23.335789,20.249224,13.032033,2.159781,20.154235,3.552139,2.612531,0.222342,2.664280,9.479398
cuda,BartForConditionalGeneration,2,51.279798,39.274909,36.298846,17.299065,5.445255,25.715586,10.083959,4.873245,1.255982,0.416189,14.325472
cuda,BertForMaskedLM,16,26.123312,20.601852,16.915654,9.072525,2.075290,15.408217,4.162930,2.009925,0.303463,2.877629,8.596028
cuda,BertForQuestionAnswering,16,23.854098,18.405464,15.831978,8.153760,2.040197,13.717009,4.097282,1.974059,0.292984,2.596221,7.793162
cuda,BlenderbotForCausalLM,4,41.713726,30.152789,27.408609,13.580771,4.143924,23.886843,8.001659,4.485691,0.441144,8.294904,14.831981
cuda,BlenderbotSmallForCausalLM,64,21.702860,16.976633,14.152447,8.977069,1.338605,16.555276,2.608256,1.478658,0.148467,2.989648,9.049084
cuda,BlenderbotSmallForConditionalGeneration,64,36.900296,28.736510,25.082366,12.382235,3.744166,19.143320,6.267945,3.343867,0.654591,2.303050,10.813554
cuda,CamemBert,16,23.714623,18.343185,15.766832,8.044499,2.079984,13.043853,4.123638,1.995375,0.306071,1.676973,7.264205
cuda,DebertaForMaskedLM,4,34.538549,27.105808,23.612298,16.386001,2.059123,26.791012,4.210965,2.557187,0.302605,3.141694,12.745021
cuda,DebertaForQuestionAnswering,8,31.011250,23.759923,21.122927,13.911939,2.018386,24.052970,4.424263,2.263059,0.298824,4.202199,12.436160
cuda,DebertaV2ForMaskedLM,1,48.155880,32.641030,29.763451,16.311290,3.047104,26.375077,6.311832,3.509068,0.578557,1.333445,13.621458
cuda,DebertaV2ForQuestionAnswering,2,46.660541,31.067782,27.963113,14.197860,3.268161,25.378718,6.583806,4.369630,0.593891,14.963944
cuda,DistilBertForMaskedLM,128,17.685909,15.153558,11.782723,7.657491,1.265058,12.100210,2.160019,1.088060,0.121380,8.610627,5.804644
cuda,DistilBertForQuestionAnswering,256,16.681490,14.235206,11.341926,7.402083,1.276674,12.120888,2.238664,1.089134,0.117221,10.405728,6.093605
cuda,DistillGPT2,16,15.955928,13.539420,10.499465,7.051973,1.220393,11.925875,2.271137,1.026062,0.113918,4.461339,6.185487
cuda,ElectraForCausalLM,32,34.946483,26.746647,23.532159,15.408262,2.293350,29.750602,4.127093,2.085621,0.309862,9.140968,16.830616
cuda,ElectraForQuestionAnswering,64,25.687586,20.071970,16.819908,8.724868,2.062137,18.962651,4.121552,1.978872,0.299378,2.994658,12.483792
cuda,GPT2ForSequenceClassification,4,23.979339,19.243571,16.137312,8.997010,2.250323,13.268226,3.838479,1.858464,0.266881,2.291107,6.699635
cuda,LayoutLMForMaskedLM,16,25.856752,19.972440,16.826759,8.547176,2.084369,14.414764,4.162166,1.991208,0.301677,2.982325,8.139015
cuda,LayoutLMForSequenceClassification,16,24.620184,18.826003,16.117212,8.269708,2.064276,16.061513,4.960337,2.256676,0.297228,7.196260,10.043036
cuda,M2M100ForConditionalGeneration,16,57.633216,43.080698,40.040891,20.901946,5.285527,35.003673,9.596705,5.982308,0.694932,23.975073,19.865317
cuda,MBartForCausalLM,4,29.391782,22.885999,19.982933,12.593262,2.084389,20.446731,3.865055,2.410062,0.225296,2.869182,10.136270
