263,performance,float32,day_263_09_20_22_performance_float32_29906
263,performance,float16,day_263_09_20_22_performance_float16_13488
264,performance,float32,day_264_09_21_22_performance_float32_17674
264,performance,amp,day_264_09_21_22_performance_amp_10274
264,performance,float16,day_264_09_21_22_performance_float16_29808
265,performance,float16,day_265_09_22_22_performance_float16_6379
265,performance,float32,day_265_09_22_22_performance_float32_6444
265,performance,amp,day_265_09_22_22_performance_amp_16095
267,performance,float32,day_267_24_09_22_performance_float32_530
267,performance,float32,day_267_24_09_22_performance_float32_279
268,performance,amp,day_268_25_09_22_performance_amp_223
268,performance,amp,day_268_25_09_22_performance_amp_408
268,performance,float32,day_268_25_09_22_performance_float32_799
268,performance,amp,day_268_25_09_22_performance_amp_316
268,performance,amp,day_268_25_09_22_performance_amp_776
268,performance,float32,day_268_25_09_22_performance_float32_530
269,performance,float32,day_269_26_09_22_performance_float32_623
269,performance,amp,day_269_26_09_22_performance_amp_799
270,performance,amp,day_270_27_09_22_performance_amp_714
270,performance,float32,day_270_27_09_22_performance_float32_405
271,performance,float32,day_271_28_09_22_performance_float32_517
271,performance,amp,day_271_28_09_22_performance_amp_637
271,performance,float32,day_271_28_09_22_performance_float32_767
272,performance,float32,day_272_29_09_22_performance_float32_258
272,performance,amp,day_272_29_09_22_performance_amp_571
273,performance,float32,day_273_30_09_22_performance_float32_120
273,performance,amp,day_273_30_09_22_performance_amp_571
274,performance,float32,day_274_01_10_22_performance_float32_939
275,performance,float32,day_275_02_10_22_performance_float32_287
275,performance,amp,day_275_02_10_22_performance_amp_674
279,performance,amp,day_279_06_10_22_performance_amp_693
279,performance,float32,day_279_06_10_22_performance_float32_204
280,performance,amp,day_280_07_10_22_performance_amp_275
280,performance,float32,day_280_07_10_22_performance_float32_923
281,performance,float32,day_281_08_10_22_performance_float32_861
281,performance,amp,day_281_08_10_22_performance_amp_184
282,performance,float32,day_282_09_10_22_performance_float32_428
282,performance,amp,day_282_09_10_22_performance_amp_983
283,performance,float32,day_283_10_10_22_performance_float32_417
283,performance,amp,day_283_10_10_22_performance_amp_527
284,performance,float32,day_284_11_10_22_performance_float32_408
284,performance,amp,day_284_11_10_22_performance_amp_361
285,performance,float32,day_285_12_10_22_performance_float32_829
285,performance,amp,day_285_12_10_22_performance_amp_528
286,performance,float32,day_286_13_10_22_performance_float32_930
286,performance,amp,day_286_13_10_22_performance_amp_220
287,performance,float32,day_287_14_10_22_performance_float32_124
287,performance,amp,day_287_14_10_22_performance_amp_648
288,performance,float32,day_288_15_10_22_performance_float32_833
288,performance,amp,day_288_15_10_22_performance_amp_610
289,performance,float32,day_289_16_10_22_performance_float32_750
289,performance,amp,day_289_16_10_22_performance_amp_367
290,performance,float32,day_290_17_10_22_performance_float32_780
290,performance,float32,day_290_17_10_22_performance_float32_664
290,performance,float32,day_290_17_10_22_performance_float32_361
290,performance,float32,day_290_17_10_22_performance_float32_231
290,performance,float32,day_290_17_10_22_performance_float32_805
290,performance,float32,day_290_17_10_22_performance_float32_385
290,performance,float32,day_290_17_10_22_performance_float32_358
290,performance,float32,day_290_17_10_22_performance_float32_328
290,performance,float32,day_290_17_10_22_performance_float32_620
290,performance,float32,day_290_17_10_22_performance_float32_801
290,performance,float32,day_290_17_10_22_performance_float32_953
290,performance,float32,day_290_17_10_22_performance_float32_695
290,performance,float32,day_290_17_10_22_performance_float32_119
290,performance,float32,day_290_17_10_22_performance_float32_460
290,performance,float32,day_290_17_10_22_performance_float32_866
291,performance,float32,day_291_18_10_22_performance_float32_938
291,performance,amp,day_291_18_10_22_performance_amp_993
292,performance,float32,day_292_19_10_22_performance_float32_450
292,performance,amp,day_292_19_10_22_performance_amp_311
292,performance,float32,day_292_19_10_22_performance_float32_886
293,performance,float32,day_293_20_10_22_performance_float32_220
293,performance,amp,day_293_20_10_22_performance_amp_576
294,performance,float32,day_294_21_10_22_performance_float32_857
294,performance,amp,day_294_21_10_22_performance_amp_237
295,performance,float32,day_295_22_10_22_performance_float32_859
295,performance,float32,day_295_22_10_22_performance_float32_450
295,performance,amp,day_295_22_10_22_performance_amp_429
296,performance,amp,day_296_23_10_22_performance_amp_482
296,performance,float32,day_296_23_10_22_performance_float32_953
296,performance,amp,day_296_23_10_22_performance_amp_257
300,performance,float32,day_300_27_10_22_performance_float32_811
300,performance,amp,day_300_27_10_22_performance_amp_333
300,performance,float32,day_300_27_10_22_performance_float32_541
301,performance,float32,day_301_28_10_22_performance_float32_117
302,performance,amp,day_302_29_10_22_performance_amp_314
305,performance,float32,day_305_01_11_22_performance_float32_939
305,performance,amp,day_305_01_11_22_performance_amp_501
306,performance,float32,day_306_02_11_22_performance_float32_861
306,performance,amp,day_306_02_11_22_performance_amp_438
308,performance,float32,day_308_04_11_22_performance_float32_250
308,performance,amp,day_308_04_11_22_performance_amp_308
309,performance,float32,day_309_05_11_22_performance_float32_209
309,performance,amp,day_309_05_11_22_performance_amp_870
310,performance,float32,day_310_06_11_22_performance_float32_927
310,performance,amp,day_310_06_11_22_performance_amp_309
311,performance,float32,day_311_07_11_22_performance_float32_824
311,performance,amp,day_311_07_11_22_performance_amp_225
312,performance,float32,day_312_08_11_22_performance_float32_454
312,performance,amp,day_312_08_11_22_performance_amp_791
313,performance,float32,day_313_09_11_22_performance_float32_192
313,performance,amp,day_313_09_11_22_performance_amp_486
314,performance,float32,day_314_10_11_22_performance_float32_616
315,performance,amp,day_315_11_11_22_performance_amp_409
315,performance,float32,day_315_11_11_22_performance_float32_284
316,performance,amp,day_316_12_11_22_performance_amp_669
