,Compiler,torchbench,huggingface,timm_models
eager,eager,0.97x,1.00x,0.99x
aot_eager,aot_eager,0.86x,0.90x,0.88x
inductor,inductor,0.78x,0.88x,0.91x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.92x,1.01x,1.01x
