dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,3.522985,6.660600
cuda,Background_Matting,4,2.553510,3.903774
cuda,LearningToPaint,96,0.855757,1.540137
cuda,Super_SloMo,6,1.960235,4.356570
cuda,alexnet,128,0.305768,0.372583
cuda,attention_is_all_you_need_pytorch,256,3.106132,6.692965
cuda,dcgan,32,0.289358,0.297037
cuda,demucs,4,0.587349
cuda,densenet121,4,7.001822,11.819039
cuda,dlrm,2048,0.596106,0.402424
cuda,drq,1,0.308707,0.407711
cuda,fastNLP_Bert,6,3.553227,5.907773
cuda,functorch_dp_cifar10,64,0.746448,1.620099
cuda,hf_Albert,8,1.670829,5.874127
cuda,hf_Bart,4,4.419121,7.507284
cuda,hf_Bert,4,3.382841,5.520507
cuda,hf_BigBird,2,11.212585,5.257216
cuda,hf_DistilBert,8,1.305880,2.778562
cuda,hf_GPT2,4,2.836676,5.073682
cuda,hf_GPT2_large,4,12.656060,16.026771
cuda,hf_Reformer,4,2.868717,2.036563
cuda,hf_T5,8,3.274222,7.643673
cuda,hf_T5_large,2,24.215030,33.735771
cuda,lennard_jones,1000,0.259479,0.187277
cuda,mnasnet1_0,32,2.043972,3.940615
cuda,mobilenet_v2,96,2.136543,3.646580
cuda,mobilenet_v3_large,32,2.269597,4.327653
cuda,nvidia_deeprecommender,256,0.320405,0.254609
cuda,pytorch_CycleGAN_and_pix2pix,1,0.765313,2.081546
cuda,pytorch_stargan,16,0.775478,1.939272
cuda,pytorch_unet,1,0.938933,1.716069
cuda,resnet18,16,0.878089,1.474223
cuda,resnet50,32,2.147036,4.161874
cuda,resnext50_32x4d,8,2.147662,4.174851
cuda,shufflenet_v2_x1_0,128,2.451697,4.480059
cuda,soft_actor_critic,256,0.302645,0.151306
cuda,speech_transformer,32,4.477746,7.285918
cuda,squeezenet1_1,32,0.561885,1.187103
cuda,tacotron2,64,13.612402,9.442560
cuda,timm_efficientdet,1,32.723876,22.359320
cuda,timm_efficientnet,32,3.763917,5.549068
cuda,timm_nfnet,128,4.244759,6.328106
cuda,timm_regnet,32,5.103186,6.956167
cuda,timm_resnest,32,1.140970,2.252583
cuda,timm_vision_transformer,8,1.995173,3.856059
cuda,timm_vision_transformer_large,8,10.835711,13.516845
cuda,timm_vovnet,32,2.435704,3.205560
cuda,tts_angular,64,0.335535,0.048794
cuda,vgg16,64,0.409939,0.728305
cuda,yolov3,16,4.927683,6.133678
