dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,adv_inception_v3,128,15.008418,9.319029,9.185292
cuda,beit_base_patch16_224,64,9.476073,5.801738,5.786772
cuda,botnet26t_256,128,6.679854,4.027181,4.012906
cuda,cait_m36_384,4,38.547493,21.659497,21.639756
cuda,coat_lite_mini,128,9.125914,5.842923,5.828324
cuda,convit_base,64,10.294545,6.850472,6.834983
cuda,convmixer_768_32,32,7.700278,6.069134,6.053950
cuda,convnext_base,64,15.102170,7.967674,7.951386
cuda,crossvit_9_240,128,15.021038,9.605251,9.589248
cuda,cspdarknet53,64,12.238642,6.796895,6.781423
cuda,deit_base_distilled_patch16_224,64,8.327685,5.255166,5.239080
cuda,dla102,128,16.812139,10.384068,10.366708
cuda,dm_nfnet_f0,128,12.836627,7.024176,7.009213
cuda,dpn107,32,21.860896,12.586128,12.569691
cuda,eca_botnext26ts_256,128,7.664014,4.656184,4.641923
cuda,eca_halonext26ts,128,7.858694,4.789411,4.775105
cuda,ese_vovnet19b_dw,128,5.035137,2.857059,2.843308
cuda,fbnetc_100,128,10.735955,6.167429,6.030390
cuda,fbnetv3_b,128,19.950426,11.834580,11.818225
cuda,gernet_l,128,9.891804,5.409389,5.394824
cuda,ghostnet_100,128,16.823706,9.547480,9.530268
cuda,gluon_inception_v3,128,15.121693,9.235078,9.218263
cuda,gluon_xception65,32,20.421169,12.423722,12.405509
cuda,gmixer_24_224,128,15.069464,9.388211,9.371974
cuda,gmlp_s16_224,128,14.580830,8.738395,8.722323
cuda,hrnet_w18,128,38.897538,30.331537,30.305475
cuda,inception_v3,128,14.996341,9.286369,9.157236
cuda,jx_nest_base,32,16.677139,10.261342,10.245421
cuda,lcnet_050,128,5.519661,3.468515,3.454437
cuda,mixer_b16_224,128,6.794253,4.257664,4.243013
cuda,mixnet_l,128,18.243989,10.425604,10.409908
cuda,mnasnet_100,128,8.553733,4.907125,4.892545
cuda,mobilenetv2_100,128,8.916329,5.228888,5.214054
cuda,mobilenetv3_large_100,128,9.322172,5.541069,5.525996
cuda,mobilevit_s,64,12.680475,7.574303,7.559345
cuda,nfnet_l0,128,12.122439,7.228750,7.212703
cuda,pit_b_224,64,9.143168,5.784347,5.768828
cuda,pnasnet5large,16,28.395854,20.540553,20.518044
cuda,poolformer_m36,64,16.377679,8.453026,8.436307
cuda,regnety_002,128,9.674839,5.389163,5.374185
cuda,repvgg_a2,128,9.813032,5.481522,5.466313
cuda,res2net101_26w_4s,64,30.364019,18.966433,18.946906
cuda,res2net50_14w_8s,128,27.667158,17.888149,17.869121
cuda,res2next50,128,14.544687,9.567614,9.551068
cuda,resmlp_12_224,128,6.054126,3.548825,3.534161
cuda,resnest101e,64,29.560354,17.483200,17.463535
cuda,rexnet_100,128,12.607983,7.230410,7.215077
cuda,sebotnet33ts_256,64,9.614376,5.828872,5.814426
cuda,selecsls42b,128,6.245196,4.099459,4.084403
cuda,spnasnet_100,128,10.523746,6.044115,6.029249
cuda,swin_base_patch4_window7_224,64,21.783988,13.436956,13.419454
cuda,swsl_resnext101_32x16d,32,16.454354,10.367662,10.349287
cuda,tf_efficientnet_b0,128,11.635809,7.045271,7.029587
cuda,tf_mixnet_l,128,18.783014,10.401811,10.385389
cuda,tinynet_a,128,13.673546,8.067286,8.052069
cuda,tnt_s_patch16_224,128,19.344038,12.039122,12.022341
cuda,twins_pcpvt_base,64,28.681670,16.796360,16.777739
cuda,visformer_small,128,6.773897,4.339295,4.324494
cuda,vit_base_patch16_224,64,8.145124,5.158731,5.143285
cuda,volo_d1_224,64,13.339289,8.431813,8.415738
cuda,xcit_large_24_p8_224,5,34.610994,20.048522,20.029655
