dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,44.559617,38.905303,36.169849,21.053977,6.252059,29.033514,10.764313,5.743796,0.672157,47.320482,105.300077,62.020918
cuda,beit_base_patch16_224,64,26.549538,22.901206,20.167974,12.550981,6.953157,15.673476,4.477904,2.804293,0.323402,0.858909,3.234471,11.150525
cuda,botnet26t_256,128,28.108943,25.426735,22.648124,16.740550,4.449801,22.955319,6.617284,3.067151,0.175611,27.952637,54.526077,38.789695
cuda,cait_m36_384,4,81.208183,63.913950,61.103686,33.142478,25.711349,40.780128,18.320593,9.689242,2.559297,9.037348,23.032031,43.883240
cuda,coat_lite_mini,128,30.406315,27.290189,24.558701,17.191153,7.981901,27.282510,8.234206,3.803617,0.279913,13.519816,42.620322,31.795820
cuda,convit_base,64,29.052158,25.622826,22.872464,14.432668,8.562302,20.732317,6.152264,3.002849,0.347716,6.221966,9.693855,21.314034
cuda,convmixer_768_32,32,21.154127,19.501405,16.706970,6.810091,3.440263,11.937845,3.642866,2.135886,0.333631,3.720025,12.553674,2.901012
cuda,convnext_base,64,36.191253,29.358001,26.600370,16.106042,9.216017,24.209503,7.408156,3.829896,0.630908,13.821015,31.971014,31.477026
cuda,crossvit_9_240,128,39.322200,33.955077,31.139921,18.389230,12.189517,29.050282,8.965863,4.362465,0.548826,19.080544,34.140834,42.267357
cuda,cspdarknet53,64,33.928028,28.626054,25.925276,14.434227,4.671530,19.915533,5.748404,3.121002,0.395659,27.668804,58.494986,38.161313
cuda,deit_base_distilled_patch16_224,64,24.043560,21.150674,18.367152,11.689523,6.628630,20.913397,4.697179,2.353191,0.286934,2.432194,3.721328,18.473516
cuda,dla102,128,45.143807,38.812932,36.123188,19.152088,5.885181,25.480346,9.436051,4.566608,0.666059,18.913720,42.624866,31.962635
cuda,dm_nfnet_f0,128,31.827385,26.009822,23.287138,12.222683,4.547122,19.883629,6.900360,2.945315,0.361236,25.097467,30.857421,37.621648
cuda,dpn107,32,54.264685,45.150980,42.191540,22.325765,6.561017,30.463386,9.691113,5.188480,0.679250,16.590639,30.419212,32.219811
cuda,eca_botnext26ts_256,128,29.695297,26.821459,24.053233,17.292446,4.717802,23.700481,6.712723,3.088545,0.192537,32.888134,60.159851,44.215482
cuda,eca_halonext26ts,128,35.373937,32.398798,29.591655,22.577943,4.838849,32.946327,12.754225,4.944123,0.206612,32.654144,62.059019,48.270453
cuda,ese_vovnet19b_dw,128,20.833538,18.646795,15.390359,11.151787,2.052429,16.836616,3.868205,1.855441,0.150398,29.735080,52.969796,37.602905
cuda,fbnetc_100,128,34.528861,30.130557,26.696420,16.788907,4.048529,23.098549,5.760604,3.024088,0.357135,46.358955,99.829983,57.017425
