dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.893511,11.296068,4.682904,16.697145,9.155749,3.866606,0.608782,10.284134
cuda,beit_base_patch16_224,64,1.815932,4.580305,2.116364,7.836289,3.736023,1.465429,0.235460,5.469748
cuda,botnet26t_256,128,1.629458,8.251446,2.875318,10.872772,6.292093,2.184422,0.149827,5.570278
cuda,cait_m36_384,2,5.914088,11.804093,7.753846,22.823811,13.457273,5.599913,1.760945,19.119716
cuda,coat_lite_mini,128,1.634407,5.476372,3.251526,11.236274,6.003014,2.309256,0.204032,9.102643
cuda,convit_base,32,1.841836,5.101320,3.488188,8.467787,3.729137,2.368881,0.275095,6.976332
cuda,convmixer_768_32,32,2.048339,4.288540,2.363004,6.316548,2.699861,1.225785,0.270596,4.524668
cuda,convnext_base,32,2.262376,7.331266,5.253498,20.040206,9.656761,3.433289,0.514603,18.126606
cuda,crossvit_9_240,64,2.727663,7.344195,3.536901,10.800749,5.989989,2.243818,0.379891,7.454791
cuda,cspdarknet53,64,3.182058,6.700819,3.260879,9.105282,4.815049,1.892791,0.351089,5.805294
cuda,deit_base_distilled_patch16_224,64,1.434557,4.000974,2.043485,7.899316,3.732115,1.391070,0.205944,6.027917
cuda,dla102,64,3.016145,8.585384,4.045551,13.177167,7.472366,2.848194,0.569917,8.830400
cuda,dm_nfnet_f0,128,2.688242,7.274732,5.509100,9.857933,6.270385,1.816518,0.259093,8.596289
cuda,dpn107,32,5.408389,9.633689,4.710215,14.965113,7.995749,3.199162,0.570603,10.888479
cuda,eca_botnext26ts_256,64,1.731587,8.442230,3.069047,11.425151,6.620246,2.250299,0.170290,6.135397
cuda,eca_halonext26ts,64,1.815495,10.307610,3.372150,16.602410,10.369148,3.375325,0.180013,10.030945
cuda,ese_vovnet19b_dw,128,1.189902,4.694943,1.274376,6.993222,3.686433,1.365917,0.126599,3.791353
cuda,fbnetc_100,128,2.850294,6.471063,2.934407,8.815017,4.457386,1.906250,0.317902,5.399498
cuda,fbnetv3_b,128,4.710405,10.686163,5.139510,14.958757,8.560624,3.108658,0.722910,9.626398
cuda,gernet_l,128,2.705357,4.694963,2.161978,6.621777,3.351285,1.371127,0.247730,4.199094
cuda,ghostnet_100,128,3.840517,9.805275,3.552251,15.436278,7.779881,3.309181,0.527107,9.347100
cuda,gluon_inception_v3,128,2.674778,10.666907,5.146399,14.827780,8.285705,3.842054,0.608990,9.485402
cuda,gluon_xception65,32,3.559246,8.622375,4.654568,12.021671,6.582853,2.399938,0.679651,8.281841
cuda,gmixer_24_224,64,2.596654,5.292493,2.263688,10.302924,5.641076,2.208484,0.377976,7.403032
cuda,gmlp_s16_224,64,2.228019,8.882505,4.526234,14.677270,8.930512,2.907584,0.385842,10.505050
cuda,hrnet_w18,2,11.124893,21.165635,12.308808,34.418599,20.487128,6.296888,2.967231,26.186900
cuda,inception_v3,128,2.690796,10.639121,4.639848,15.318851,8.771565,3.820341,0.607536,9.502322
cuda,jx_nest_base,32,2.772308,10.879019,5.515805,19.340042,10.723718,3.742161,0.538096,14.169108
cuda,lcnet_050,128,1.245151,4.545832,1.678482,6.173998,3.279225,1.173288,0.143528,3.371868
cuda,mixer_b16_224,64,1.135382,4.170918,2.312678,6.953961,3.614110,1.202395,0.145377,5.182734
cuda,mixnet_l,64,6.622047,8.539463,3.502460,13.346117,6.897797,3.049814,0.563095,8.475028
cuda,mnasnet_100,128,2.151933,5.718980,2.349467,7.409986,3.619804,1.611997,0.232369,4.432779
cuda,mobilenetv2_100,128,2.204238,6.308301,2.441698,7.683959,3.722389,1.568367,0.243722,3.916147
cuda,mobilenetv3_large_100,128,2.180500,6.611251,2.680145,9.120984,4.868008,1.853864,0.269879,5.294994
cuda,mobilevit_s,32,2.617221,14.643891,5.631486,25.518647,15.288051,7.175749,0.347378,16.630538
cuda,nfnet_l0,64,2.459472,4.779641,2.282226,7.546696,4.204854,1.377506,0.258442,5.179739
cuda,pit_b_224,64,1.640542,4.429165,2.556194,7.118535,3.759303,1.480687,0.224533,5.341051
cuda,pnasnet5large,16,7.677118,20.736391,10.067252,32.078956,19.431436,7.092682,1.878213,21.833352
cuda,poolformer_m36,64,2.889827,14.230325,7.113876,22.043859,13.641791,4.877913,0.671979,15.171876
cuda,regnety_002,128,2.216221,5.164675,2.347826,7.068560,3.427625,1.538081,0.260344,4.692895
cuda,repvgg_a2,128,2.675029,5.037129,2.136778,6.409699,3.276092,1.174049,0.218896,3.844055
cuda,res2net101_26w_4s,64,5.398623,15.949172,7.396781,23.389418,13.465179,5.193141,1.600135,15.163943
cuda,res2net50_14w_8s,2,4.660076,11.432463,5.745821,18.469195,11.188023,3.720376,0.877463,13.068311
cuda,res2next50,2,2.641505,6.671842,3.511219,10.741541,5.862456,2.444542,0.396275,7.745608
cuda,resmlp_12_224,128,0.986858,2.627267,1.431793,6.056488,2.400887,1.037833,0.134280,5.103269
cuda,resnest101e,32,5.534437,11.355166,6.738659,19.676581,10.902622,5.368986,1.124393,15.373659
cuda,rexnet_100,128,2.900345,8.712726,3.432592,12.863168,6.430390,2.467066,0.319023,7.721983
cuda,sebotnet33ts_256,64,2.205704,10.219863,3.972952,13.813029,8.552161,2.924634,0.236673,7.672805
cuda,selecsls42b,128,1.160620,4.811713,2.064751,8.102755,4.226286,1.811616,0.186827,5.687258
cuda,spnasnet_100,128,2.794823,6.302644,2.887622,8.411699,4.134360,1.878504,0.300156,5.117306
cuda,swin_base_patch4_window7_224,64,4.372519,15.359572,6.755449,24.921445,14.338610,5.291869,0.609674,16.537577
cuda,swsl_resnext101_32x16d,32,2.958677,6.465970,3.540615,9.518802,5.579076,1.919626,0.454617,6.778362
cuda,tf_efficientnet_b0,128,2.550079,6.640105,3.045861,9.880516,5.096921,2.141724,0.324157,6.410671
cuda,tf_mixnet_l,64,7.008012,8.886149,3.230330,13.468223,7.127584,3.232728,0.560573,8.323135
cuda,tinynet_a,128,3.011226,7.897563,3.408237,11.783899,6.152867,2.740933,0.402936,7.441371
cuda,tnt_s_patch16_224,64,3.221366,8.455104,4.936334,13.379232,7.995297,2.918287,0.633641,10.460847
cuda,twins_pcpvt_base,32,4.770532,11.293265,7.859254,22.330870,13.530020,4.807592,1.180243,19.173792
cuda,visformer_small,128,1.277993,5.636728,3.281731,6.852872,3.409225,1.217859,0.189703,4.595922
cuda,vit_base_patch16_224,64,1.413264,3.982894,2.025921,7.329618,3.256068,1.306744,0.199121,5.457855
cuda,volo_d1_224,64,2.391006,7.829643,4.797024,12.405002,7.317045,2.917442,0.414668,9.534421
cuda,xcit_large_24_p8_224,5,5.471621,16.506487,10.092031,26.410981,15.416919,6.985828,1.612226,21.110043
