dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.541481,11.438250,2.729479,13.991559,4.236399,1.500405,0.290284,5.405667
cuda,Background_Matting,4,1.540869,5.262464,1.967926,8.944306,4.795020,1.931728,0.203593,5.739796
cuda,LearningToPaint,96,0.616330,2.670417,0.848464,3.597168,1.108727,0.722055,0.077207,1.811599
cuda,Super_SloMo,6,1.746049,7.551938,2.544191,8.458827,4.572801,1.741890,0.107833,3.707655
cuda,alexnet,128,0.131445,1.368737,0.195310,2.121774,0.546893,0.188484,0.014247,0.955040
cuda,attention_is_all_you_need_pytorch,256,2.072118,7.393880,2.478988,10.008857,4.547121,1.736497,0.343728,5.215861
cuda,dcgan,32,0.124701,1.159019,0.176731,1.700865,0.184418,0.077253,0.012457,0.726603
cuda,demucs,4,0.266404
cuda,densenet121,4,3.560467,14.660565,5.688245,22.113713,12.988504,3.997120,0.645247,13.397150
cuda,dlrm,2048,0.425885,1.047155,0.294451,1.857453,0.508390,0.129044,0.016103,1.113322
cuda,drq,1,0.228718,1.495751,0.137804,2.482155,0.149912,0.079129,0.014511,1.133084
cuda,fastNLP_Bert,6,2.535076,8.912747,2.227372,11.841103,4.487029,1.614835,0.289991,5.264992
cuda,functorch_dp_cifar10,64,0.512905,3.081173,1.162937,5.013731,2.476510,0.670253,0.072356,3.141464
cuda,hf_Albert,8,1.975139,3.537526,2.157699,5.680756,2.548678,1.079727,0.143776,4.615725
cuda,hf_Bart,4,2.889864,5.910513,3.297077,9.169642,4.388880,1.844224,0.384882,6.693806
cuda,hf_Bert,4,2.530605,6.632422,3.059273,8.081706,3.218864,1.425129,0.292109,4.621349
cuda,hf_BigBird,2,10.846527,6.539922,2.150586,8.894751,3.112237,1.267509,0.213023,4.617569
cuda,hf_DistilBert,8,1.073644,3.420159,1.530336,4.728111,1.926153,0.771686,0.119633,2.896480
cuda,hf_GPT2,4,2.318272,6.061198,2.049007,8.572994,3.550735,1.331989,0.232778,4.652755
cuda,hf_GPT2_large,4,7.944012,26.746126,6.537873,34.667684,11.276614,3.785131,1.089921,14.733516
cuda,hf_Reformer,4,3.070390,6.960436,0.742129,7.011973,1.412085,0.619886,0.063048,0.841848
cuda,hf_T5,8,2.977132,8.579616,2.330143,11.489617,4.572871,1.496655,0.283020,5.364320
cuda,hf_T5_large,2,16.377480,40.429990,8.470614,51.988022,20.879284,5.685773,2.114214,21.822175
cuda,lennard_jones,1000,0.102290,0.894078,0.074227,1.409921,0.071748,0.045839,0.006584,0.594846
cuda,mnasnet1_0,32,1.365014,5.389124,2.222505,7.287125,3.203712,1.404396,0.210060,4.209994
cuda,mobilenet_v2,96,1.444495,6.047279,2.477991,7.751453,3.664567,1.524048,0.240456,4.278660
cuda,mobilenet_v3_large,32,1.559027,6.086675,2.524598,8.614053,3.790026,1.926425,0.241349,5.151168
cuda,nvidia_deeprecommender,256,0.184943,0.891235,0.122969,1.444944,0.117601,0.063181,0.009637,0.683330
cuda,pytorch_CycleGAN_and_pix2pix,1,0.590036,2.344727,0.869484,4.303117,1.988114,0.780653,0.075001,2.873689
cuda,pytorch_stargan,16,0.571796,1.823691,0.707105,2.620029,0.832471,0.326404,0.053973,1.712312
