dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,speech_transformer,32,27.972810,24.415741,21.480352,13.770525,2.549859,21.739482,4.506938,2.463795,0.306090,0.002894,29.298659,10.742089
cuda,squeezenet1_1,32,7.278922,6.653902,3.408798,2.603850,0.386416,6.839895,1.195015,0.609600,0.035102,10.041202,14.684099,9.896150
cuda,timm_efficientnet,32,24.360577,21.095281,17.821476,10.664151,2.724606,17.826658,4.486505,2.124511,0.272295,63.235660,101.335902,73.331993
cuda,timm_nfnet,128,23.424739,19.044436,15.541861,7.786336,3.393137,15.252100,4.603836,2.104259,0.261267,24.640048,29.834336,35.720172
cuda,timm_regnet,32,24.867186,20.234618,16.909683,8.980051,3.179744,14.311242,4.036470,1.998518,0.324492,24.310841,29.380886,33.065461
cuda,timm_resnest,32,15.686622,14.503060,11.252095,8.170114,1.219187,14.233247,3.029120,1.488433,0.094649,43.120398,70.372737,50.490078
cuda,timm_vision_transformer,32,17.467350,15.518113,12.185392,7.917363,1.247019,13.381282,2.528876,1.437035,0.185885,10.085699,15.049121,16.916589
cuda,timm_vovnet,32,18.347887,15.815232,12.563256,7.947367,1.738186,13.900703,3.601761,1.787837,0.141802,15.618615,29.605093,23.446030
cuda,tts_angular,64,4.583318,4.313898,1.416851,1.296333,0.045922,2.316677,0.028450,0.018514,0.001899,0.099823,1.169697
cuda,vgg16,64,6.180187,5.758811,2.624820,2.158676,0.223349,5.886801,0.897805,0.352361,0.020083,4.056908,8.022741,3.865522
cuda,yolov3,16,29.319103,26.153427,22.879634,13.974285,3.650792,20.905882,6.337775,2.956589,0.351944,31.546724,67.826454,42.400272
