dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.570698,14.216252,4.331384,18.687520,9.459926,3.883378,0.599268,1.147651,6.845206,10.093853
cuda,beit_base_patch16_224,64,1.488898,5.729805,1.898529,8.979494,2.842766,1.608726,0.237245,0.848386,1.888780,6.079127
cuda,botnet26t_256,128,1.611731,12.183828,2.441123,15.928838,6.988246,2.836770,0.142091,9.756098,18.975392,16.004198
cuda,cait_m36_384,4,4.846970,12.669180,6.043305,24.815391,12.975339,5.650657,1.946434,10.010337,10.690566,28.510417
cuda,coat_lite_mini,128,1.440529,7.197099,2.825653,14.509437,6.744180,2.104512,0.205971,13.425182,26.876370,23.647463
cuda,convit_base,64,1.499710,6.070421,2.224260,11.921503,5.325184,1.931521,0.255148,4.729826,6.133183,12.902656
cuda,convmixer_768_32,32,1.921659,6.398427,2.228475,8.637906,2.621064,1.227501,0.256696,4.645901,3.818149,9.225183
cuda,convnext_base,64,1.973167,9.207092,4.036941,18.984697,7.814792,2.750982,0.457613,20.224866,30.748482,34.166457
cuda,crossvit_9_240,128,2.199756,7.976388,2.881625,13.553444,6.232291,2.142900,0.367544,9.656446,10.452837,18.472681
cuda,cspdarknet53,64,3.203612,8.777293,2.686066,10.830160,4.433268,1.962324,0.366944,0.793975,8.779467,5.875786
cuda,deit_base_distilled_patch16_224,64,1.114910,5.009384,1.471863,8.692091,3.011950,1.150572,0.186391,2.736451,2.954092,7.961444
cuda,dla102,128,2.916378,12.157827,3.785220,16.006394,7.686762,2.877638,0.557626,1.080906,15.699323,8.875067
cuda,dm_nfnet_f0,128,2.689528,11.952058,4.721574,12.644762,6.021713,1.963312,0.303054,1.712269,8.352693,7.553641
cuda,dpn107,32,5.431179,13.256526,4.339581,17.899658,8.313115,3.744297,0.539346,1.234144,20.686079,10.432063
cuda,eca_botnext26ts_256,128,1.735808,13.054574,2.931247,17.226665,7.295220,3.031078,0.159991,13.424753,23.046382,20.603431
cuda,eca_halonext26ts,128,1.798710,14.170269,3.068444,21.990933,11.425596,3.857168,0.169338,17.204472,27.462874,28.171238
cuda,ese_vovnet19b_dw,128,1.171492,7.177132,1.280857,9.332361,3.620734,1.365390,0.114892,0.528283,1.688424,4.009517
cuda,fbnetc_100,128,2.894695,9.358024,2.743775,11.317189,4.565745,2.337488,0.310148,0.748966,22.726988,5.551629
cuda,fbnetv3_b,128,4.649371,12.898205,4.801846,16.633793,8.465738,3.068394,0.730459,1.178281,22.614217,9.891981
cuda,gernet_l,128,2.722644,7.034936,2.025904,8.585063,3.156775,1.402691,0.237859,0.714630,5.274908,4.378518
cuda,ghostnet_100,128,3.658243,12.121757,3.856801,16.875270,7.862417,3.263635,0.474388,0.911029,30.964668,9.662822
cuda,gluon_inception_v3,128,2.554868,13.826649,4.314620,18.368094,9.357297,3.850057,0.600178,1.148153,6.816706,10.148700
cuda,gluon_xception65,32,3.560518,11.967409,4.358203,14.840922,7.389493,2.410448,0.694665,4.055801,9.589408,11.477777
cuda,gmixer_24_224,128,1.902462,6.234575,1.846852,12.671286,5.328544,2.010267,0.356468,5.834170,8.433675,14.235135
cuda,gmlp_s16_224,128,1.714185,10.117367,2.921299,15.946233,7.926156,2.584360,0.366371,6.397937,10.502762,15.276022
cuda,hrnet_w18,128,10.011523,37.172756,13.160111,49.896481,29.629725,8.820601,5.500055,3.747769,13.176919,30.139855
cuda,inception_v3,128,2.551861,13.904572,4.320098,18.522998,9.377050,3.873998,0.596017,1.149411,6.818614,10.232777
cuda,jx_nest_base,32,2.497053,11.312951,4.335275,18.763553,9.511950,3.383469,0.587588,11.180165,18.466908,23.125720
cuda,lcnet_050,128,1.222803,6.481903,1.698056,7.825931,2.757350,1.189001,0.132764,0.482635,11.945289,3.578570
cuda,mixer_b16_224,128,0.844134,5.984365,1.645451,8.161689,2.451891,0.901396,0.135705,4.768963,7.098963,8.656616
cuda,mixnet_l,128,6.445471,11.295674,3.371259,15.131016,6.897024,3.043607,0.540267,1.100501,9.604647,8.447344
cuda,mnasnet_100,128,2.182714,8.384597,2.047898,10.319745,4.189842,1.715747,0.221488,0.644039,21.041884,4.707006
cuda,mobilenetv2_100,128,2.223519,8.414965,2.099196,10.088598,4.251297,1.686868,0.235368,0.658304,21.870998,4.518143
cuda,mobilenetv3_large_100,128,2.133244,8.537492,2.321887,10.942498,4.616018,1.884752,0.264403,0.675508,20.751949,5.488348
cuda,mobilevit_s,64,2.500048,15.814150,4.270278,27.693408,14.558801,6.600542,0.335308,10.536281,53.688420,26.795385
cuda,nfnet_l0,128,2.452036,6.601075,2.676001,10.209659,4.073853,1.442688,0.288759,1.387820,9.014729,7.801160
cuda,pit_b_224,64,1.264335,5.621141,2.173703,8.374049,3.005213,1.566327,0.218741,1.085551,2.828723,6.091063
cuda,pnasnet5large,16,7.247164,29.142189,8.740823,39.365004,24.216168,7.400500,2.136150,5.117887,9.651532,24.428911
cuda,poolformer_m36,64,3.017206,18.777842,6.501440,25.081611,15.125646,4.697118,0.670177,1.545458,4.251898,14.562561
cuda,regnety_002,128,2.169312,7.364779,2.056794,9.415443,3.665839,1.503512,0.254799,0.860122,11.407265,5.052396
cuda,repvgg_a2,128,2.734620,7.360409,1.974173,10.329767,3.382071,1.183368,0.212320,1.184833,4.138292,6.211909
cuda,res2net101_26w_4s,64,5.222121,18.783735,6.320393,25.191493,13.731866,4.941342,1.581606,1.767176,5.453959,14.767333
cuda,res2net50_14w_8s,128,4.556491,16.552644,6.094418,23.147435,11.842920,4.609785,1.301162,1.580771,5.564302,14.509913
cuda,res2next50,128,2.482087,10.996912,3.493484,14.796592,6.790828,2.755933,0.489290,0.810714,5.574590,8.238950
cuda,resmlp_12_224,128,0.784251,4.391251,1.065962,9.692860,2.202140,0.917361,0.123103,4.872337,7.340776,11.285930
cuda,resnest101e,64,5.278232,14.858138,5.451711,22.377305,11.512356,4.158394,1.174164,6.166523,21.215048,19.403988
cuda,rexnet_100,128,2.772011,10.530997,2.934694,14.718217,6.293641,2.473041,0.300276,0.802667,17.444788,8.044252
cuda,sebotnet33ts_256,64,2.213820,14.203721,3.478811,19.324894,9.734261,3.687530,0.227901,15.485379,32.569523,24.177609
cuda,selecsls42b,128,1.102140,6.813122,1.712751,10.137861,4.375808,1.797997,0.169085,0.549653,7.619192,5.650952
cuda,spnasnet_100,128,2.896574,9.486755,2.439067,11.674972,4.530276,2.310700,0.294642,1.048068,20.647866,5.779964
