dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BartForCausalLM,4,1.736210,5.959480,1.797590,8.721837,3.085490,1.125809,0.228133,1.256381,1.198878,5.904437
cuda,BartForConditionalGeneration,2,4.638270,13.927543,4.532007,19.942951,8.794477,2.827801,0.871971,2.433420,2.576183,13.211481
cuda,BertForMaskedLM,64,2.272184,6.289133,1.890641,9.150839,3.155773,1.241955,0.250941,2.741889,7.588236,2.114791
cuda,BigBird,1,9.743856,5.335660,1.250318,9.447630,2.104756,0.953242,0.197792,8.357990,13.828675,0.395912
cuda,BlenderbotSmallForCausalLM,64,1.139654,3.365779,1.285738,5.942224,2.033620,0.846105,0.149487,2.313276,6.237077,2.003009
cuda,BlenderbotSmallForConditionalGeneration,64,3.165108,8.509583,3.176962,13.227575,5.534801,2.054687,0.521953,3.019448,2.823036,11.064076
cuda,CamemBert,1,2.227444,6.258265,1.647615,8.470072,3.022223,1.136121,0.253237,0.936959,4.891865,0.565461
cuda,DebertaForMaskedLM,4,6.518450,12.962717,2.903953,16.301575,4.002301,1.863119,0.314049,18.783490,0.839659,25.259851
cuda,DebertaForQuestionAnswering,8,6.555620,13.183114,2.833795,17.169884,3.940563,1.839950,0.306790,20.792157,1.782271,27.845785
cuda,DistilBertForMaskedLM,64,0.855843,3.327949,1.074856,5.517008,1.756372,0.650679,0.112916,2.457232,5.769457,2.099583
cuda,DistilBertForQuestionAnswering,64,0.885752,3.318660,1.032103,5.524643,1.718672,0.638546,0.112069,2.137141,5.423295,1.759611
cuda,DistillGPT2,1,1.025039,2.663449,0.738400,4.531162,1.403928,0.579653,0.096178,3.513844,6.162665,3.276083
cuda,ElectraForQuestionAnswering,64,2.422031,6.309009,1.874153,9.218001,3.127687,1.220356,0.267247,2.665759,7.540135,1.954942
cuda,GPT2ForSequenceClassification,4,2.022122,4.270042,1.880923,6.555265,2.478851,1.160801,0.217084,1.378522,5.626994,1.026320
cuda,GoogleFnet,1,1.228521,4.574820,0.929448,8.225476,1.403071,0.636072,0.107684,4.718265,9.364193,0.617515
cuda,LayoutLMForSequenceClassification,16,2.689036,6.336248,1.892710,10.298222,3.958676,1.471913,0.255105,8.001251,13.950433,7.451184
cuda,M2M100ForConditionalGeneration,8,4.631074,11.761412,3.885285,20.520752,7.801659,2.958710,0.720098,5.966941,16.602213,18.830250
cuda,MBartForCausalLM,32,1.714084,7.570265,1.885939,10.596776,3.290225,1.222952,0.242832,1.201033,1.068213,6.201947
cuda,MBartForConditionalGeneration,16,4.776994,12.992393,4.415222,19.883705,9.250189,3.109503,0.988905,2.454203,1.839715,13.987594
cuda,MT5ForConditionalGeneration,8,4.721075,6.449669,2.873047,11.642590,5.509885,1.710237,0.466466,7.221658,15.454946,6.590490
cuda,MegatronBertForCausalLM,16,4.749083,8.860303,4.033850,13.199455,6.552306,2.459773,0.658731,3.549693,12.106563,2.676996
cuda,MegatronBertForQuestionAnswering,16,4.775639,8.752120,3.927463,13.018761,6.333463,2.405805,0.650277,3.018245,11.392396,2.172202
cuda,MobileBertForMaskedLM,32,10.785351,6.484158,4.516179,17.226165,8.568274,3.644783,1.896205,6.861995,22.447189,5.830492
cuda,MobileBertForQuestionAnswering,64,10.800324,6.270451,4.322712,16.923568,8.495552,3.637312,1.862030,4.970111,20.260470,3.579053
cuda,OPTForCausalLM,32,1.743649,5.636801,1.838196,8.981274,3.187426,1.275710,0.235988,1.162559,1.412031,6.425925
cuda,PLBartForCausalLM,32,0.916246,4.610344,1.093205,6.927180,1.882305,0.687367,0.112337,1.063977,1.305655,4.521480
cuda,PLBartForConditionalGeneration,16,2.470561,7.452561,2.450247,11.784888,4.869051,1.692866,0.374115,3.302125,3.508566,10.432185
cuda,PegasusForCausalLM,32,1.805984,6.756821,1.853458,10.280886,3.191623,1.243590,0.245460,2.014839,1.326370,7.485198
cuda,PegasusForConditionalGeneration,16,4.346029,12.337867,4.201694,19.140653,7.823680,3.070969,0.699740,3.797175,2.430589,15.026342
cuda,RobertaForCausalLM,64,2.290943,6.627267,1.944997,9.210248,3.304680,1.273963,0.252371,1.620475,1.371838,6.242275
cuda,Speech2Text2ForCausalLM,128,0.946999,4.880676,0.810761,7.938658,1.431306,0.800966,0.107080,1.358014,1.311033,5.270099
cuda,T5ForConditionalGeneration,4,3.384598,6.589390,1.976057,12.708456,4.083582,1.312192,0.296383,3.079017,6.474109,11.288052
cuda,T5Small,1,3.339445,6.420317,1.569527,9.545025,2.865610,1.163425,0.295915,3.798328,8.239714,8.614089
cuda,TrOCRForCausalLM,32,1.707895,6.086615,1.854389,9.158758,3.246471,1.204440,0.240284,1.199775,1.176377,6.217188
cuda,XGLMForCausalLM,8,3.682033,15.920752,4.146758,21.603960,8.157192,2.379990,0.655694,3.379936,25.732427,13.398937
cuda,YituTechConvBert,1,3.298401,8.884209,2.873671,13.440940,4.022822,1.707883,0.444478,5.217819,10.102616,12.787442
