dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.647034,13.980458,4.739302,18.595772,8.956702,4.423442,0.603101,6.821268,9.494400
cuda,beit_base_patch16_224,64,1.528087,5.734655,2.168860,8.683659,2.866031,1.325289,0.234946,1.866462,5.197865
cuda,botnet26t_256,128,1.613059,11.932465,2.437823,15.979438,6.882201,3.041119,0.143627,19.038937,6.546038
cuda,cait_m36_384,4,4.719470,12.425832,5.832126,24.177686,12.553769,5.499657,1.857500,10.687851,17.871872
cuda,coat_lite_mini,128,1.413932,7.201643,3.174622,14.440116,6.711612,2.059500,0.204433,26.547056,10.503945
cuda,convit_base,64,1.475362,5.977008,2.171713,11.844692,5.235667,1.905743,0.255789,6.126999,8.130528
cuda,convmixer_768_32,32,1.874609,6.194486,2.402844,8.409599,2.541095,1.180166,0.254611,3.839518,4.716237
cuda,convnext_base,64,2.064409,9.224989,4.666034,18.893474,7.232260,2.717075,0.489379,30.454118,14.462390
cuda,crossvit_9_240,128,2.197505,8.135458,2.857426,13.884455,6.440830,2.128310,0.350719,10.329474,8.993054
cuda,cspdarknet53,64,3.183317,8.802993,2.682765,11.222329,4.797066,1.969074,0.358739,8.576918,5.443628
cuda,deit_base_distilled_patch16_224,64,1.136496,5.154514,1.485352,9.068571,3.257321,1.151918,0.189159,2.954957,5.467881
cuda,dla102,128,2.888601,12.081909,4.212240,15.491023,7.157432,2.826442,0.542535,15.697526,7.775443
cuda,dm_nfnet_f0,128,2.751201,12.436934,5.403075,12.898667,6.198452,1.969851,0.303502,8.357918,6.537473
cuda,dpn107,32,5.435719,13.307293,4.371331,17.998935,8.370147,3.761637,0.542896,20.553974,9.262626
cuda,eca_botnext26ts_256,128,1.696420,12.893949,2.905751,16.878834,7.367807,2.573356,0.163145,23.399106,6.961126
cuda,eca_halonext26ts,128,1.747297,13.962126,3.294476,21.633103,10.793949,3.736799,0.167856,27.237348,11.040286
cuda,ese_vovnet19b_dw,128,1.183733,7.097383,1.469833,9.291599,3.547114,1.368906,0.113619,1.689416,3.706043
cuda,fbnetc_100,128,2.842229,9.311115,2.711177,11.641811,4.889714,2.312002,0.305092,23.187133,5.139653
cuda,fbnetv3_b,128,4.550643,12.960577,5.278777,16.845350,7.894171,3.029326,0.733976,22.864684,9.334121
cuda,gernet_l,128,2.667675,7.080866,1.992342,8.961428,3.384552,1.373458,0.236590,5.215387,3.960258
cuda,ghostnet_100,128,3.637939,12.180503,3.832866,16.971254,7.895097,3.259384,0.468844,31.391631,9.189109
cuda,gluon_inception_v3,128,2.542040,13.922164,4.839882,18.457493,9.472926,3.897204,0.603264,6.819679,9.517057
cuda,gluon_xception65,32,3.559500,11.980209,4.415611,14.873610,7.474736,2.447952,0.707692,9.564041,7.488763
cuda,gmixer_24_224,128,1.848906,5.945653,1.843420,12.336729,5.147709,2.021859,0.353420,8.406972,8.345992
cuda,gmlp_s16_224,128,1.695836,10.128977,2.852052,15.792622,7.732649,2.507201,0.356068,10.527218,8.644002
cuda,hrnet_w18,128,9.720843,36.875181,14.626396,50.080564,29.942777,8.867787,5.442865,13.268114,28.317034
cuda,inception_v3,128,2.547141,13.892482,4.338937,18.457476,9.388878,3.874534,0.593697,6.824038,9.500883
cuda,jx_nest_base,32,2.443787,11.161925,4.698366,18.626118,9.444230,3.347619,0.592679,18.663818,12.313861
cuda,lcnet_050,128,1.237827,6.880076,1.780683,8.069341,2.773130,1.190660,0.131450,10.409971,3.024284
cuda,mixer_b16_224,128,0.840710,5.966063,1.648646,8.373326,2.652694,0.900845,0.140410,7.086147,4.118150
cuda,mixnet_l,128,6.577255,11.362503,3.430281,15.272169,6.535510,3.547347,0.539082,9.566276,7.890352
cuda,mnasnet_100,128,2.155739,8.227921,2.018694,10.438836,4.458210,1.714034,0.219608,20.964069,4.307656
cuda,mobilenetv2_100,128,2.339735,8.634890,2.100899,10.307241,4.290506,1.701383,0.234050,21.723752,3.856682
cuda,mobilenetv3_large_100,128,2.120140,8.607341,2.302553,10.974885,4.586060,1.869784,0.261044,21.273579,5.052945
cuda,mobilevit_s,64,2.481817,15.622563,4.224315,27.421147,14.456877,6.373723,0.334367,53.868282,16.129224
cuda,nfnet_l0,128,2.420145,6.451554,2.698696,9.795327,3.725626,1.427035,0.286566,9.033226,6.453030
cuda,pit_b_224,64,1.295620,5.781360,2.458662,8.289536,3.026846,1.305482,0.215430,2.855343,5.044725
cuda,pnasnet5large,16,7.522582,29.223795,9.774815,39.797428,23.442903,7.465116,2.148095,9.631347,20.675831
cuda,poolformer_m36,64,2.955892,18.546435,6.954233,24.938423,15.052385,4.672220,0.664503,4.239459,13.542664
cuda,regnety_002,128,2.096646,7.389190,2.029634,9.753519,3.933535,1.485555,0.250618,11.032800,4.476211
cuda,repvgg_a2,128,2.685738,7.345048,1.980775,10.626399,3.711490,1.185289,0.210638,4.132776,5.342742
cuda,res2net101_26w_4s,64,5.339267,19.301980,6.365762,26.114702,14.516064,4.940720,1.580597,5.463180,13.461560
