dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,BERT_pytorch,16,8.926171,5.707448,5.654995
cuda,Background_Matting,4,6.110232,4.108354,4.092890
cuda,LearningToPaint,96,2.460800,1.565102,1.550722
cuda,Super_SloMo,6,6.809512,4.818625,4.804799
cuda,alexnet,128,0.498498,0.210554,0.196868
cuda,attention_is_all_you_need_pytorch,256,8.667830,5.724777,5.710682
cuda,dcgan,32,0.525955,0.255331,0.241600
cuda,demucs,4,1.311516,0.537425,0.523868
cuda,densenet121,4,15.686208,11.042469,11.024983
cuda,dlrm,1024,0.606732,0.324689,0.311098
cuda,drq,1,0.683814,0.252185,0.238729
cuda,fastNLP_Bert,6,7.859811,4.819557,4.804092
cuda,functorch_dp_cifar10,64,1.651217,0.963788,0.950402
cuda,hf_Albert,8,6.589135,4.679339,4.664071
cuda,hf_Bart,4,11.947804,5.777039,5.760031
cuda,hf_Bert,4,8.895552,4.706954,4.692256
cuda,hf_Bert_large,4,17.744728,9.397188,9.380770
cuda,hf_BigBird,2,32.524001,23.134209,23.109452
cuda,hf_DistilBert,8,4.025112,2.339803,2.325372
cuda,hf_GPT2,4,7.396392,4.301078,4.286464
cuda,hf_GPT2_large,4,22.797454,13.054409,13.037795
cuda,hf_Longformer,2,29.094353,19.836630,19.799066
cuda,hf_Reformer,4,4.203500,1.786138,1.769135
cuda,hf_T5,8,11.159948,6.576833,6.560699
cuda,hf_T5_large,2,41.810852,24.803254,24.783522
cuda,lennard_jones,1000,0.367392,0.132447,0.118906
cuda,mnasnet1_0,32,5.382321,3.608464,3.594069
cuda,mobilenet_v2,96,5.687162,3.867062,3.852402
cuda,mobilenet_v2_quantized_qat,96,11.357616,9.032578,9.014144
cuda,mobilenet_v3_large,32,5.960078,3.982396,3.967668
cuda,nvidia_deeprecommender,256,0.491567,0.198915,0.185741
cuda,phlippe_densenet,128,5.713254,3.805192,3.790829
cuda,phlippe_resnet,128,2.200305,1.376735,1.362755
cuda,pytorch_CycleGAN_and_pix2pix,1,2.431065,1.662326,1.648811
cuda,pytorch_stargan,16,2.707883,1.944649,1.930869
cuda,pytorch_struct,200,0.883028,0.460488,0.447992
cuda,pytorch_unet,1,3.022025,2.006524,1.992795
cuda,resnet152,32,16.858076,11.376646,11.359118
cuda,resnet18,16,2.246574,1.421746,1.407835
cuda,resnet50,32,5.642783,3.767316,3.752868
cuda,resnet50_quantized_qat,32,10.962742,8.780064,8.761641
cuda,resnext50_32x4d,8,6.000760,4.035876,4.021422
cuda,shufflenet_v2_x1_0,128,6.315996,4.265775,4.250877
cuda,soft_actor_critic,256,0.426215,0.133069,0.119063
cuda,speech_transformer,32,9.717354,6.208217,6.191902
cuda,squeezenet1_1,32,1.090711,0.504853,0.491492
cuda,timm_efficientnet,32,7.898045,4.687459,4.673077
cuda,timm_nfnet,128,9.061915,4.830110,4.815858
cuda,timm_regnet,32,9.493415,5.127597,5.112154
cuda,timm_resnest,32,2.995092,1.860480,1.846373
cuda,timm_vision_transformer,32,5.039757,3.177345,3.162879
cuda,timm_vovnet,32,5.269823,2.858797,2.845067
cuda,tts_angular,64,0.325371,0.063031,0.049503
cuda,vgg16,64,0.748641,0.346615,0.333083
cuda,yolov3,16,9.310402,5.888153,5.871504
