dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,4,pass,542,2,11,6
cuda,LearningToPaint,4,pass,75,2,9,6
cuda,attention_is_all_you_need_pytorch,4,pass,552,2,9,6
cuda,dcgan,4,pass,17,2,9,6
cuda,demucs,4,pass,89,7,12,7
cuda,densenet121,4,pass,435,2,9,6
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,4,pass,40,2,6,4
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,pass,34,3,8,6
cuda,fastNLP_Bert,4,pass,441,8,14,8
cuda,functorch_dp_cifar10,4,pass,73,2,9,6
cuda,hf_Albert,4,pass,439,7,12,8
cuda,hf_Bart,4,pass,648,12,20,10
cuda,hf_Bert,4,pass,369,6,12,7
cuda,hf_Bert_large,4,pass,717,6,12,7
cuda,hf_BigBird,4,pass,3007,67,65,11
cuda,hf_DistilBert,4,pass,207,2,8,6
cuda,hf_GPT2,2,pass,651,2,8,6
cuda,hf_GPT2_large,4,pass_due_to_skip,0,0,0,0
cuda,hf_Longformer,4,pass,1712,163,137,13
cuda,hf_Reformer,4,pass,511,21,51,12
cuda,hf_T5,4,pass,803,10,17,7
cuda,hf_T5_base,4,pass,1511,10,17,7
cuda,hf_T5_large,4,pass_due_to_skip,0,0,0,0
cuda,lennard_jones,4,pass,13,2,9,6
cuda,mnasnet1_0,4,pass,156,2,9,6
cuda,mobilenet_v2,4,pass,157,2,9,6
cuda,mobilenet_v3_large,4,pass,191,2,9,6
cuda,moco,4,fail_to_run,511,68,72,7
cuda,nvidia_deeprecommender,4,pass,17,2,9,6
cuda,phlippe_densenet,4,pass,190,2,9,6
cuda,phlippe_resnet,4,pass,75,2,9,6
cuda,pytorch_stargan,16,pass,60,2,9,6
cuda,pytorch_struct,200,pass,45,2,9,6
cuda,resnet152,4,pass,519,2,9,6
cuda,resnet18,4,pass,73,2,9,6
cuda,resnet50,4,pass,179,2,9,6
cuda,resnext50_32x4d,4,pass,179,2,9,6
cuda,shufflenet_v2_x1_0,4,pass,275,2,9,6
cuda,soft_actor_critic,256,pass,21,3,8,6
cuda,speech_transformer,4,pass,755,12,19,8
cuda,squeezenet1_1,4,pass,70,2,9,6
cuda,tacotron2,4,fail_to_run,26182,12,15,7
cuda,timm_efficientnet,4,pass,317,2,9,6
cuda,timm_nfnet,4,pass,619,2,9,6
cuda,timm_regnet,4,pass,462,2,9,6
cuda,timm_resnest,4,pass,152,2,9,6
cuda,timm_vision_transformer,4,pass,377,2,9,6
cuda,timm_vision_transformer_large,4,pass_due_to_skip,0,0,0,0
cuda,timm_vovnet,4,pass,173,2,9,6
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,4,pass,8,4,11,7
cuda,yolov3,4,pass,246,96,13,7
