dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,1,pass,440,6,11,7
cuda,AlbertForQuestionAnswering,1,pass,440,6,11,7
cuda,AllenaiLongformerBase,1,fail_to_run,90,11,18,6
cuda,BartForCausalLM,1,pass,486,16,15,10
cuda,BartForConditionalGeneration,1,pass,1260,1,7,5
cuda,BertForMaskedLM,1,pass,370,5,11,6
cuda,BertForQuestionAnswering,1,pass,377,5,11,6
cuda,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0
cuda,BlenderbotSmallForCausalLM,1,pass,331,12,15,10
cuda,BlenderbotSmallForConditionalGeneration,1,pass,842,1,7,5
cuda,CamemBert,1,pass,377,5,11,6
cuda,DebertaForMaskedLM,1,pass,716,55,55,13
cuda,DebertaForQuestionAnswering,1,pass,723,55,55,13
cuda,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0
cuda,DebertaV2ForQuestionAnswering,1,pass,928,103,91,13
cuda,DistilBertForMaskedLM,1,pass,208,1,7,5
cuda,DistilBertForQuestionAnswering,1,pass,216,1,7,5
cuda,DistillGPT2,1,pass,338,1,7,5
cuda,ElectraForCausalLM,1,pass,375,7,14,8
cuda,ElectraForQuestionAnswering,1,pass,378,5,11,6
cuda,GPT2ForSequenceClassification,1,pass,660,4,9,6
cuda,LayoutLMForMaskedLM,1,pass,397,7,12,7
cuda,LayoutLMForSequenceClassification,1,pass,395,8,13,8
cuda,M2M100ForConditionalGeneration,1,pass,1270,21,21,9
cuda,MBartForCausalLM,1,pass,485,16,15,10
cuda,MBartForConditionalGeneration,1,pass,1265,1,7,5
cuda,MT5ForConditionalGeneration,1,pass,1167,9,15,6
cuda,MegatronBertForCausalLM,1,pass,721,5,11,6
cuda,MegatronBertForQuestionAnswering,1,fail_accuracy,724,5,11,6
cuda,MobileBertForMaskedLM,1,pass,1447,5,8,4
cuda,MobileBertForQuestionAnswering,1,pass,1451,5,8,4
cuda,OPTForCausalLM,1,pass,537,16,15,10
cuda,PLBartForCausalLM,1,pass,258,10,15,10
cuda,PLBartForConditionalGeneration,1,pass,662,12,18,9
cuda,PegasusForCausalLM,1,pass,482,18,16,10
cuda,PegasusForConditionalGeneration,1,pass,1248,9,16,6
cuda,RobertaForCausalLM,1,pass,381,5,11,6
cuda,RobertaForQuestionAnswering,1,pass,384,5,11,6
cuda,Speech2Text2ForCausalLM,1,pass,265,12,16,10
cuda,T5ForConditionalGeneration,1,pass,804,9,15,6
cuda,T5Small,1,pass,804,9,15,6
cuda,TrOCRForCausalLM,1,pass,485,16,15,10
cuda,XGLMForCausalLM,1,pass,1002,30,16,10
cuda,XLNetLMHeadModel,1,pass,763,29,24,11
cuda,YituTechConvBert,1,pass,634,7,14,8
