,Compiler,torchbench,huggingface,timm_models
eager,eager,0.97x,0.96x,1.00x
aot_eager,aot_eager,0.87x,0.88x,0.89x
inductor,inductor,0.80x,0.90x,0.91x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.94x,1.02x,1.02x
