dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,13.151056,11.472784,4.055526,2.148544,8.768718,2.994014,1.128772,0.147156,1.313808,8.264071,0.809988
cuda,AlbertForQuestionAnswering,4,13.231551,11.523556,4.055040,2.328104,8.369955,2.992872,1.123370,0.142320,0.935698,7.667394,0.413253
cuda,AllenaiLongformerBase,4,54.572317,47.447988,28.347820,7.521408,34.297475,15.090075,4.963953,0.427971,15.995029,0.666410,29.819196
cuda,BartForCausalLM,4,15.739968,13.940455,6.316110,2.067228,9.767773,3.445257,1.468387,0.283396,2.181901,2.372009,7.796472
cuda,BartForConditionalGeneration,2,38.953685,34.419996,14.486101,5.970351,21.178118,9.634820,3.746315,1.137026,0.606623,1.223581,13.523252
cuda,BertForMaskedLM,16,15.384478,13.234774,5.268979,2.159468,8.065247,3.584347,1.503265,0.298301,1.792496,6.848933,1.440537
cuda,BertForQuestionAnswering,16,15.182222,13.091700,5.207743,2.107625,7.823982,3.525841,1.481240,0.290639,1.368109,6.194281,1.005908
cuda,BlenderbotSmallForCausalLM,64,9.864073,8.761794,3.523882,1.353662,6.166397,2.058316,1.014093,0.169605,2.631335,6.693158,2.413360
cuda,BlenderbotSmallForConditionalGeneration,64,25.703577,22.680584,9.597382,3.728258,13.864508,5.874840,2.477241,0.606351,1.938448,1.817958,10.098523
cuda,CamemBert,16,15.437295,13.271215,5.292850,2.130161,8.019851,3.565592,1.495893,0.294746,0.708714,5.666785,0.336149
cuda,DebertaForMaskedLM,4,30.360311,24.446576,14.957835,3.252829,18.509692,4.787614,2.302293,0.353394,15.176784,0.943619,22.241621
cuda,DebertaForQuestionAnswering,8,29.754596,23.910687,14.388404,3.257098,17.767959,4.844983,2.310465,0.358312,15.845464,1.784901,22.745313
cuda,DebertaV2ForMaskedLM,1,44.696468,34.170907,17.589135,3.943619,21.744921,5.715591,2.990355,0.619887,34.640325,1.538468,43.178167
cuda,DebertaV2ForQuestionAnswering,2,45.124393,34.249334,16.801571,4.799230,21.115702,6.776961,3.503774,0.636412,34.016013,0.545536,43.562796
cuda,DistilBertForMaskedLM,128,8.468656,7.613536,3.380923,1.155122,5.201941,1.864007,0.811869,0.126961,1.399517,4.428355,1.149718
cuda,DistilBertForQuestionAnswering,256,8.622176,7.737648,3.473175,1.137555,5.458662,1.886571,0.817904,0.123679,0.806150,3.981458,0.548577
cuda,DistillGPT2,16,8.827406,7.874923,4.208133,1.220090,6.229346,1.812832,0.778215,0.113373,2.115236,2.302667,5.404588
cuda,ElectraForCausalLM,32,17.209353,15.097432,7.169494,2.152266,10.787854,3.821457,1.594765,0.299108,3.195512,2.567678,9.071020
cuda,ElectraForQuestionAnswering,64,15.208313,13.134879,5.263890,2.120062,7.940609,3.563805,1.509491,0.295501,1.693907,6.594609,1.334625
cuda,GPT2ForSequenceClassification,4,14.786590,12.638163,5.279332,2.626208,7.786849,3.224628,1.416880,0.259849,1.763560,6.989682,1.402905
cuda,LayoutLMForMaskedLM,16,17.617089,15.290016,7.245162,2.185661,10.126720,3.684611,1.514615,0.308310,1.847958,1.783351,7.017227
cuda,LayoutLMForSequenceClassification,16,18.211517,15.806922,7.522369,2.201059,11.648788,4.355944,1.755213,0.301038,6.452018,6.322835,12.881659
cuda,M2M100ForConditionalGeneration,16,37.530703,33.019979,13.562797,5.299502,22.239670,8.327336,3.823341,0.833428,4.185293,11.437545,18.409185
cuda,MBartForCausalLM,4,16.581522,14.755974,7.069301,2.222462,10.833649,3.680962,1.547073,0.309793,2.061329,2.163718,8.147632
cuda,MBartForConditionalGeneration,2,38.291984,33.784607,13.582398,6.244251,21.314997,10.193059,3.947276,1.231581,1.019580,0.637054,15.259817
cuda,MT5ForConditionalGeneration,16,26.514436,22.698717,9.450348,3.826333,14.629934,6.524042,2.224028,0.474124,4.345607,20.335436,13.543616
cuda,MegatronBertForCausalLM,4,29.642676,25.634277,10.017959,4.979931,14.883333,7.403597,3.051678,0.851549,1.070953,11.118441,0.405915
cuda,MegatronBertForQuestionAnswering,8,29.688992,25.624859,9.910830,4.993565,14.718783,7.368031,3.022182,0.861523,1.235927,11.243307,0.514881
cuda,MobileBertForMaskedLM,64,49.535073,40.989680,11.768284,7.721350,26.047813,13.973034,5.657105,3.313712,3.073857,25.848639,1.711020
cuda,MobileBertForQuestionAnswering,128,49.571888,41.030615,11.655612,7.738266,25.980338,13.901286,5.660819,3.398492,2.620315,25.471509,1.017838
cuda,OPTForCausalLM,2,15.998907,14.299798,6.732736,2.160673,10.014393,3.962018,1.613028,0.276802,2.526391,3.083753,8.257995
cuda,PLBartForCausalLM,8,10.043712,9.155059,4.991415,1.117339,7.307104,1.853310,0.785646,0.120935,1.327402,1.552009,4.810969
cuda,PLBartForConditionalGeneration,4,21.027949,18.630496,8.110630,3.084718,12.234734,4.674121,2.000516,0.413204,2.479263,2.612040,9.819571
cuda,PegasusForCausalLM,32,16.058599,14.344718,6.823142,2.522923,10.606412,3.378417,1.548937,0.306316,2.502670,2.330701,8.909052
cuda,PegasusForConditionalGeneration,32,36.974369,32.633257,12.784502,5.532406,20.476540,8.449989,3.848946,0.870469,1.964816,0.641445,15.445516
cuda,RobertaForCausalLM,16,16.155646,14.026691,6.055122,2.170044,8.603128,3.655589,1.534842,0.298176,0.720720,0.710823,5.539362
cuda,RobertaForQuestionAnswering,16,15.266744,13.179432,5.285597,2.122952,7.610476,3.550712,1.482482,0.290443,0.375235,4.926055
cuda,Speech2Text2ForCausalLM,256,10.313759,9.385088,5.674834,0.971167,8.302623,1.555722,0.777993,0.121179,1.469328,1.339205,5.117770
cuda,T5ForConditionalGeneration,4,19.291605,16.587165,7.752839,2.803342,11.574499,4.328209,1.614309,0.304583,2.932789,6.323279,9.687777
cuda,T5Small,4,18.877407,16.184888,7.394515,2.772961,11.180859,4.280503,1.614508,0.295699,3.094788,6.477279,9.781702
cuda,TrOCRForCausalLM,32,15.936181,14.126296,6.419781,2.018923,10.003392,3.454596,1.472067,0.290582,1.302733,1.378818,7.001704
cuda,XGLMForCausalLM,8,31.734854,28.241303,11.857260,5.035259,19.670392,7.822618,3.210865,0.873673,4.499757,32.753268,17.563301
cuda,XLNetLMHeadModel,8,44.360484,39.767989,17.811180,7.696493,21.837982,12.301342,3.418943,0.846349,7.946377,12.652850
cuda,YituTechConvBert,16,23.683527,20.713532,8.722903,3.705971,14.453625,5.481941,2.274005,0.502002,7.033891,8.909144,16.631245
