dev,name,batch_size,accuracy
cuda,BERT_pytorch,2,eager_variation
cuda,Background_Matting,4,fail_to_run
cuda,LearningToPaint,2,fail_to_run
cuda,Super_SloMo,2,eager_variation
cuda,alexnet,2,fail_to_run
cuda,attention_is_all_you_need_pytorch,2,fail_to_run
cuda,dcgan,2,fail_to_run
cuda,demucs,4,pass
cuda,densenet121,2,eager_variation
cuda,dlrm,2,fail_to_run
cuda,drq,1,fail_to_run
cuda,fastNLP_Bert,2,eager_variation
cuda,functorch_dp_cifar10,2,fail_to_run
cuda,hf_Albert,2,eager_variation
cuda,hf_Bart,2,eager_variation
cuda,hf_Bert,2,fail_to_run
cuda,hf_BigBird,2,eager_variation
cuda,hf_DistilBert,2,eager_variation
cuda,hf_GPT2,2,eager_variation
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,2,eager_variation
cuda,hf_Reformer,2,eager_variation
cuda,hf_T5,2,eager_variation
cuda,hf_T5_base,2,fail_to_run
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,2,fail_to_run
cuda,mnasnet1_0,2,eager_variation
cuda,mobilenet_v2,2,fail_to_run
cuda,mobilenet_v2_quantized_qat,2,fail_to_run
cuda,mobilenet_v3_large,2,eager_variation
cuda,moco,2,fail_to_run
cuda,nvidia_deeprecommender,2,fail_to_run
cuda,pytorch_CycleGAN_and_pix2pix,1,eager_variation
cuda,pytorch_stargan,16,fail_to_run
cuda,pytorch_struct,200,fail_to_run
cuda,pytorch_unet,2,fail_to_run
cuda,resnet18,2,eager_variation
cuda,resnet50,2,eager_variation
cuda,resnet50_quantized_qat,2,eager_variation
cuda,resnext50_32x4d,2,fail_to_run
cuda,shufflenet_v2_x1_0,2,fail_to_run
cuda,soft_actor_critic,256,fail_to_run
cuda,speech_transformer,2,eager_variation
cuda,squeezenet1_1,2,fail_to_run
cuda,tacotron2,2,eager_variation
cuda,timm_efficientdet,2,eager_variation
cuda,timm_efficientnet,2,eager_variation
cuda,timm_nfnet,2,eager_variation
cuda,timm_regnet,2,fail_to_run
cuda,timm_resnest,2,fail_to_run
cuda,timm_vision_transformer,2,eager_variation
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,2,eager_variation
cuda,tts_angular,2,fail_to_run
cuda,vgg16,2,fail_to_run
cuda,vision_maskrcnn,2,fail_to_run
cuda,yolov3,2,eager_variation
