,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.00x,1.01x
aot_eager,aot_eager,0.89x,0.92x,0.84x
aot_cudagraphs,aot_cudagraphs,1.00x,0.0x,0.0x
aot_nvfuser,aot_nvfuser,0.98x,0.0x,0.81x
inductor,inductor,0.84x,1.08x,0.88x
