,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.02x,1.00x
ts_nvfuser,ts_nvfuser,1.13x,1.11x,1.17x
aot_eager,aot_eager,1.00x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.09x,1.07x,1.06x
aot_nvfuser,aot_nvfuser,1.07x,1.18x,1.06x
inductor_cudagraphs,inductor_cudagraphs,1.39x,1.49x,1.30x
