,Compiler,torchbench,huggingface,timm_models
eager,eager,"96%, 52/54","98%, 41/42","98%, 60/61"
aot_eager,aot_eager,"94%, 51/54","95%, 40/42","93%, 57/61"
aot_cudagraphs,aot_cudagraphs,"85%, 46/54","81%, 34/42","89%, 54/61"
nvprims_nvfuser,nvprims_nvfuser,"59%, 32/54","10%, 4/42","52%, 32/61"
inductor,inductor,"81%, 44/54","90%, 38/42","90%, 55/61"
inductor_no_cudagraphs,inductor_no_cudagraphs,"85%, 46/54","90%, 38/42","90%, 55/61"
