dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,37.582982,33.682771,28.953193,17.733175,4.783234,27.300429,8.847449,5.191178,0.585364,96.334682,14.689013
cuda,beit_base_patch16_224,64,22.215694,19.642374,14.985961,9.961972,1.519744,16.509031,3.408730,1.790699,0.241089,2.884327,8.211306
cuda,botnet26t_256,128,24.512407,22.270541,18.655686,14.251435,2.252308,21.478731,6.012367,2.391434,0.132231,55.666178,9.611784
cuda,cait_m36_384,4,46.875690,38.574081,35.215727,16.587580,5.083547,33.572303,12.671902,7.347216,2.002337,20.222597,23.359138
cuda,coat_lite_mini,128,26.005795,23.662335,18.953404,13.951213,2.083803,26.875773,6.888324,2.691884,0.211969,39.217290,15.149637
cuda,convit_base,64,22.854602,20.065124,16.128200,10.172588,2.154855,18.575898,4.502376,2.213652,0.264514,8.236593,10.723963
cuda,convmixer_768_32,32,21.532387,20.033222,15.233327,7.270928,3.177289,13.315899,2.619950,1.819847,0.274756,9.458658,2.499330
cuda,convnext_base,64,24.719505,20.283114,16.331519,9.811308,2.969616,19.681814,4.726507,2.406293,0.458189,7.245462,13.042809
cuda,crossvit_9_240,128,29.473853,25.344207,20.590132,12.084739,2.590804,25.221640,6.221930,3.055441,0.390475,32.796431,16.373460
cuda,cspdarknet53,64,29.039572,24.164510,19.727759,11.322103,3.134565,18.348331,4.619693,2.472322,0.327064,51.955888,10.411447
cuda,deit_base_distilled_patch16_224,64,20.764454,18.413058,13.679281,9.251825,1.670917,16.762218,2.807413,1.556454,0.192673,3.563715,9.311890
cuda,dla102,128,36.129261,31.778690,27.403138,14.616171,5.151746,22.032561,6.899565,3.628345,0.550720,37.062721,12.948147
cuda,dm_nfnet_f0,128,25.337606,20.313789,16.683863,8.804425,3.462644,17.050907,4.655702,2.104364,0.262706,25.298409,12.215544
cuda,dpn107,32,42.621315,35.481719,31.595171,16.629868,4.980187,26.167595,7.194924,4.065496,0.531585,28.587945,15.232140
cuda,eca_botnext26ts_256,128,27.790955,25.318696,20.493846,15.418285,2.782250,22.250106,6.006032,2.485475,0.152629,59.123533,9.771719
cuda,ese_vovnet19b_dw,128,18.832775,16.957262,12.173210,9.027001,1.569166,15.055901,3.341523,1.503928,0.117043,47.663095,7.695166
cuda,fbnetc_100,128,28.394797,24.850471,20.043132,12.665532,3.108490,19.420073,4.433116,2.337970,0.292894,94.631750,10.097195
cuda,fbnetv3_b,128,41.111693,35.112755,30.394982,17.153911,5.414288,26.450142,7.898894,3.863599,0.626624,94.860466,15.114362
cuda,gernet_l,128,24.444050,20.698509,16.177366,9.517719,2.359806,15.159764,3.198177,1.762058,0.224857,45.641922,8.196796
cuda,ghostnet_100,128,38.368504,32.965236,28.322623,17.286114,4.396339,29.403284,7.747196,3.931923,0.486524,173.691428,16.851960
cuda,gluon_inception_v3,128,37.695392,33.689799,29.071359,17.456330,4.605572,27.384151,9.021665,5.232044,0.566984,96.020730,14.881361
cuda,gluon_xception65,32,39.098910,33.550045,29.099989,14.083092,4.966120,20.556323,6.636303,3.291605,0.691340,31.215044,12.234402
cuda,gmixer_24_224,128,26.458780,22.346142,17.771075,10.324523,2.032892,19.825100,5.545399,2.604548,0.390318,6.125965,11.754691
cuda,gmlp_s16_224,128,26.895759,23.369663,18.776103,11.346318,2.684608,22.092281,5.111048,2.694085,0.388653,12.864071,13.646555
cuda,hrnet_w18,128,95.294125,87.179713,82.545455,39.761963,16.683543,56.029975,25.296592,11.415438,4.899849,85.580278,34.130336
cuda,inception_v3,128,37.611559,33.290072,28.568431,17.116186,4.508534,27.004315,9.143090,4.832461,0.572096,97.421564,14.734828
cuda,jx_nest_base,32,35.672976,30.575485,25.893000,16.249220,3.300811,29.659045,9.333624,4.027065,0.548414,19.259580,17.005791
cuda,lcnet_050,128,19.680212,17.952183,13.492931,9.529379,1.968311,14.707516,2.617006,1.613094,0.122054,65.723813,7.422597
cuda,mixer_b16_224,128,18.135354,16.377857,11.821218,8.142383,1.173321,14.571295,2.210534,1.116230,0.138936,5.141676,7.707476
cuda,mixnet_l,128,36.596305,30.000544,25.450099,15.354620,3.945052,24.466353,6.047244,3.521935,0.499771,93.385746,13.353855
cuda,mnasnet_100,128,23.861256,21.021891,17.349454,11.150683,2.499958,17.111668,3.665748,1.899818,0.206888,86.312639,8.637347
cuda,mobilenetv2_100,128,26.071190,23.159844,18.504341,12.127051,2.730094,18.426598,3.863722,1.933825,0.223516,90.875766,9.221827
cuda,mobilenetv3_large_100,128,27.110433,24.180351,19.279282,12.737895,3.096186,20.874819,4.290123,2.221329,0.239551,106.488505,11.432821
cuda,mobilevit_s,64,39.683773,35.890958,31.242711,23.632303,4.207716,38.625235,13.072578,6.230547,0.341920,123.562426,19.433324
cuda,nfnet_l0,128,24.974674,20.810542,16.284320,8.785294,2.619133,17.354918,4.679216,2.090254,0.265388,36.852709,11.664631
cuda,pit_b_224,64,20.394178,18.104714,14.288845,9.418671,1.523080,16.832538,3.764605,1.786709,0.215439,11.400223,9.077178
cuda,pnasnet5large,16,67.570058,60.279838,56.529487,28.062230,10.933151,42.577818,18.526938,9.047793,1.853262,45.742237,26.249635
cuda,poolformer_m36,64,37.659246,32.509747,28.204491,16.523102,5.600925,30.612357,14.072555,6.018455,0.582727,24.074505,20.478258
cuda,regnety_002,128,24.275152,20.854797,16.248856,10.317868,2.314523,16.951378,3.818232,1.828842,0.232002,69.477972,9.134056
cuda,repvgg_a2,128,22.618769,18.992239,15.704902,9.075645,2.450772,14.236475,3.279670,1.581606,0.210595,27.003220,7.813739
cuda,res2net101_26w_4s,64,56.623395,49.840256,45.448400,22.981908,8.532855,33.673011,13.789164,6.682551,1.474220,54.134767,19.860692
cuda,res2net50_14w_8s,128,51.739688,45.886892,41.284624,20.776117,7.477156,33.483024,12.943211,6.225754,1.213347,34.268650,20.747953
cuda,res2next50,128,31.104713,27.784152,24.376096,13.489157,3.999044,20.852188,6.871167,3.635149,0.473292,35.233519,12.036893
cuda,resmlp_12_224,128,14.579151,12.860875,9.646499,6.960567,0.855026,22.598803,2.015890,1.217128,0.124441,7.218709,16.568778
cuda,resnest101e,64,49.390793,41.390710,38.046952,18.479023,6.921317,30.134444,11.147882,5.639030,1.103761,72.783771,19.147724
cuda,rexnet_100,128,31.467884,27.194372,23.913523,15.611006,3.322344,27.357575,5.883425,2.965908,0.309013,238.161642,15.315489
cuda,sebotnet33ts_256,64,30.053308,26.494388,23.217062,16.838861,3.402301,24.569893,8.106407,3.230137,0.210205,71.806040,11.327860
cuda,selecsls42b,128,20.043815,18.458983,15.150909,10.205508,1.966057,17.163759,4.277513,2.028198,0.166393,57.300004,9.066938
cuda,spnasnet_100,128,26.052191,22.603010,19.157079,11.970729,2.991495,18.416611,4.298225,2.490901,0.268165,91.950463,9.654743
cuda,swin_base_patch4_window7_224,64,40.189803,34.308017,30.906449,18.915646,4.126844,36.274972,12.628117,6.014670,0.625611,36.146106,21.826778
cuda,swsl_resnext101_32x16d,32,31.072853,27.096509,23.639827,11.101178,4.188906,17.129261,5.442078,2.688489,0.463210,9.948957,10.945107
cuda,tf_efficientnet_b0,128,26.968954,23.224941,19.778221,12.606440,3.097490,20.948809,5.094290,2.467796,0.288029,102.038545,11.652627
cuda,tf_mixnet_l,128,35.223286,28.493135,25.131248,15.014986,4.014365,24.431253,6.423389,3.774064,0.501377,98.989171,13.728621
cuda,tinynet_a,128,29.242728,25.077770,21.776742,13.154292,3.652091,21.491051,5.544392,2.781406,0.362383,110.061132,12.244746
cuda,tnt_s_patch16_224,128,30.429832,25.530606,22.198193,11.529182,3.290398,21.252414,6.792368,3.257990,0.633422,12.742996,13.306209
cuda,twins_pcpvt_base,64,39.628759,32.744445,29.394488,15.694376,4.963282,29.022342,10.082318,4.702356,1.041444,57.806072,18.680443
cuda,visformer_small,128,20.410916,18.222769,14.741462,9.823107,2.239135,15.395413,2.933072,1.443276,0.173618,29.620110,7.966446
cuda,vit_base_patch16_224,64,18.569154,16.323662,12.847801,8.493216,1.474946,15.183151,2.436466,1.464847,0.187750,3.748537,8.290591
cuda,volo_d1_224,64,27.971323,24.292918,20.810501,12.665106,3.191166,22.614988,6.856262,3.170143,0.416150,21.779290,13.377947
cuda,xcit_large_24_p8_224,5,48.436523,40.896971,37.549475,19.065236,7.164159,35.644639,14.164487,7.238400,1.763911,32.127241,24.661540
