dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.108995,11.674660,2.492449,13.119800,4.264444,1.288215,0.250594,4.038253
cuda,Background_Matting,4,1.309107,4.772684,2.040052,7.468678,3.620297,1.767342,0.178934,4.810661
cuda,LearningToPaint,96,0.565416,2.394850,0.686033,3.457045,1.176902,0.455375,0.065718,1.781965
cuda,Super_SloMo,6,1.569440,6.996094,1.834888,7.920366,3.956004,1.688611,0.087847,2.818017
cuda,alexnet,128,0.095826,1.336829,0.149412,1.974452,0.362602,0.160855,0.010828,0.792344
cuda,attention_is_all_you_need_pytorch,256,1.689247,7.787038,2.335090,9.691810,4.213080,1.479825,0.301684,4.342368
cuda,dcgan,32,0.104993,1.191482,0.129060,1.761625,0.139687,0.066895,0.010117,0.705846
cuda,demucs,4,0.214153
cuda,densenet121,4,3.170064,13.515443,5.761087,19.028652,10.921422,3.674542,0.577791,11.485849
cuda,drq,1,0.184288,1.643319,0.093784,2.596849,0.097536,0.048568,0.011449,1.054571
cuda,fastNLP_Bert,6,2.002519,8.681186,1.888729,11.133252,4.103959,1.335342,0.238673,4.434788
cuda,functorch_dp_cifar10,64,0.412211,2.716191,1.036826,4.726748,1.944321,0.563067,0.058249,3.089080
cuda,hf_Albert,8,1.483545,3.245308,1.550010,5.654414,2.480818,0.954436,0.138463,4.038944
cuda,hf_Bart,4,2.172560,6.952055,2.427924,10.059051,4.023047,2.002756,0.342371,5.649927
cuda,hf_Bert,4,1.974526,7.145998,1.910906,8.530316,3.461872,1.503157,0.246495,3.380801
cuda,hf_BigBird,2,9.776125,5.064150,1.496938,7.963420,2.005571,0.948145,0.182726,4.494020
cuda,hf_DistilBert,8,0.800969,3.413002,1.064807,4.347659,1.667739,0.622665,0.104596,2.044222
cuda,hf_GPT2,4,1.937458,7.139924,2.166446,8.097723,2.897830,1.168946,0.194507,3.205559
cuda,hf_GPT2_large,4,6.878868,29.179595,5.019320,32.952770,12.339422,3.289780,0.886539,9.027016
cuda,hf_Reformer,4,2.900632,6.753144,0.666847,6.905524,1.077117,0.744613,0.055475,0.865624
cuda,hf_T5,8,2.718121,7.353499,2.151426,9.614630,2.831482,1.202136,0.261180,4.789486
cuda,hf_T5_large,2,15.603372,36.165170,7.584636,44.948511,15.894976,4.631527,1.986221,16.807043
cuda,lennard_jones,1000,0.069046,0.797413,0.056925,1.317218,0.041918,0.028405,0.005653,0.580732
cuda,mnasnet1_0,32,1.196416,5.083800,1.562008,6.886026,3.188774,1.265778,0.187130,3.439539
cuda,mobilenet_v2,96,1.261182,5.594141,1.970503,6.970598,3.301188,1.359329,0.213264,3.424522
cuda,mobilenet_v3_large,32,1.397977,5.265254,1.794436,7.381531,3.628862,1.347267,0.213751,3.993843
cuda,nvidia_deeprecommender,256,0.126214,0.905097,0.102281,1.483344,0.087917,0.043913,0.008191,0.685975
cuda,pytorch_CycleGAN_and_pix2pix,1,0.476549,2.372175,0.692031,4.091442,1.463063,0.687815,0.064087,2.454375
cuda,pytorch_stargan,16,0.505266,1.753170,0.565982,2.815997,0.985002,0.287301,0.046975,1.664113
cuda,pytorch_struct,200,0.198194,1.151363,0.139188,2.135801,0.157589,0.093406,0.019036,1.134032
cuda,pytorch_unet,1,0.634588,2.858336,0.735870,4.036059,1.681846,0.613123,0.062754,1.946407
cuda,resnet18,16,0.502361,2.790968,0.860359,3.581416,1.320709,0.574147,0.063258,1.806144
cuda,resnet50,32,1.258131,4.144547,1.600966,5.752145,2.897988,1.101178,0.184378,3.285156
cuda,resnext50_32x4d,8,1.308771,3.754563,1.473485,5.728848,2.736730,1.104584,0.170150,3.533866
cuda,shufflenet_v2_x1_0,128,1.523233,5.401732,2.388299,7.572777,3.317034,1.884591,0.260645,4.658641
cuda,soft_actor_critic,256,0.111618,1.387205,0.056202,2.281852,0.048012,0.028612,0.005713,0.954976
cuda,speech_transformer,32,2.271379,9.308039,2.354479,13.154022,4.329138,1.631115,0.279542,6.313349
cuda,squeezenet1_1,32,0.247639,1.733145,0.358951,2.354339,0.545821,0.303184,0.029373,0.993325
cuda,timm_efficientdet,1,21.078725,17.432717,7.955011,27.014105,16.178444,4.810686,1.312472,17.885909
cuda,timm_efficientnet,32,2.177601,5.522543,2.656149,7.505967,3.610559,1.595464,0.274830,4.748862
cuda,timm_nfnet,128,2.469612,9.554774,4.538040,9.835329,5.804458,1.724531,0.265935,4.962729
cuda,timm_regnet,32,2.955896,5.049468,2.006411,7.174726,3.697445,1.313523,0.325377,4.248435
cuda,timm_resnest,32,0.713866,3.862506,1.008178,6.030111,2.796530,1.332226,0.093591,3.214659
cuda,timm_vision_transformer,8,1.024730,3.608398,1.487075,5.050760,2.332014,1.043158,0.165238,2.999087
cuda,timm_vision_transformer_large,8,3.486308,9.514186,4.866469,13.503905,7.610210,3.194530,0.894709,9.723772
cuda,timm_vovnet,32,1.711370,4.578974,1.338282,7.153893,3.680699,1.440953,0.145048,3.976537
cuda,tts_angular,64,0.122065,0.894289,0.044480,1.261185,0.027116,0.013950,0.001465,0.413463
cuda,vgg16,64,0.150252,1.382505,0.307304,2.152540,0.531641,0.220427,0.017806,1.087262
cuda,yolov3,16,3.468242,42.838868,3.930812,374.936266,14.380779,5.951274,0.330773,336.142138
