dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.487739,2.795138,1.848680,4.880494,2.171804,0.916536,0.133135,4.018118
cuda,AlbertForQuestionAnswering,2,1.503145,2.983980,1.831936,5.046613,2.182752,0.944315,0.131441,3.980347
cuda,BartForCausalLM,2,1.587331,4.499475,1.795802,5.812991,2.689297,1.057773,0.211936,3.194359
cuda,BartForConditionalGeneration,1,4.688245,9.426631,3.792379,12.017968,5.619928,2.145994,0.730407,6.596251
cuda,BertForMaskedLM,64,2.173604,7.189899,2.464924,8.119858,3.258224,1.184779,0.251635,3.485717
cuda,BertForQuestionAnswering,64,2.251900,5.079810,2.391741,6.101622,3.187712,1.172958,0.244053,3.503628
cuda,BigBird,1,9.723507,5.113617,1.218940,8.162505,1.817297,1.424134,0.182787,4.369681
cuda,BlenderbotSmallForCausalLM,64,1.114148,3.468606,1.266011,4.889071,1.972301,0.806908,0.140344,2.742923
cuda,BlenderbotSmallForConditionalGeneration,32,2.915663,6.503422,2.786890,9.806898,4.972521,1.898221,0.465440,6.231676
cuda,CamemBert,1,2.230024,6.681588,2.144843,7.614418,2.880461,1.012805,0.226761,3.167405
cuda,DebertaForMaskedLM,4,6.006116,11.613295,2.772221,14.621255,5.283767,1.814245,0.306096,5.982477
cuda,DebertaForQuestionAnswering,4,6.415725,10.221191,2.703809,12.470927,4.884236,1.819975,0.301265,5.155762
cuda,DistilBertForMaskedLM,16,0.822790,3.435350,1.102081,4.422604,1.687466,0.620560,0.107628,2.313529
cuda,DistilBertForQuestionAnswering,32,0.850593,3.424441,1.067616,4.543152,1.685033,0.611851,0.108572,2.416899
cuda,DistillGPT2,1,0.994002,3.863836,0.757772,4.860043,1.505418,0.554854,0.085954,1.794943
cuda,ElectraForCausalLM,1,2.219179,6.932970,2.202717,7.918433,2.870613,1.017101,0.230254,3.279488
cuda,ElectraForQuestionAnswering,64,2.210704,7.349981,1.865771,9.056904,4.020013,1.213125,0.253847,3.665060
cuda,GPT2ForSequenceClassification,4,2.153858,6.991925,1.748214,8.475833,3.488133,1.167706,0.192811,3.311463
cuda,GoogleFnet,1,1.157359,4.065053,0.966403,6.442990,1.417552,0.622342,0.103944,3.406062
cuda,LayoutLMForMaskedLM,16,2.394912,7.154266,2.188938,8.120996,3.308855,1.204612,0.255946,3.244270
cuda,LayoutLMForSequenceClassification,16,2.395737,5.451308,2.150361,7.360751,3.872192,1.399398,0.250875,4.149323
cuda,M2M100ForConditionalGeneration,2,4.352459,12.705775,3.698639,18.506975,6.475701,2.864687,0.625293,10.227959
cuda,MBartForCausalLM,16,1.629435,4.625505,1.884170,6.405919,3.139224,1.168763,0.229755,3.747492
cuda,MBartForConditionalGeneration,8,4.403966,10.541092,4.135530,14.610970,7.607544,2.671376,0.840349,8.901484
cuda,MT5ForConditionalGeneration,2,4.238190,10.216750,2.892016,13.484954,5.091507,1.673084,0.407249,6.321000
cuda,MegatronBertForCausalLM,2,4.279327,14.765947,4.295224,16.781766,7.374721,2.354061,0.653179,6.489771
cuda,MegatronBertForQuestionAnswering,8,4.323760,14.355734,3.506061,16.748122,7.654773,2.126517,0.588897,6.074722
cuda,MobileBertForMaskedLM,16,10.056767,9.266838,3.905061,18.883747,8.056083,3.574188,1.790165,13.839305
cuda,MobileBertForQuestionAnswering,32,10.212377,9.278258,3.903048,18.411415,8.000922,3.510447,1.721725,13.343501
cuda,OPTForCausalLM,4,1.684104,4.621699,1.656329,6.772571,3.334321,1.219170,0.233093,3.884218
cuda,PLBartForCausalLM,16,0.858293,3.251267,1.088180,4.507951,1.678945,0.631386,0.102729,2.587938
cuda,PLBartForConditionalGeneration,8,2.493521,7.974510,2.495773,10.814266,4.396477,1.613509,0.337027,5.448581
cuda,PegasusForCausalLM,8,1.796598,5.437171,1.760980,7.005170,2.931365,1.076637,0.208271,3.414906
cuda,PegasusForConditionalGeneration,4,4.337718,10.548436,4.844179,14.327701,6.626213,2.887744,0.638348,8.834774
cuda,RobertaForCausalLM,4,2.172878,7.343017,2.609868,8.194477,3.338876,1.218452,0.248738,3.552893
cuda,RobertaForQuestionAnswering,64,2.251612,5.335104,1.846260,6.767140,3.809632,1.186459,0.243451,3.366689
cuda,Speech2Text2ForCausalLM,64,1.095975,3.707201,0.795728,5.603451,1.372898,0.585977,0.096848,2.732934
cuda,T5ForConditionalGeneration,4,2.967693,7.327534,1.962327,12.290153,3.721783,1.278750,0.265004,7.032960
cuda,T5Small,1,2.934685,6.711641,1.536001,8.446096,2.812674,0.999864,0.240341,3.375431
cuda,TrOCRForCausalLM,8,1.706125,4.286764,1.795346,5.436551,2.700908,1.043273,0.211222,3.026337
cuda,XGLMForCausalLM,1,3.671319,13.384576,3.106248,16.672913,7.003173,1.958973,0.570887,6.575935
cuda,XLNetLMHeadModel,4,5.105520,21.902005,4.686173,24.555193,8.929219,3.045469,0.750072,8.337005
cuda,YituTechConvBert,1,3.245128,8.464692,2.714982,10.053919,4.183530,1.926115,0.379640,4.736264
