dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.398084,10.768538,4.352680,14.782666,7.597111,3.610729,0.564378,8.516911
cuda,beit_base_patch16_224,64,1.423736,4.565382,1.695565,6.922891,2.588856,1.632586,0.214302,4.133014
cuda,botnet26t_256,128,1.560226,7.645302,2.632290,9.979212,5.557359,2.039472,0.130204,5.036786
cuda,cait_m36_384,2,4.639497,11.135873,5.939446,19.527067,10.704077,4.810606,1.621972,15.373072
cuda,coat_lite_mini,128,1.343707,5.528187,3.101180,11.395546,5.518307,2.250545,0.188929,9.046283
cuda,convit_base,32,1.444425,4.967746,2.223106,7.995929,4.057961,1.680818,0.239941,5.347292
cuda,convmixer_768_32,32,1.739813,3.966786,2.288585,5.046982,1.889360,0.996795,0.237127,3.473209
cuda,convnext_base,32,1.863378,8.600527,4.127161,14.448118,6.656276,2.779991,0.460664,10.094208
cuda,crossvit_9_240,64,2.131430,6.584779,3.357841,9.025878,4.720976,1.901798,0.324037,5.935924
cuda,cspdarknet53,64,2.997241,5.952205,2.282710,8.213319,4.160390,1.692241,0.333920,4.657485
cuda,deit_base_distilled_patch16_224,64,1.059516,3.979382,1.450886,6.371129,2.965695,1.102939,0.169537,3.912539
cuda,dla102,64,2.713232,8.219661,3.439894,11.750149,5.958989,2.948029,0.512522,7.133464
cuda,dm_nfnet_f0,128,2.520647,9.349993,4.223356,9.382470,5.869988,1.757348,0.271761,4.727923
cuda,dpn107,32,5.030204,9.171416,4.114517,13.190416,6.900047,2.861918,0.499021,8.343464
cuda,eca_botnext26ts_256,64,1.626912,8.219284,2.841009,10.744354,5.533519,2.656715,0.152541,5.438526
cuda,eca_halonext26ts,64,1.679461,9.990207,3.064896,14.655046,9.424452,3.149453,0.158144,7.806839
cuda,ese_vovnet19b_dw,128,1.099461,4.617851,1.302278,6.584806,3.272433,1.262654,0.110893,3.315381
cuda,fbnetc_100,128,2.641330,6.062262,2.109091,8.224937,4.181742,1.720272,0.287100,4.371376
cuda,fbnetv3_b,128,4.257426,9.515257,4.224261,12.297263,6.625957,2.658490,0.673202,7.552659
cuda,gernet_l,128,2.504258,4.351137,2.210243,5.322115,2.275962,1.198762,0.220408,3.271877
cuda,ghostnet_100,128,3.453735,8.977809,3.221441,13.704880,7.321271,3.061055,0.475754,8.092481
cuda,gluon_inception_v3,128,2.337602,10.180999,4.614551,13.765826,7.570483,3.583836,0.562461,8.363473
cuda,gluon_xception65,32,3.156970,7.482907,3.260901,10.581205,6.070031,2.004766,0.599763,6.568763
cuda,gmixer_24_224,64,1.837687,4.740211,2.170434,8.941437,4.232095,1.864245,0.319812,6.787622
cuda,gmlp_s16_224,64,1.613026,8.728438,2.880225,12.961393,7.636513,2.483750,0.314908,7.236165
cuda,hrnet_w18,2,9.254807,18.253951,9.867767,26.515439,15.557789,5.419520,2.625061,19.441618
cuda,inception_v3,128,2.327783,9.948502,4.262098,13.542882,7.500802,3.560931,0.559193,8.006556
cuda,jx_nest_base,32,2.449867,11.102885,4.501533,16.583096,8.469868,3.866562,0.528922,10.141978
cuda,lcnet_050,128,1.124044,4.335186,1.325326,5.292021,2.364411,1.267793,0.123706,2.495443
cuda,mixer_b16_224,64,0.795905,4.514333,1.631751,6.024460,2.753525,0.960529,0.126840,3.203252
cuda,mixnet_l,64,6.173384,7.044020,2.872705,10.864004,5.307843,2.584835,0.503263,6.827027
cuda,mnasnet_100,128,1.947763,5.338275,1.675468,7.062008,3.564230,1.429749,0.204427,3.479853
cuda,mobilenetv2_100,128,2.042549,5.570191,1.770946,7.090260,3.689903,1.421556,0.219670,3.374447
cuda,mobilenetv3_large_100,128,1.961450,5.886393,2.215369,7.786584,3.848731,1.637329,0.245266,4.199237
cuda,mobilevit_s,32,2.210232,12.711187,4.091195,20.339919,11.589095,5.409846,0.307429,11.823027
cuda,nfnet_l0,64,2.280305,4.595262,2.604881,6.714752,3.323683,1.269395,0.278384,4.850782
cuda,pit_b_224,64,1.202879,4.371219,2.377877,5.802772,2.679213,1.248770,0.193707,3.893366
cuda,pnasnet5large,16,6.917782,18.744655,8.250179,28.570314,16.855794,6.367339,1.698148,18.427286
cuda,poolformer_m36,64,2.651587,15.092538,6.468705,21.594854,13.912550,4.286790,0.637710,13.184673
cuda,regnety_002,128,1.961386,4.814653,1.646341,6.717649,3.391143,1.322354,0.234968,3.633320
cuda,repvgg_a2,128,2.494880,4.484371,1.744709,6.036416,3.097800,1.026183,0.196995,3.378640
cuda,res2net101_26w_4s,64,4.737339,14.178468,5.850583,20.114465,11.748629,4.620648,1.451223,12.059495
cuda,res2net50_14w_8s,2,4.281846,10.002328,4.040420,16.194267,9.434250,3.342286,0.776925,10.469198
cuda,res2next50,2,2.309254,6.382504,2.643850,9.959543,5.091623,2.538248,0.348216,6.354645
cuda,resmlp_12_224,128,0.760901,3.010735,1.044578,5.540246,2.063515,0.864220,0.115654,3.618077
cuda,resnest101e,32,4.886973,10.408499,5.217881,17.188795,10.007504,3.832196,1.079224,12.262218
cuda,rexnet_100,128,2.527112,7.688197,2.952343,11.040373,5.238466,2.238181,0.294516,6.420610
cuda,sebotnet33ts_256,64,2.042754,9.420959,3.323236,12.806842,7.148730,3.097476,0.213830,6.802297
cuda,selecsls42b,128,0.997440,4.477559,1.448725,7.809130,4.181023,1.675058,0.168115,4.842086
cuda,spnasnet_100,128,2.588084,6.035048,2.036751,7.785046,4.141512,1.677310,0.272327,4.117783
cuda,swin_base_patch4_window7_224,64,3.652915,15.122889,5.619105,22.888104,12.622143,4.842875,0.531819,13.956319
cuda,swsl_resnext101_32x16d,32,2.594327,5.776292,3.148092,7.633619,4.081489,1.614226,0.394562,5.162467
cuda,tf_efficientnet_b0,128,2.306229,6.601435,2.480028,9.582402,4.744523,2.258515,0.294675,5.566766
cuda,tf_mixnet_l,64,6.529966,7.642706,2.978745,11.334308,5.691376,2.829958,0.505099,6.808134
cuda,tinynet_a,128,2.648935,6.831696,2.743678,9.521775,4.831166,2.103529,0.371010,5.922593
cuda,tnt_s_patch16_224,64,2.442617,7.583165,4.082805,10.758668,5.612485,2.353985,0.543016,7.425199
cuda,twins_pcpvt_base,32,3.360519,11.185199,5.296938,18.878758,10.091621,4.042622,0.956015,13.208686
