dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.761404,3.319255,1.954841,7.383365,2.890016,0.995099,0.133468,6.093774,0.927621
cuda,AlbertForQuestionAnswering,4,1.755314,3.341859,1.898919,7.637168,2.870145,0.997943,0.132164,6.268236,0.543303
cuda,BartForCausalLM,4,1.810750,5.449080,1.911606,8.367423,2.904640,1.084597,0.199442,1.385221,4.909427
cuda,BartForConditionalGeneration,2,4.996858,13.295587,6.100177,18.327672,7.512885,2.818474,0.777682,1.102849,11.657003
cuda,BertForMaskedLM,16,2.442724,5.748987,2.242587,7.843973,2.450212,1.189264,0.233115,4.637971,1.436672
cuda,BertForQuestionAnswering,16,2.391101,5.723737,2.405013,7.704087,2.429477,1.180819,0.232981,4.470669,1.039669
cuda,BlenderbotForCausalLM,4,3.757106,9.566671,4.233882,14.153678,5.617989,2.280264,0.529536,4.003837,9.226078
cuda,BlenderbotSmallForCausalLM,64,1.231705,3.138666,1.440503,5.720375,1.938906,0.814438,0.134994,4.077195,2.279028
cuda,BlenderbotSmallForConditionalGeneration,64,3.329710,7.577084,3.401357,11.792555,4.982343,2.008147,0.453037,1.932676,7.755942
cuda,CamemBert,16,2.427736,5.860733,2.644906,7.802374,2.453994,1.196329,0.234299,4.681720,0.374940
cuda,DebertaForMaskedLM,4,6.621907,15.890216,2.732941,19.271350,4.340093,2.050351,0.309767,0.831791,6.310829
cuda,DebertaForQuestionAnswering,8,6.945751,15.576530,2.526405,19.132188,4.389133,2.001334,0.305402,1.766480,6.278008
cuda,DebertaV2ForMaskedLM,1,11.100826,18.631139,3.206921,21.909361,4.119978,2.220097,0.525980,1.498765,7.085643
cuda,DebertaV2ForQuestionAnswering,2,11.214431,17.895952,3.449364,22.192610,4.813803,3.121420,0.536874,0.490585,8.071865
cuda,DistilBertForMaskedLM,128,0.927818,2.818281,1.026552,4.668792,1.319751,0.625762,0.105304,3.133507,1.195431
cuda,DistilBertForQuestionAnswering,256,0.955645,2.862709,1.223084,4.748067,1.379819,0.660783,0.105334,3.152635,0.589980
cuda,DistillGPT2,16,1.129995,4.667214,1.041668,6.439358,1.375290,0.652202,0.091671,2.689011,2.853881
cuda,ElectraForCausalLM,32,2.413449,7.807008,2.446119,11.126449,2.567299,1.231017,0.237899,2.619008,5.855094
cuda,ElectraForQuestionAnswering,64,2.402661,5.803237,2.458408,7.891516,2.487387,1.187586,0.239986,4.631089,1.323046
cuda,GPT2ForSequenceClassification,4,2.356584,4.465136,2.433275,6.421308,2.407959,1.155867,0.202898,4.467685,1.010239
cuda,GoogleFnet,16,1.248414,9.725913,1.107163,12.996201,1.717254,0.629183,0.102134,1.763036,4.435364
