dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.209627,6.818138,2.662261,8.483989,3.503153,1.273894,0.250718,8.265105,4.428477
cuda,Background_Matting,4,1.501290,4.980802,2.147103,8.285910,4.258056,1.846547,0.182240,5.530267
cuda,LearningToPaint,96,0.621880,2.567439,0.846515,3.332636,0.942288,0.462947,0.064124,1.641917
cuda,Super_SloMo,6,1.767492,7.563356,2.628701,9.615635,4.600313,2.226631,0.106218,4.755627
cuda,alexnet,128,0.102702,1.506006,0.174219,2.206828,0.369647,0.163126,0.011579,0.879891
cuda,attention_is_all_you_need_pytorch,256,1.830520,21.267387,2.760736,22.874253,3.016526,1.412994,0.284824,8.738827,4.794951
cuda,dcgan,32,0.120775,1.932870,0.160342,2.512095,0.159518,0.077000,0.010801,2.628131,0.745669
cuda,demucs,4,0.224182
cuda,densenet121,4,3.603734,13.773257,6.851948,20.402620,11.918945,3.847082,0.551547,13.680255
cuda,dlrm,2048,0.386340,1.079950,0.153561,2.058184,0.341979,0.107411,0.014051,1.138513
cuda,drq,1,0.213850,1.781450,0.116732,2.853466,0.098762,0.050603,0.012114,1.195338
cuda,fastNLP_Bert,6,2.181491,8.263603,2.265301,11.365355,2.718954,1.320005,0.237375,4.251390,5.459841
cuda,functorch_dp_cifar10,64,0.332962,3.349388,1.164399,5.827365,1.912253,0.652554,0.060610,5.732712,3.952671
cuda,hf_Albert,8,1.664193,3.069457,2.174386,6.003352,2.390855,1.002545,0.138102,5.186229,3.008223
cuda,hf_Bart,4,2.399349,9.410506,3.481753,12.654613,4.115946,1.684843,0.329060,3.133014,6.840663
cuda,hf_Bert,4,2.136870,6.501399,2.884212,8.129344,2.581639,1.209449,0.233847,4.606175,0.379521
cuda,hf_DistilBert,8,0.864784,3.171958,1.391463,4.730488,1.390275,0.643102,0.104728,2.996401,1.868139
cuda,hf_GPT2,4,2.170553,4.421432,1.875667,6.575961,2.592819,1.147584,0.199878,4.107633,1.838476
cuda,hf_GPT2_large,4,7.274230,11.776597,7.236032,16.629390,8.915257,3.337915,0.974636,12.329970,1.174844
cuda,hf_Reformer,4,2.082906,7.344512,0.668840,8.134547,1.038228,0.528432,0.049875,3.717175,1.492691
cuda,hf_T5,8,3.122953,6.757800,2.367931,11.156818,3.720203,1.255571,0.270069,5.070939,6.878691
cuda,hf_T5_large,2,16.926511,24.581119,14.277072,32.293535,16.810091,5.091336,2.169919,22.530858,24.533630
cuda,lennard_jones,1000,0.071693,0.935500,0.057126,1.466687,0.040619,0.028275,0.005397,0.591834
cuda,mnasnet1_0,32,1.401552,5.636816,2.404445,7.250619,2.735272,1.299968,0.179536,4.480166,2.808620
cuda,mobilenet_v2,96,1.482499,6.389360,2.583826,7.791919,3.640315,1.408007,0.206442,4.063143
cuda,mobilenet_v2_quantized_qat,96,2.397544,9.419692,4.931182,12.697239,6.349758,2.538928,0.538582,8.795335
cuda,mobilenet_v3_large,32,1.508897,6.093125,2.714592,8.471285,3.134495,2.003078,0.216935,5.172309,5.582536
cuda,nvidia_deeprecommender,256,0.145394,1.047924,0.104141,2.180014,0.086812,0.045390,0.008087,1.241685,0.394423
cuda,pytorch_CycleGAN_and_pix2pix,1,0.556104,2.322392,0.928200,4.497154,1.759199,0.609523,0.062458,3.140137
cuda,pytorch_stargan,16,0.594085,2.246924,0.719662,3.659503,1.006728,0.291506,0.043273,2.161874,17.424326
cuda,pytorch_struct,200,0.214217,1.162082,0.136377,2.466105,0.153779,0.093340,0.018088,1.449065,18.516418
cuda,pytorch_unet,1,0.747725,2.976594,1.171123,4.405933,1.697523,0.696407,0.067536,2.640251
cuda,resnet152,32,4.290992,10.808609,8.065095,13.370405,7.321587,2.687817,0.770034,10.849877,2.646203
cuda,resnet18,16,0.571137,3.033659,0.868109,4.451680,1.472233,0.560771,0.062761,2.314252,2.689233
cuda,resnet50,32,1.448817,4.806069,2.391608,6.276952,2.490467,1.131791,0.178340,4.164403,2.822637
cuda,resnet50_quantized_qat,32,2.288971,7.801002,4.412897,11.192663,5.598454,2.138356,0.487296,7.944004,2.710836
cuda,resnext50_32x4d,8,1.464103,4.113723,2.485512,5.759241,2.091323,1.119659,0.164352,4.205192,2.651030
cuda,shufflenet_v2_x1_0,128,1.631772,5.950758,2.313408,8.405399,3.994621,1.959096,0.258058,4.850381
cuda,soft_actor_critic,256,0.127576,1.484165,0.055017,2.369416,0.049050,0.028762,0.005620,0.943806
cuda,speech_transformer,32,2.465056,7.937072,2.348294,11.995506,3.608754,1.983877,0.259164,6.520687
cuda,squeezenet1_1,32,0.247008,1.989283,0.381889,2.677894,0.558299,0.423662,0.030253,1.081059
cuda,tacotron2,64,6.576102,17.185662,3.696315,20.027652,5.390718,3.275131,0.466596,3.948222,6.831953
cuda,timm_efficientdet,1,22.051617,18.710550,13.795734,29.433628,16.047578,5.087200,1.262265,42.848593,24.878796
cuda,timm_efficientnet,32,2.471563,6.244665,3.319818,9.020944,3.887699,1.689801,0.269164,6.193614,2.692141
cuda,timm_nfnet,128,2.783466,10.624350,5.770887,10.994463,6.047472,1.846445,0.293585,6.284365,0.712878
cuda,timm_regnet,32,3.118504,5.400473,3.810440,7.233726,2.987081,1.387480,0.308307,5.756091,2.890158
cuda,timm_resnest,32,0.813951,5.033550,1.184721,7.934009,2.925899,1.391406,0.089224,26.636440,4.266447
cuda,timm_vision_transformer,8,1.134095,4.661108,1.718733,7.047089,2.230956,1.317675,0.172565,16.901384,4.170083
cuda,timm_vision_transformer_large,8,3.847259,12.022119,7.057562,16.423396,8.589621,3.350681,0.974488,12.279171,11.684675
cuda,timm_vovnet,32,1.929161,4.832659,1.730068,7.748239,3.520794,1.341782,0.135389,4.706393,2.428530
cuda,tts_angular,64,0.107281,1.013136,0.045829,1.535555,0.027863,0.014513,0.001564,0.570048
cuda,vgg16,64,0.162201,1.551135,0.257827,2.539555,0.660507,0.224789,0.019540,1.253913
cuda,yolov3,16,3.962533,23.940984,4.973381,349.531679,13.155919,5.060259,0.316666,330.672002
