dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.060987,11.334031,5.816997,2.172975,7.883912,3.097687,1.270307,0.253813,8.152221,4.332386
cuda,Background_Matting,4,1.438904,10.022451,4.939573,2.021552,8.529576,4.479988,1.973685,0.197014,5.686962
cuda,LearningToPaint,96,0.621066,4.844299,2.534631,0.770119,3.272168,0.973410,0.475966,0.068214,1.539721
cuda,Super_SloMo,6,1.790019,12.263264,7.359870,2.565595,10.291258,5.374436,1.993171,0.116157,5.573809
cuda,alexnet,128,0.097902,1.704411,1.458073,0.187562,2.770516,0.821082,0.246341,0.012281,1.504862
cuda,attention_is_all_you_need_pytorch,256,1.883488,27.444286,21.246376,2.466218,23.264217,3.341923,1.470017,0.291351,9.022131,4.589616
cuda,dcgan,32,0.118065,1.589472,1.227437,0.149212,1.841244,0.143588,0.065881,0.010391,0.769233
cuda,demucs,4,0.222861
cuda,densenet121,4,3.502285,27.544300,13.605504,5.667868,19.780823,10.966253,4.314969,0.565390,12.050391
cuda,dlrm,1024,0.208010,1.395478,1.045146,0.145652,1.945201,0.331865,0.100187,0.013396,1.052446
cuda,drq,1,0.208973,1.929308,1.591157,0.112116,2.545518,0.111980,0.058603,0.012368,1.073571
cuda,fastNLP_Bert,6,2.198409,13.063467,7.923995,1.739363,11.354019,3.209245,1.303642,0.244701,4.234592,5.258611
cuda,functorch_dp_cifar10,64,0.321891,4.874925,2.772678,1.062336,5.371873,2.036577,0.620947,0.059745,3.700754,3.171161
cuda,hf_Albert,8,1.698946,7.713375,3.144646,2.098248,6.046405,2.518338,1.008401,0.133924,5.074905,2.949548
cuda,hf_Bart,4,2.466848,15.618776,8.809440,2.355052,12.792545,4.320719,1.684072,0.345932,3.372426,6.668231
cuda,hf_Bert,4,2.112357,10.670252,5.590344,1.722302,8.550822,3.030894,1.221317,0.241254,4.764330,0.371062
cuda,hf_DistilBert,8,0.927568,5.620359,2.972078,0.909977,4.900859,1.352050,0.645099,0.104296,2.880237,2.043293
cuda,hf_GPT2,4,2.165571,9.135800,4.350298,1.791509,6.812053,2.923766,1.172084,0.211182,4.329025,1.710495
cuda,hf_GPT2_large,4,7.588532,26.085427,11.589876,5.817948,16.444818,8.817771,3.390328,1.007893,11.488101,1.268693
cuda,hf_Longformer,2,8.584603,128.019101,114.331282,6.859682,119.474149,99.180027,4.156747,0.380600,0.708852,12.850018
cuda,hf_Reformer,4,2.234049,8.125322,7.061386,0.666552,7.807626,1.028397,0.516264,0.045140,3.698427,1.445886
cuda,hf_T5,8,3.065326,12.912889,6.437399,1.971858,11.270238,3.952191,1.326314,0.278864,5.114897,6.916012
cuda,hf_T5_large,2,16.521016,46.608483,20.455113,8.650184,34.158459,17.548114,6.173886,2.197498,23.099301,22.788152
cuda,lennard_jones,1000,0.071622,1.061786,0.869357,0.055667,1.379266,0.043180,0.028346,0.005330,0.569213
cuda,mnasnet1_0,32,1.403169,10.759178,5.513495,2.131031,7.030855,2.773752,1.304985,0.186219,4.071132,2.852407
cuda,mobilenet_v2,96,1.444465,11.873809,6.377255,2.253349,7.724458,3.681668,1.439028,0.213203,3.680952
cuda,mobilenet_v2_quantized_qat,96,2.480432,23.169886,12.442828,4.563639,15.303371,7.192528,3.471967,1.140132,7.905299
cuda,mobilenet_v3_large,32,1.468845,11.271249,5.862265,2.236013,8.317430,3.579461,1.427460,0.212430,4.771720,33.605829
cuda,nvidia_deeprecommender,256,0.127704,1.328551,1.057960,0.123888,2.116010,0.099175,0.058632,0.008503,1.187335,0.390783
