dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.9999,226.3049,1.6461,0.9901
cuda,beit_base_patch16_224,64,0.9998,128.7153,1.2291,0.9966
cuda,botnet26t_256,128,0.9856,152.1147,1.3697,0.9915
cuda,cait_m36_384,4,0.9996,216.7335,3.1050,0.9994
cuda,coat_lite_mini,128,0.9998,191.4390,1.1181,1.0049
cuda,convit_base,64,0.9997,196.9100,1.0195,0.9977
cuda,convmixer_768_32,32,0.9999,364.9844,1.2554,0.9986
cuda,convnext_base,64,0.9998,263.5179,1.3079,0.9975
cuda,crossvit_9_240,128,0.9995,98.3712,1.4968,0.9884
cuda,cspdarknet53,64,0.9571,130.4352,2.3937,0.9954
cuda,deit_base_distilled_patch16_224,64,0.9997,120.2224,0.8417,0.9964
cuda,dla102,128,0.9999,269.2586,1.8564,0.9831
cuda,dm_nfnet_f0,128,0.9998,206.4973,2.1492,0.9358
cuda,dpn107,32,0.9566,191.3180,4.1360,0.9985
cuda,eca_botnext26ts_256,128,0.9865,163.3483,1.4702,0.9938
cuda,eca_halonext26ts,128,0.9872,169.1288,1.5134,0.9937
cuda,ese_vovnet19b_dw,128,0.9777,99.6445,1.0290,0.9923
cuda,fbnetc_100,128,0.9665,123.0842,2.1706,0.9891
cuda,fbnetv3_b,128,0.9648,162.3006,3.2970,0.9932
cuda,gernet_l,128,0.9741,165.1021,2.1183,0.9884
cuda,ghostnet_100,128,0.9988,114.6099,3.0629,0.9865
cuda,gluon_inception_v3,128,0.9999,226.3208,1.6670,0.9901
cuda,gluon_xception65,32,0.9995,182.9533,1.9510,0.9975
cuda,gmixer_24_224,128,1.0000,146.4944,1.1303,0.9951
cuda,gmlp_s16_224,128,0.9999,151.9350,1.0721,0.9959
cuda,hrnet_w18,128,0.9999,417.1993,6.3468,0.9954
cuda,inception_v3,128,0.9999,226.3615,1.6543,0.9901
cuda,jx_nest_base,32,0.9995,121.2595,1.9381,1.0002
cuda,lcnet_050,128,0.9551,38.2037,1.1048,0.9672
cuda,mixer_b16_224,128,0.9999,159.1322,0.8303,0.9952
cuda,mixnet_l,128,0.9845,247.2732,3.2735,0.9951
cuda,mnasnet_100,128,0.9650,98.7074,1.6996,0.9877
cuda,mobilenetv2_100,128,0.9661,97.5136,1.7023,0.9925
cuda,mobilenetv3_large_100,128,0.9647,85.5805,1.6780,0.9876
cuda,mobilevit_s,64,0.9793,116.9025,1.8061,0.9959
cuda,nfnet_l0,128,0.9991,176.4289,1.8271,0.9930
cuda,pit_b_224,64,0.9997,158.4637,0.9649,0.9968
cuda,pnasnet5large,16,0.9997,289.7657,5.1873,1.0690
cuda,poolformer_m36,64,0.9998,174.2032,1.7370,0.9980
cuda,regnety_002,128,0.9790,55.7292,1.7773,0.9717
cuda,repvgg_a2,128,0.9645,127.2473,2.1655,0.9867
cuda,res2net101_26w_4s,64,0.9998,151.9657,3.1550,0.9968
cuda,res2net50_14w_8s,128,0.9998,229.5511,2.7272,0.9952
cuda,res2next50,128,1.0000,206.5516,1.5967,0.9951
cuda,resmlp_12_224,128,0.9998,71.1508,0.6718,0.9893
cuda,resnest101e,64,0.9998,230.4170,3.5591,0.9971
cuda,rexnet_100,128,0.9727,119.2707,2.2007,0.9935
cuda,sebotnet33ts_256,64,0.9754,114.4546,1.7835,0.9952
cuda,selecsls42b,128,0.9998,89.5540,0.9309,0.9883
cuda,spnasnet_100,128,0.9611,105.7426,2.1346,0.9890
cuda,swin_base_patch4_window7_224,64,0.9999,237.1919,2.9027,0.9976
cuda,swsl_resnext101_32x16d,32,0.9998,219.1563,1.8816,0.9991
cuda,tf_efficientnet_b0,128,0.9759,133.8159,1.9567,0.9935
cuda,tf_mixnet_l,128,0.9856,256.5583,3.6211,0.9953
cuda,tinynet_a,128,0.9662,110.0677,2.2679,0.9942
cuda,tnt_s_patch16_224,128,0.9998,469.5077,1.7564,0.9960
cuda,twins_pcpvt_base,64,0.9997,136.9754,2.3305,0.9976
cuda,visformer_small,128,1.0000,127.9953,0.9744,0.9943
cuda,vit_base_patch16_224,64,0.9999,119.5689,0.8209,0.9963
cuda,volo_d1_224,64,0.9998,153.3044,1.3667,0.9960
cuda,xcit_large_24_p8_224,5,1.0014,135.5797,2.9568,0.9981
