dev,name,batch_size,time,memory,graphs
cuda,adv_inception_v3,128,2.8154,13.0376,0
cuda,beit_base_patch16_224,128,2.8297,20.6495,0
cuda,botnet26t_256,128,2.5306,11.4931,0
cuda,cait_m36_384,4,2.8767,18.2741,0
cuda,coat_lite_mini,128,2.6903,11.7632,0
cuda,convit_base,64,2.6873,15.0651,0
cuda,convmixer_768_32,64,3.7560,26.7584,0
cuda,convnext_base,64,2.9142,15.3473,0
cuda,crossvit_9_240,64,2.3710,3.6681,0
cuda,cspdarknet53,64,2.5930,10.4972,0
cuda,deit_base_distilled_patch16_224,128,2.7024,18.8974,0
cuda,densenet121,128,2.7860,16.8757,0
cuda,dla102,128,2.9187,18.1093,0
cuda,dm_nfnet_f0,128,2.7297,13.2571,0
cuda,dpn107,64,3.2098,21.0396,0
cuda,eca_botnext26ts_256,128,2.5658,15.8396,0
cuda,eca_halonext26ts,128,2.6221,15.9545,0
cuda,ecaresnet101d,128,2.9999,22.2247,0
cuda,ese_vovnet19b_dw,128,2.3978,9.7116,0
cuda,fbnetc_100,128,2.5564,6.9650,0
cuda,fbnetv3_b,128,2.7062,10.9923,0
cuda,gernet_l,128,2.6199,8.2190,0
cuda,ghostnet_100,128,2.5871,5.3469,0
cuda,gluon_inception_v3,128,2.8311,13.0376,0
cuda,gluon_senet154,64,3.3185,23.8218,0
cuda,gluon_xception65,32,2.7673,13.6586,0
cuda,gmixer_24_224,128,2.5952,15.2369,0
cuda,gmlp_s16_224,128,2.5958,18.2656,0
cuda,hardcorenas_a,128,2.4494,6.0106,0
cuda,hrnet_w18,128,3.5316,16.5779,0
cuda,inception_v3,128,2.8094,13.0376,0
cuda,jx_nest_base,64,2.8125,19.7281,0
cuda,lcnet_050,128,2.3550,2.1602,0
cuda,legacy_senet154,64,3.2984,23.8228,0
cuda,levit_128,128,2.4623,2.9701,0
cuda,mixer_b16_224,128,2.5505,15.6583,0
cuda,mixnet_l,128,2.8992,15.0601,0
cuda,mnasnet_100,128,2.4599,5.8478,0
cuda,mobilenetv2_100,128,2.4595,10.1997,0
cuda,mobilenetv3_large_100,128,2.5082,5.8226,0
cuda,mobilevit_s,128,2.8058,24.3763,0
cuda,nasnetalarge,16,3.2425,16.9180,0
cuda,nfnet_l0,128,2.6188,11.7311,0
cuda,pit_b_224,64,2.5629,11.6976,0
cuda,pnasnet5large,16,3.1888,18.2456,0
cuda,poolformer_m36,64,2.6777,15.9936,0
cuda,regnety_002,128,2.4113,2.5737,0
cuda,repvgg_a2,128,2.5600,5.2363,0
cuda,res2net101_26w_4s,128,3.0075,21.5409,0
cuda,res2net50_14w_8s,128,2.8946,15.4463,0
cuda,res2next50,128,2.7918,15.9129,0
cuda,resmlp_12_224,128,2.3449,6.9940,0
cuda,resnest101e,64,2.8919,16.0406,0
cuda,resnet18,128,2.3392,3.0322,0
cuda,rexnet_100,128,2.5888,11.9667,0
cuda,sebotnet33ts_256,128,2.7697,20.5760,0
cuda,selecsls42b,128,2.4588,6.1347,0
cuda,spnasnet_100,128,2.5465,6.4392,0
cuda,swin_base_patch4_window7_224,64,2.8658,15.0293,0
cuda,swsl_resnext101_32x16d,32,2.8508,14.0149,0
cuda,tf_efficientnet_b0,128,2.6084,11.6216,0
cuda,tf_mixnet_l,128,2.9465,16.5941,0
cuda,tinynet_a,128,2.5944,9.2485,0
cuda,tnt_s_patch16_224,128,3.4093,18.8126,0
cuda,twins_pcpvt_base,128,2.8961,22.6226,0
cuda,visformer_small,128,2.5355,10.8293,0
cuda,vit_base_patch16_224,128,2.6762,18.7836,0
cuda,volo_d1_224,128,3.1142,18.6968,0
cuda,xcit_large_24_p8_224,11,3.1942,19.3820,0
