,Compiler,torchbench,huggingface,timm_models
eager,eager,0.95x,0.99x,0.99x
aot_eager,aot_eager,0.85x,0.89x,0.90x
aot_cudagraphs,aot_cudagraphs,0.42x,0.39x,0.33x
nvprims_nvfuser,nvprims_nvfuser,0.75x,0.81x,0.52x
inductor,inductor,0.82x,0.91x,0.95x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.96x,1.08x,1.04x
