dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.8728,24.3292,55.2391,0.9130
cuda,Background_Matting,4,1.0690,172.2146,60.4413,0.9123
cuda,LearningToPaint,96,1.1270,12.1296,42.3230,0.6394
cuda,Super_SloMo,6,1.1951,99.4870,35.6685,1.0700
cuda,alexnet,128,1.1145,10.9945,13.6875,0.8354
cuda,attention_is_all_you_need_pytorch,256,1.0460,69.0748,63.3434,0.7913
cuda,dcgan,32,1.2026,1.5141,6.7649,0.8287
cuda,demucs,4,1.0287,72.9252,25.6240,0.7555
cuda,densenet121,4,2.4482,18.8855,121.7969,0.6466
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,1024,1.6926,1.9645,6.6249,0.9522
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,1.5291,1.5680,8.1076,0.6493
cuda,fastNLP_Bert,6,1.4127,41.8602,38.0999,1.1054
cuda,functorch_dp_cifar10,64,2.4452,3.2518,53.4516,0.3989
cuda,hf_Albert,8,1.6108,46.6589,39.8055,0.9305
cuda,hf_Bart,4,1.1704,46.5891,45.3898,0.7998
cuda,hf_Bert,4,1.1305,34.1929,38.6300,0.9284
cuda,hf_Bert_large,4,1.1513,79.8843,59.9945,0.9981
cuda,hf_BigBird,2,2.2268,82.4529,120.6092,0.6821
cuda,hf_DistilBert,8,1.1311,34.4736,25.4758,0.8317
cuda,hf_GPT2,4,1.4365,36.9107,29.2983,0.9095
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1355,73.2396,32.3864,0.5720
cuda,hf_T5,0,0.0000
cuda,hf_T5_large,2,1.4341,128.8933,147.9287,0.8134
cuda,lennard_jones,1000,1.3321,0.9757,4.9178,0.5322
cuda,mnasnet1_0,32,1.2224,20.6621,104.7304,0.8117
cuda,mobilenet_v2,96,1.3451,51.6095,125.0601,1.1507
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.5848,17.4548,122.7820,0.8415
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.7988,10.7156,7.7905,0.6651
cuda,phlippe_densenet,128,1.7656,13.6047,159.3123,0.8562
cuda,phlippe_resnet,128,1.5297,5.2746,28.9767,0.4452
cuda,pytorch_CycleGAN_and_pix2pix,1,1.4785,8.1563,29.6182,0.6939
cuda,pytorch_stargan,16,1.2055,19.5366,42.0654,0.8997
cuda,pytorch_struct,200,1.2893,2.9135,22.0675,0.7259
cuda,pytorch_unet,1,1.2078,48.2695,49.9155,0.8501
cuda,resnet152,32,1.0524,78.9419,88.7657,0.8890
cuda,resnet18,16,1.2378,7.2860,42.9615,0.6274
cuda,resnet50,32,1.1168,34.1014,60.9887,0.8220
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.3728,15.4413,47.0663,0.8174
cuda,shufflenet_v2_x1_0,128,1.3428,24.7077,75.1043,0.9672
cuda,soft_actor_critic,256,1.0947,1.1743,6.8193,0.6187
cuda,speech_transformer,32,1.4374,32.7730,65.7489,0.8395
cuda,squeezenet1_1,32,1.3612,6.6343,21.1730,0.8113
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,2.4485,44.4180,241.9740,1.0172
cuda,timm_efficientnet,32,1.1203,32.5925,135.4026,0.9841
cuda,timm_nfnet,128,1.4275,135.8659,62.7880,0.8501
cuda,timm_regnet,32,1.0662,86.7749,63.3942,0.8631
cuda,timm_resnest,32,1.3881,22.3994,93.0440,0.8971
cuda,timm_vision_transformer,32,1.0991,26.5527,38.6513,0.8846
cuda,timm_vovnet,32,0.9589,39.0256,57.7535,0.7516
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9996,9.3586,5.1172,0.9848
cuda,vgg16,64,1.1538,92.9859,14.7388,0.6712
cuda,yolov3,16,1.1396,87.0602,107.6801,0.9277
