dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,22.570432,19.752427,17.241635,9.644646,2.246466,14.837631,4.078578,1.816550,0.264354,10.053437,24.267290,17.669284
cuda,Background_Matting,4,20.669932,18.675228,15.019332,8.437607,2.302724,15.039373,5.093683,2.728196,0.217064,13.792772,29.597696,22.879909
cuda,LearningToPaint,96,12.096449,11.235046,8.061655,5.397399,0.901404,8.854437,1.093636,0.662469,0.069249,13.077639,24.898759,17.508634
cuda,Super_SloMo,6,19.927689,17.947687,15.165366,8.828088,2.345752,13.574382,5.049272,2.645566,0.126315,8.332893,15.551260,8.051036
cuda,alexnet,128,5.106690,4.810747,2.074547,1.750121,0.167004,4.993011,0.853505,0.283301,0.012255,4.643281,8.062272,4.492681
cuda,attention_is_all_you_need_pytorch,256,22.829654,20.220777,17.578654,9.982677,2.028384,16.173549,4.278062,1.944081,0.349906,14.314777,30.995852,22.930409
cuda,dcgan,32,5.028427,4.749093,1.984730,1.528416,0.175424,2.420736,0.304545,0.098546,0.011259,0.116078,1.196986
cuda,demucs,4,10.449430,9.677997,6.892792,6.149479,0.401295,10.557736,0.894889,0.526324,0.032102,6.155904,9.295988,10.990327
cuda,densenet121,4,45.867632,41.503821,38.581029,21.690736,6.394965,32.190676,12.782112,5.265146,0.674401,29.003439,57.147290,46.395835
cuda,dlrm,1024,4.350017,4.059790,1.525486,1.084875,0.161797,2.507874,0.469220,0.134863,0.014869,0.125833,1.722734
cuda,drq,1,5.676625,5.222072,2.296804,1.911581,0.109710,3.278876,0.116881,0.071096,0.013180,0.261856,1.750638
cuda,fastNLP_Bert,6,22.875657,19.900228,17.305937,10.892812,1.734902,16.169910,3.483690,1.729326,0.277029,0.322223,6.601871,7.503586
cuda,functorch_dp_cifar10,64,10.552327,9.854815,7.131280,4.660382,1.153349,9.886618,1.957972,0.842030,0.060427,26.890671,35.733908,33.338309
cuda,hf_Albert,8,21.062815,19.166136,16.524746,11.078760,1.571972,18.179397,2.936427,1.445364,0.154253,2.440322,8.851024,11.255695
cuda,hf_Bart,4,28.577979,22.754879,20.009671,11.814639,2.226671,18.766884,3.515563,2.156172,0.282229,4.402263,3.933157,13.798059
cuda,hf_Bert,4,22.235072,18.120746,15.464535,9.095250,1.680578,14.530886,2.895094,1.590519,0.272601,0.563809,8.270665,7.839471
cuda,hf_Bert_large,4,35.374940,27.803351,25.174457,12.764261,3.253728,21.058515,6.435361,3.079344,0.734286,0.635601,11.766927,12.508527
