dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,24.914964,21.787313,19.388208,10.014728,2.506525,15.641414,4.344414,2.079615,0.331358,11.525567,27.763172,19.861013
cuda,Background_Matting,4,22.598228,20.481847,16.560624,9.095109,2.507217,16.623688,5.773960,2.961532,0.247863,17.425425,32.733534,27.660206
cuda,LearningToPaint,96,12.412818,11.493836,8.459291,5.496546,0.993079,8.907962,1.244980,0.736563,0.078327,13.158001,25.505507,17.642187
cuda,Super_SloMo,6,22.752981,20.680367,18.007359,10.626624,2.626110,15.943871,6.057752,2.684146,0.153554,8.036013,16.127318,7.659153
cuda,alexnet,128,5.412614,5.096940,2.494461,2.065332,0.180753,5.549888,0.946540,0.326894,0.015745,4.794457,8.470021,4.642279
cuda,attention_is_all_you_need_pytorch,256,25.763260,22.892003,20.337933,10.876996,2.479117,17.711804,4.949577,2.332365,0.403484,14.320668,32.464319,23.863399
cuda,dcgan,32,5.174287,4.886503,2.249340,1.700752,0.346686,2.525315,0.209375,0.115499,0.013020,0.119616,1.306759
cuda,demucs,4,11.843969,11.015297,8.358052,7.331424,0.452592,11.911499,1.166435,0.677870,0.044532,6.167021,9.333337,11.229280
cuda,densenet121,4,49.076845,44.483959,41.714232,22.996888,6.668894,34.541781,13.715431,5.626397,0.733245,29.276117,57.902175,48.378822
cuda,drq,1,6.869224,6.389813,2.817447,2.300205,0.132844,3.885482,0.200392,0.112091,0.016542,0.409056,2.141202
cuda,fastNLP_Bert,6,26.553827,23.224098,20.788959,12.508469,1.971640,17.892609,4.224243,2.106456,0.318936,0.363928,6.791407,7.909108
cuda,functorch_dp_cifar10,64,11.564945,10.818721,8.208613,5.431974,1.302062,10.666102,2.325749,0.949195,0.070598,28.490009,37.472450,35.101544
cuda,hf_Albert,8,27.665862,25.403214,21.596723,14.225736,2.046639,23.411071,3.372328,1.565736,0.160636,2.721519,10.288699,14.113140
cuda,hf_Bart,4,37.419478,30.633337,27.041466,16.653752,2.608957,25.005146,4.673603,2.758124,0.299591,4.242142,4.370572,15.448964
