dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,AlbertForMaskedLM,4,2.256984,0.000207
cuda,AlbertForQuestionAnswering,4,2.253191,0.000252
cuda,AllenaiLongformerBase,4,9.535192,0.004190
cuda,BartForCausalLM,4,3.689199,0.000507
cuda,BartForConditionalGeneration,2,7.734488,0.000364
cuda,BertForMaskedLM,16,4.442786,0.000190
cuda,BertForQuestionAnswering,16,4.566949,0.000201
cuda,BlenderbotForCausalLM,4,6.826353,0.000908
cuda,BlenderbotSmallForCausalLM,64,2.805632,0.000509
cuda,BlenderbotSmallForConditionalGeneration,64,5.091251,0.000234
cuda,CamemBert,16,4.295393,0.000210
cuda,DebertaForMaskedLM,4,5.777131,0.002260
cuda,DebertaForQuestionAnswering,8,5.649238,0.002237
cuda,DebertaV2ForMaskedLM,1,11.727221,0.004097
cuda,DebertaV2ForQuestionAnswering,2,11.790299,0.004035
cuda,DistilBertForMaskedLM,128,1.750499,0.000100
cuda,DistilBertForQuestionAnswering,256,1.655870,0.000108
cuda,DistillGPT2,16,1.681622,0.000129
cuda,ElectraForCausalLM,32,4.497648,0.000229
cuda,ElectraForQuestionAnswering,64,4.337038,0.000186
cuda,GPT2ForSequenceClassification,4,3.212510,0.000207
cuda,LayoutLMForMaskedLM,16,4.190836,0.000247
cuda,LayoutLMForSequenceClassification,16,4.219369,0.000242
cuda,M2M100ForConditionalGeneration,16,7.729022,0.000810
cuda,MBartForCausalLM,4,3.689496,0.000458
cuda,MBartForConditionalGeneration,2,7.811147,0.000347
cuda,MT5ForConditionalGeneration,16,6.091901,0.000515
cuda,MegatronBertForCausalLM,4,8.595138,0.000280
cuda,MegatronBertForQuestionAnswering,8,8.576171,0.000288
cuda,MobileBertForMaskedLM,64,15.892454,0.000557
cuda,MobileBertForQuestionAnswering,128,15.903197,0.000593
cuda,OPTForCausalLM,2,3.469172,0.000474
cuda,PLBartForCausalLM,8,2.282018,0.000273
cuda,PLBartForConditionalGeneration,4,5.829844,0.000425
cuda,PegasusForCausalLM,32,3.551312,0.000521
cuda,PegasusForConditionalGeneration,32,4.891489,0.000531
cuda,RobertaForCausalLM,16,4.360185,0.000188
cuda,RobertaForQuestionAnswering,16,4.376820,0.000206
cuda,Speech2Text2ForCausalLM,256,2.075384,0.000304
cuda,T5ForConditionalGeneration,4,4.461211,0.000404
cuda,T5Small,4,4.432104,0.000399
cuda,TrOCRForCausalLM,32,3.662896,0.000480
cuda,XGLMForCausalLM,8,6.251897,0.000955
cuda,XLNetLMHeadModel,8,8.023273,0.000906
cuda,YituTechConvBert,16,6.164183,0.000288
