Compiler,huggingface,torchbench,timm_models
ts_nvfuser,1.11x,1.13x,1.19x
aot_eager,1.0x,1.01x,1.0x
aot_nvfuser,1.21x,1.19x,1.24x
inductor_cudagraphs,1.61x,1.54x,1.28x
