dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForQuestionAnswering,4,1.790882,3.356998,1.886151,7.532742,2.845403,0.979044,0.130695,1.160355,7.298988,0.513935
cuda,BartForCausalLM,4,1.791345,5.553605,2.129051,7.900477,2.358349,1.080999,0.199905,1.596674,1.700166,6.155137
cuda,BartForConditionalGeneration,2,4.898817,12.804157,5.580485,18.205923,7.566932,2.791932,0.749797,1.033955,1.167325,12.228863
cuda,BertForMaskedLM,16,2.325437,5.642675,1.992045,7.948352,2.694927,1.172379,0.233741,1.988907,6.560001,1.442317
cuda,BertForQuestionAnswering,16,2.380547,5.664093,2.147175,8.006420,2.741025,1.182762,0.230280,1.417999,5.994303,0.953356
cuda,BlenderbotSmallForCausalLM,64,1.260162,3.179171,1.444396,5.485803,1.703066,0.812423,0.135113,2.576667,6.383571,2.238570
cuda,BlenderbotSmallForConditionalGeneration,64,3.320966,7.568811,3.377848,11.717860,4.989401,2.009746,0.461169,2.249271,1.988589,9.922664
cuda,CamemBert,16,2.351175,5.700643,2.207253,8.043989,2.730407,1.186146,0.233904,0.943158,5.581990,0.335955
cuda,DebertaForMaskedLM,4,6.731729,15.542568,2.636696,19.017846,3.687177,1.842948,0.306182,15.856857,0.842946,22.196494
cuda,DebertaForQuestionAnswering,8,6.748281,15.524477,2.594248,18.956737,3.666997,1.828243,0.306372,16.805629,1.758040,23.058754
cuda,DebertaV2ForMaskedLM,1,10.492934,19.178554,2.996740,22.837267,4.135493,2.235507,0.539674,35.597595,1.448607,42.623067
cuda,DebertaV2ForQuestionAnswering,2,10.585359,18.028380,3.565964,22.101852,4.855042,2.574063,0.535977,34.209769,0.490783,42.219879
cuda,DistilBertForMaskedLM,128,0.905077,2.760114,1.017071,4.584096,1.313050,0.618203,0.105464,1.531226,4.417088,1.179566
cuda,DistilBertForQuestionAnswering,256,0.942150,2.772364,1.010620,4.632099,1.343111,0.639415,0.102843,0.910953,3.826828,0.575462
cuda,DistillGPT2,16,1.109599,4.700633,1.039385,6.549528,1.359205,0.664326,0.091909,2.109321,2.677986,5.042478
cuda,ElectraForCausalLM,32,2.479533,8.010641,2.172230,11.144226,2.576609,1.244967,0.233472,3.166519,2.612397,8.562351
cuda,ElectraForQuestionAnswering,64,2.464886,5.809699,2.188544,8.117320,2.712528,1.193920,0.237707,1.920700,6.503368,1.307365
cuda,GPT2ForSequenceClassification,4,2.500365,4.502341,2.224649,6.402986,2.387997,1.145841,0.206545,1.744900,5.955480,1.437810
cuda,GoogleFnet,16,1.290256,9.853962,1.112595,12.976137,1.510150,0.634293,0.104194,4.020662,1.758742,8.322433
cuda,LayoutLMForMaskedLM,16,2.700114,5.774674,2.056339,8.396654,3.030259,1.205923,0.237242,2.008724,6.779438,1.429900
cuda,LayoutLMForSequenceClassification,16,2.662202,5.833046,1.999549,9.925393,3.449835,1.407085,0.234632,7.194436,13.378401,6.655933
cuda,M2M100ForConditionalGeneration,16,4.686067,11.661487,4.352403,17.987529,6.473336,2.877277,0.575490,3.513811,7.533965,14.696504
cuda,MBartForCausalLM,4,1.845332,6.889875,2.129621,9.221260,2.381055,1.094212,0.199866,1.326458,1.241654,5.871682
cuda,MBartForConditionalGeneration,2,5.074731,12.037789,5.714250,17.223484,7.489795,2.852547,0.777488,1.045564,0.490155,12.162934
cuda,MT5ForConditionalGeneration,16,4.925086,8.608969,4.325027,13.148959,5.301918,1.810117,0.408584,3.524330,19.957398,12.559117
cuda,MegatronBertForCausalLM,4,4.658138,7.516601,4.491651,11.351804,5.702987,2.337343,0.596895,1.215364,9.716640,0.381934
cuda,MegatronBertForQuestionAnswering,8,4.802646,7.396087,4.394131,11.050303,5.572206,2.237730,0.589332,1.451983,9.676239,0.515956
cuda,MobileBertForMaskedLM,64,10.843796,6.969943,7.227647,15.385173,7.172451,3.622897,1.758907,3.120663,19.490933,1.716567
cuda,MobileBertForQuestionAnswering,128,10.610242,6.882341,7.844154,16.658379,7.633487,4.118564,2.131042,2.738049,21.080171,1.001454
cuda,OPTForCausalLM,2,1.874171,5.654515,1.937234,8.393082,3.098674,1.275593,0.222500,1.624055,1.876653,6.378974
cuda,PLBartForCausalLM,8,0.952403,4.151923,1.040718,6.402851,1.404417,0.650398,0.099502,1.055018,1.114383,4.391101
cuda,PLBartForConditionalGeneration,4,2.719343,6.809524,2.764622,10.848470,4.233786,1.650110,0.328095,1.608703,1.615255,8.527476
cuda,PegasusForCausalLM,32,1.894693,6.081323,2.126011,9.184344,2.440073,1.184629,0.213109,1.775391,1.531321,7.092866
cuda,PegasusForConditionalGeneration,32,4.768969,11.114990,4.841644,16.507049,6.838869,2.958520,0.631963,2.370609,0.678020,12.818579
cuda,RobertaForCausalLM,16,2.389619,5.918090,2.203212,8.106586,2.762793,1.200447,0.231869,0.905841,0.713135,5.382779
cuda,RobertaForQuestionAnswering,16,2.462291,5.795425,1.990475,8.007844,2.743307,1.185140,0.233061,0.503564,5.012175
cuda,Speech2Text2ForCausalLM,256,1.058358,4.961154,0.913271,7.713354,1.216871,0.599229,0.093710,1.267793,1.065824,4.977895
cuda,T5ForConditionalGeneration,4,3.348109,6.757143,2.945334,12.385072,3.948911,1.345762,0.266999,2.110344,5.449172,10.795950
cuda,T5Small,4,3.346211,6.678039,2.882124,12.135940,3.806651,1.335694,0.267524,2.037470,5.439682,10.493664
cuda,XGLMForCausalLM,8,3.883512,11.208404,4.828444,16.767521,6.975826,2.400976,0.611519,3.764717,21.716920,14.336306
cuda,XLNetLMHeadModel,8,5.904336,96.462738,7.073522,99.730972,83.846760,2.740829,0.715461,7.934860,10.604951
cuda,YituTechConvBert,16,3.528392,8.401391,3.527843,13.751206,4.477809,1.846735,0.406466,5.745807,7.797925,14.758054
