dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.598611,10.802697,4.203452,14.865554,7.408720,3.561441,0.560734,8.741665
cuda,beit_base_patch16_224,64,1.549046,5.710149,1.956165,8.502977,2.684459,1.305216,0.229601,2.857112,5.048239
cuda,cait_m36_384,4,4.815475,12.341813,6.131219,22.588313,11.523772,4.888581,1.761289,15.220231,17.682903
cuda,coat_lite_mini,128,1.396856,6.142347,3.090270,12.004112,5.054321,1.890357,0.177203,42.363420,9.035361
cuda,convit_base,64,1.467065,5.809727,2.155758,11.082107,4.803967,1.856079,0.238530,8.888090,7.524871
cuda,convmixer_768_32,32,1.905064,4.447294,2.442000,6.395333,1.833274,0.999550,0.230597,4.493517,6.637562
cuda,convnext_base,64,1.984982,8.769021,4.391278,18.095129,7.261287,2.464288,0.403448,42.158419,13.855535
cuda,crossvit_9_240,128,2.192260,7.576015,3.201370,12.572702,5.533025,2.029769,0.327684,15.671230,8.323268
cuda,deit_base_distilled_patch16_224,64,1.112417,4.971775,1.431285,8.842479,3.085897,1.115366,0.173813,5.011771,5.369638
cuda,dla102,128,3.036979,8.387355,3.805822,11.904869,5.446861,2.976362,0.491109,7.955820
cuda,dm_nfnet_f0,128,2.699037,9.660299,4.837778,10.538391,5.298527,1.720410,0.272515,5.861175,0.916496
cuda,gluon_inception_v3,128,2.583574,10.866186,4.522593,14.881049,7.423116,3.547435,0.562117,8.682739
cuda,gluon_xception65,32,3.425047,8.002882,3.685696,11.173017,5.530466,2.001304,0.594389,7.046339,5.692156
cuda,gmixer_24_224,128,1.885968,6.010267,2.403140,11.430216,4.508297,1.979437,0.353541,11.341208,7.938698
cuda,gmlp_s16_224,128,1.746414,10.237299,2.883586,16.101546,7.858147,2.570408,0.352713,16.407014,8.877428
cuda,hrnet_w18,128,10.042170,27.685850,11.563697,40.591641,23.044718,8.606958,4.904567,27.350353
cuda,inception_v3,128,2.569374,10.803635,4.517083,14.800255,7.384135,3.515010,0.568186,8.659656
cuda,jx_nest_base,32,2.518125,10.850333,4.470836,17.766730,8.510261,3.239394,0.555458,31.584512,11.544586
cuda,mixer_b16_224,128,0.835359,5.978124,1.633884,7.819436,2.395586,0.896014,0.130578,8.891210,3.537780
cuda,nfnet_l0,128,2.453351,5.078875,2.417045,8.166832,3.191329,1.250029,0.266993,5.946601,0.829911
cuda,pit_b_224,64,1.269767,5.519212,2.141628,7.752177,2.770134,1.241555,0.197111,1.751305,4.704855
cuda,poolformer_m36,64,2.832820,15.477852,6.460262,22.204065,13.903378,4.260678,0.643429,13.400245
cuda,res2net101_26w_4s,64,5.226133,14.931803,7.025532,19.918452,10.697534,4.524954,1.469266,12.283785
cuda,res2net50_14w_8s,128,4.592212,13.280220,5.297381,20.197036,11.046612,4.352326,1.181140,13.140434
cuda,res2next50,128,2.497603,8.496858,3.260420,12.215209,6.154344,2.552515,0.454094,7.111857
cuda,resmlp_12_224,128,0.826812,4.352204,1.077839,9.500319,2.130932,0.915993,0.121648,9.831873,6.272902
cuda,resnest101e,64,5.372856,11.743838,4.976579,18.659825,9.163767,3.839456,1.061759,16.635747,12.800724
cuda,selecsls42b,128,1.125034,5.080663,1.605778,8.308631,3.859638,1.541859,0.163400,4.898800
cuda,swin_base_patch4_window7_224,64,3.972229,14.298378,6.052874,23.460043,11.290609,4.652915,0.544596,45.827917,15.404221
cuda,swsl_resnext101_32x16d,32,2.908362,6.489144,3.772960,8.506237,3.642666,1.600946,0.397580,5.948621,6.086538
cuda,tnt_s_patch16_224,128,2.533227,8.447583,4.093457,13.008093,6.194147,2.373166,0.502424,4.885648,8.818450
cuda,twins_pcpvt_base,64,3.622153,11.243904,5.352951,17.934762,8.375511,3.350354,0.936775,42.771604,12.266592
cuda,visformer_small,128,1.277933,5.988219,2.267464,7.087717,2.687125,0.998136,0.161620,3.445544,8.849731
cuda,vit_base_patch16_224,64,1.107199,4.979303,1.450719,8.367453,2.741405,1.090402,0.170975,5.226806,4.905506
cuda,volo_d1_224,64,1.949769,9.198328,3.870625,13.756756,6.255503,2.485484,0.380472,10.040560,8.556070
cuda,xcit_large_24_p8_224,5,4.631535,18.461590,7.535130,26.593896,15.670938,5.133397,1.413939,23.025828,15.976659
