,Compiler,torchbench,huggingface,timm_models
eager,eager,"98%, 52/53","98%, 42/43","100%, 61/61"
aot_eager,aot_eager,"98%, 52/53","98%, 42/43","90%, 55/61"
aot_cudagraphs,aot_cudagraphs,"28%, 15/53","2%, 1/43","10%, 6/61"
aot_nvfuser,aot_nvfuser,"60%, 32/53","0%, 0/43","75%, 46/61"
inductor,inductor,"81%, 43/53","86%, 37/43","90%, 55/61"
