,Compiler,torchbench,huggingface,timm_models
eager,eager,"90%, 55/61","100%, 45/45","100%, 61/61"
aot_eager,aot_eager,"87%, 53/61","100%, 45/45","92%, 56/61"
inductor,inductor,"82%, 50/61","91%, 41/45","95%, 58/61"
inductor_no_cudagraphs,inductor_no_cudagraphs,"82%, 50/61","98%, 44/45","92%, 56/61"
