dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForQuestionAnswering,4,1.735354,3.286018,1.697925,7.637778,2.921914,1.004013,0.131448,1.127833,7.254170,0.511156
cuda,BartForCausalLM,4,1.924609,5.485105,1.834360,8.440928,2.448035,1.121535,0.219035,1.337970,1.463286,6.209720
cuda,BartForConditionalGeneration,2,4.982610,12.882585,4.496446,18.508241,7.732431,2.833390,0.811088,0.967513,1.191084,11.304940
cuda,BertForMaskedLM,16,2.360607,5.725340,1.723699,8.488471,2.827587,1.477901,0.241312,1.958363,6.533653,1.434922
cuda,BertForQuestionAnswering,16,2.383832,5.743564,1.723739,8.370491,2.833170,1.474524,0.241150,1.494140,5.934303,1.018838
cuda,BlenderbotSmallForCausalLM,64,1.241018,3.118177,1.301038,5.417644,1.808282,0.843866,0.143412,2.379745,6.036600,2.059607
cuda,BlenderbotSmallForConditionalGeneration,64,3.288661,7.574506,3.061684,11.676382,4.854117,2.040614,0.478187,2.087636,1.893426,9.396610
cuda,CamemBert,16,2.447892,5.822520,1.752246,8.502527,3.117679,1.239379,0.242470,0.872698,5.392844,0.341581
cuda,DebertaForMaskedLM,4,6.674335,15.442382,2.514560,19.044294,3.864948,1.907979,0.310407,15.243191,0.832257,21.583753
cuda,DebertaForQuestionAnswering,8,6.778838,15.542069,2.492753,19.134199,3.840263,1.889536,0.306906,16.308218,1.753491,22.619253
cuda,DebertaV2ForMaskedLM,1,10.702220,18.965056,2.913378,22.906516,4.402219,2.378750,0.558865,34.356592,1.447263,41.579009
cuda,DebertaV2ForQuestionAnswering,2,10.954448,18.473050,3.323231,22.967043,5.081175,2.712291,0.525975,35.505142,0.509975,43.700666
cuda,DistilBertForMaskedLM,128,0.914114,2.976465,0.919633,4.875099,1.395426,0.845910,0.108545,1.470906,4.334737,1.172847
cuda,DistilBertForQuestionAnswering,256,0.932412,3.036913,0.919741,4.934322,1.606103,0.664031,0.104486,0.909247,3.770945,0.574161
cuda,DistillGPT2,16,1.117659,4.584002,1.001451,6.476403,1.606541,0.679404,0.095765,2.026646,2.604652,4.962542
cuda,ElectraForCausalLM,32,2.389708,7.603897,1.708774,11.606393,2.711664,1.544872,0.241235,3.161759,2.582848,8.963734
cuda,ElectraForQuestionAnswering,64,2.345378,5.818490,1.762141,8.501499,3.115256,1.247101,0.248523,1.905507,6.437187,1.342759
cuda,GPT2ForSequenceClassification,4,2.332604,4.454856,2.076667,6.798747,2.478039,1.473089,0.213578,1.286142,5.788290,1.018550
cuda,GoogleFnet,16,1.286771,9.810104,1.222569,12.757593,1.581617,0.648530,0.106812,3.830539,1.748927,8.066782
cuda,LayoutLMForMaskedLM,16,2.685951,5.865358,1.784096,8.643236,3.149036,1.256068,0.247560,1.990021,6.640309,1.452345
cuda,LayoutLMForSequenceClassification,16,2.695239,5.841006,1.777818,10.199676,3.873742,1.465628,0.239660,6.341675,12.566776,5.806109
cuda,M2M100ForConditionalGeneration,16,4.916760,12.131406,3.924884,19.346729,7.491069,3.112656,0.663132,4.009431,8.606422,15.358030
cuda,MBartForCausalLM,4,1.970008,6.916417,1.881133,9.867395,2.521553,1.153076,0.216595,1.316753,1.320991,6.231467
cuda,MBartForConditionalGeneration,2,4.951654,12.579782,4.867728,17.660575,7.331557,3.294147,0.813431,0.938326,0.504301,11.103416
cuda,MT5ForConditionalGeneration,16,4.966605,8.283977,3.097366,13.615030,5.684340,1.868959,0.449634,4.088304,20.639719,12.685159
cuda,MegatronBertForCausalLM,4,4.593360,7.516513,3.960769,11.304724,5.600890,2.415124,0.627987,1.157495,9.080339,0.389244
cuda,MegatronBertForQuestionAnswering,8,4.702456,7.342936,3.882266,11.179487,5.608067,2.354028,0.631871,1.381186,9.276180,0.521116
cuda,MobileBertForMaskedLM,64,10.605327,6.988454,5.086834,17.312804,8.832447,3.735127,1.931394,3.027865,18.751083,1.737977
cuda,MobileBertForQuestionAnswering,128,10.959476,7.127573,5.621876,18.940052,9.491983,4.190437,2.318414,2.735346,20.480131,1.007352
cuda,OPTForCausalLM,2,2.009758,5.731541,1.910249,8.718512,2.967299,1.311696,0.234740,1.473412,1.729466,6.450515
cuda,PLBartForCausalLM,8,0.959950,4.178227,0.937335,6.490969,1.682762,0.674056,0.105760,1.139299,1.205670,4.433928
cuda,PLBartForConditionalGeneration,4,2.626935,6.855969,2.590819,10.991452,4.136609,1.702841,0.354328,1.730097,1.686226,8.572975
cuda,PegasusForCausalLM,32,1.879193,6.091377,2.035964,9.467469,2.601433,1.225473,0.235165,1.758338,1.593466,7.253228
cuda,PegasusForConditionalGeneration,32,4.771226,11.068720,4.124935,16.773202,7.064567,3.022489,0.656677,2.228296,0.676714,12.267094
cuda,RobertaForCausalLM,16,2.366526,5.896302,1.763000,8.477947,3.158021,1.271625,0.240746,0.884148,0.722927,5.316684
cuda,RobertaForQuestionAnswering,16,2.516188,5.840509,1.758077,8.476979,3.129629,1.241404,0.239356,0.492216,4.974065
cuda,Speech2Text2ForCausalLM,256,1.018224,4.894204,0.800777,7.685927,1.266863,0.608585,0.098911,1.317529,1.105499,4.952674
cuda,T5ForConditionalGeneration,4,3.413146,6.976050,2.131137,12.890005,4.115566,1.399311,0.280177,2.496731,5.810276,10.865179
cuda,T5Small,4,3.338043,6.938009,2.102418,12.880435,4.100310,1.649351,0.278205,2.314618,5.620579,10.679290
cuda,XGLMForCausalLM,8,3.938366,11.480246,3.888314,17.473150,7.238904,2.478842,0.654502,4.133869,22.254517,14.195946
cuda,XLNetLMHeadModel,8,6.284137,101.026100,6.875075,105.094456,88.792413,2.777854,0.745641,7.899988,11.212143
cuda,YituTechConvBert,16,3.493488,8.743546,2.954124,14.304840,4.778855,1.853551,0.425853,5.882008,7.616386,14.534729
