dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.315914,3.804786,2.367859,8.228703,2.808690,1.137816,0.142219,6.879447,0.823914
cuda,AlbertForQuestionAnswering,4,2.306402,3.765136,2.314981,8.183513,2.787318,1.134728,0.140021,6.821206,0.431962
cuda,BartForCausalLM,4,2.316075,6.341099,2.641579,9.215181,3.268199,1.390580,0.265870,2.322019,5.616521
cuda,BartForConditionalGeneration,2,6.325237,13.488107,5.546923,19.878428,9.007368,3.467131,1.009326,1.153322,12.195827
cuda,BertForMaskedLM,16,2.880939,5.542915,2.659711,8.252460,3.634278,1.545943,0.294945,5.473557,1.443121
cuda,BertForQuestionAnswering,16,2.891552,5.255936,2.873768,7.834852,3.272552,1.843318,0.286574,5.559098,0.967561
cuda,BlenderbotForCausalLM,4,4.856385,8.963728,5.716497,15.233954,7.551928,2.968380,0.806477,12.191209,4.010710
cuda,BlenderbotSmallForCausalLM,64,1.579869,3.836910,1.602657,6.482470,2.651535,1.030554,0.164705,4.317071,2.497702
cuda,BlenderbotSmallForConditionalGeneration,64,4.275460,8.506089,3.613646,13.200253,6.086504,2.474206,0.578254,1.864036,8.835557
cuda,CamemBert,16,2.900479,5.356812,2.978429,7.985771,3.341382,1.863371,0.292018,5.716500,0.339612
cuda,DebertaForMaskedLM,4,7.537581,15.209273,3.355136,19.762216,5.902668,2.558273,0.340675,0.921023,8.133241
cuda,DebertaForQuestionAnswering,8,7.320819,15.578763,3.474701,20.149676,5.134187,2.795523,0.335278,1.797268,8.285425
cuda,DebertaV2ForMaskedLM,1,12.449075,18.025169,4.508235,24.077301,6.518828,3.903251,0.600016,1.564919,10.924074
cuda,DebertaV2ForQuestionAnswering,2,12.006855,24.096556,5.406242,29.919142,7.751495,4.095059,0.589297,0.556298,11.600219
cuda,DistilBertForMaskedLM,128,1.220198,3.198938,1.517627,5.185850,1.834525,0.839523,0.123094,3.562170,1.144213
cuda,DistilBertForQuestionAnswering,256,1.231215,3.369070,1.448316,5.180270,1.810929,0.834158,0.118155,3.466982,0.553311
cuda,DistillGPT2,16,1.319975,4.085620,1.077923,6.426353,1.929143,0.807336,0.110060,2.352344,3.464483
cuda,ElectraForCausalLM,32,2.981034,7.064158,2.661605,10.843029,3.990624,1.577719,0.294328,2.561317,6.550532
cuda,ElectraForQuestionAnswering,64,2.990890,5.351228,2.613966,7.913734,3.593801,1.532290,0.289142,5.565332,1.274950
cuda,GPT2ForSequenceClassification,4,2.795011,5.086217,2.077835,8.216157,3.692704,1.441654,0.252162,5.302695,1.401675
cuda,LayoutLMForMaskedLM,16,3.244109,5.353364,2.686298,8.028709,3.633023,1.539171,0.301357,5.743048,1.406697
cuda,LayoutLMForSequenceClassification,16,3.248032,5.265382,2.642941,9.218815,4.272707,1.772938,0.297476,6.995559,5.505605
cuda,M2M100ForConditionalGeneration,16,6.585090,13.029808,5.191129,21.698115,8.248566,3.813771,0.878912,12.367708,14.647437
cuda,MBartForCausalLM,4,2.382297,6.859709,2.794832,10.001559,3.461387,1.466283,0.289291,2.127366,6.038595
cuda,MBartForConditionalGeneration,2,6.383964,12.802173,5.724645,20.276372,9.624140,3.629599,1.154514,0.545820,13.462158
cuda,MT5ForConditionalGeneration,16,5.268959,9.376395,3.705543,15.842753,6.587665,2.188313,0.475870,19.464252,10.354760
cuda,MegatronBertForCausalLM,4,5.581143,9.900850,5.338829,15.008460,7.491113,3.431246,0.836587,10.659049,0.405706
cuda,MegatronBertForQuestionAnswering,8,5.715746,9.815957,5.316532,14.903865,7.845868,2.967572,0.833036,10.617321,0.482685
cuda,MobileBertForMaskedLM,64,13.342861,10.539719,6.890855,23.897469,13.221705,5.013354,2.885559,20.613586,1.710979
cuda,MobileBertForQuestionAnswering,128,13.419048,10.547774,6.931638,25.223087,13.663025,5.485396,3.212362,22.360425,1.018926
cuda,OPTForCausalLM,2,2.381619,5.760799,1.935551,9.272478,3.813425,1.555581,0.269026,2.436627,5.536249
cuda,PLBartForCausalLM,8,1.257862,4.732151,1.432795,7.066437,1.976662,0.810717,0.117434,1.490045,3.822552
cuda,PLBartForConditionalGeneration,4,3.321358,7.501698,3.351643,11.850335,4.907820,1.967517,0.397501,2.645582,7.832768
cuda,PegasusForCausalLM,32,2.559727,6.635375,2.477122,10.593495,3.781586,1.534878,0.296960,2.452530,6.538834
cuda,PegasusForConditionalGeneration,32,6.206824,12.316058,5.620377,21.068712,9.132649,4.442595,0.831373,0.644950,14.642562
cuda,RobertaForCausalLM,16,2.865299,6.029155,2.964345,8.456098,3.706698,1.562699,0.292663,0.713012,5.498911
cuda,RobertaForQuestionAnswering,16,2.858145,5.199939,2.555130,7.393119,3.509579,1.509124,0.288113,5.127152
cuda,Speech2Text2ForCausalLM,256,1.447251,4.884129,0.858064,7.626452,1.691017,0.736846,0.112792,1.328924,3.647417
cuda,T5ForConditionalGeneration,4,3.875764,7.291975,2.294046,11.425828,4.552770,1.575365,0.299604,6.448019,6.553605
cuda,T5Small,4,3.534910,7.177396,2.295311,11.312510,4.575495,1.574575,0.297140,6.328393,6.556493
cuda,TrOCRForCausalLM,32,2.344743,6.243341,2.650707,9.370523,3.381416,1.487289,0.283768,1.328738,5.878479
cuda,XGLMForCausalLM,8,5.094833,11.830025,5.700987,18.353100,7.978929,2.986835,0.783546,32.675301,12.454500
cuda,XLNetLMHeadModel,8,6.651640,120.008037,6.308607,126.453464,10.328107,110.134387,0.901761,7.958905,13.492446
