dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,12.358471,10.743093,4.755898,1.719497,9.130307,3.412381,1.213224,0.153295,1.472854,6.175254
cuda,AlbertForQuestionAnswering,4,11.979176,10.441976,4.613353,1.674517,9.118431,3.365726,1.199141,0.152075,1.099902,6.260135
cuda,AllenaiLongformerBase,4,62.140021,53.247367,32.755677,6.538542,40.561495,17.750538,6.079000,0.444577,3.161890,14.679431
cuda,BartForCausalLM,4,17.089986,13.870516,7.092995,2.038432,10.311654,3.728365,1.619962,0.275808,1.452429,5.358658
cuda,BartForConditionalGeneration,2,42.873156,35.030762,17.273186,6.093396,22.579280,9.777728,4.055384,1.063867,1.205919,11.668055
cuda,BertForMaskedLM,16,17.410138,13.862398,6.751422,2.553897,9.323816,3.685443,1.666027,0.295896,2.090032,5.235634
cuda,BertForQuestionAnswering,16,17.727843,14.366264,6.961668,2.625413,9.515713,3.765077,1.715592,0.293119,1.678093,5.292427
cuda,BlenderbotForCausalLM,4,32.853089,25.919631,12.916252,4.433171,17.521761,7.573972,3.189850,0.688231,4.278592,9.241124
cuda,BlenderbotSmallForCausalLM,64,11.391007,9.385663,4.813946,1.502789,7.131911,2.775037,1.106880,0.171926,3.890490,2.059460
cuda,BlenderbotSmallForConditionalGeneration,64,28.082059,22.816111,11.196823,3.715910,15.264342,6.933036,2.760431,0.602965,1.826126,7.961069
cuda,CamemBert,16,16.808209,13.612445,6.640621,2.537308,9.135199,3.658180,1.665101,0.291411,0.993688,5.139277
cuda,DebertaForMaskedLM,4,31.326290,24.741137,15.432133,2.845325,19.346352,5.736588,2.305252,0.368178,2.500623,6.986731
cuda,DebertaForQuestionAnswering,8,30.667003,24.179951,15.030362,2.700948,19.178054,5.242368,2.505108,0.361405,2.780709,7.074636
cuda,DebertaV2ForMaskedLM,1,43.919147,31.519584,17.018405,3.575463,20.289114,5.911514,2.886708,0.617462,1.707452,7.373115
cuda,DebertaV2ForQuestionAnswering,2,44.170326,32.519330,17.787132,4.253440,21.690164,7.232146,3.875787,0.636704,0.507149,8.967585
cuda,DistilBertForMaskedLM,128,10.849646,9.374295,5.396237,1.111731,7.046427,2.137831,0.900112,0.130892,3.729424,3.038652
