,Compiler,torchbench,huggingface,timm_models
eager,eager,"100%, 52/52","100%, 44/44","100%, 61/61"
aot_eager,aot_eager,"96%, 50/52","98%, 43/44","100%, 61/61"
aot_cudagraphs,aot_cudagraphs,"85%, 44/52","84%, 37/44","75%, 46/61"
aot_nvfuser,aot_nvfuser,"63%, 33/52","2%, 1/44","95%, 58/61"
inductor,inductor,"75%, 39/52","91%, 40/44","92%, 56/61"
