dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,16.073556,14.395979,6.999883,2.645802,10.476151,4.313824,1.657219,0.320810,9.001351,6.235665
cuda,Background_Matting,4,15.489474,14.507267,7.785524,3.084447,11.206332,6.002911,2.532753,0.283525,6.605207
cuda,LearningToPaint,96,7.205892,6.762034,3.712023,1.465794,4.412647,1.415854,0.657546,0.094498,2.209039
cuda,Super_SloMo,6,16.088524,14.896883,8.727256,3.288970,11.335257,6.123237,2.283712,0.140367,5.993017
cuda,alexnet,128,2.232276,2.135176,1.752766,0.236541,3.141186,0.996657,0.285980,0.016081,1.631781
cuda,attention_is_all_you_need_pytorch,256,17.513216,16.067568,8.093056,2.606322,10.721362,4.540374,1.823187,0.368068,9.530390,5.359025
cuda,dcgan,32,2.156240,2.049183,1.554759,0.220183,2.178936,0.224439,0.093783,0.013572,0.852726
cuda,demucs,4,0.277371
cuda,densenet121,4,39.805164,37.474493,19.657177,7.448062,25.136878,14.811812,4.770053,0.753736,13.829585
cuda,drq,1,2.568024,2.377399,1.888074,0.153662,3.011758,0.179913,0.089093,0.015780,1.285741
cuda,fastNLP_Bert,6,17.246483,15.419809,8.412597,2.352854,11.389525,3.743315,1.710356,0.307996,4.335031,5.711717
cuda,functorch_dp_cifar10,64,6.022956,5.770086,3.313805,1.533377,5.745813,2.177369,0.716998,0.074256,4.009407,3.152497
cuda,hf_Albert,8,11.969434,10.371674,3.731795,1.981258,6.969348,3.063818,1.181141,0.147496,5.569654,2.302998
cuda,hf_Bart,4,20.501979,18.413796,8.799013,3.085760,12.814752,4.454176,2.030375,0.405266,4.212090,7.234056
cuda,hf_Bert,4,14.182261,12.355202,5.206379,2.071703,8.079350,3.659806,1.544291,0.291709,5.039946,0.413922
cuda,hf_DistilBert,8,7.705199,6.936808,3.287193,1.255067,5.396921,1.857498,0.826834,0.123503,3.415820,1.840979
cuda,hf_GPT2,4,13.453944,11.667570,5.312930,2.222219,8.238153,3.652062,1.444952,0.255203,5.241902,1.833236
cuda,hf_GPT2_large,4,39.505280,33.936024,15.225048,7.346259,22.221044,11.414607,4.225566,1.247671,14.613784,1.353464
cuda,hf_Longformer,2,132.465807,125.687499,109.094392,7.635546,115.430271,93.354907,5.429858,0.414028,0.737959,14.285341
cuda,hf_Reformer,4,11.496911,9.503204,8.185626,0.797213,9.008019,1.418573,0.632022,0.056484,3.162958,1.657372
cuda,hf_T5,8,17.631323,15.158189,7.207150,2.620922,10.850671,4.220832,1.613901,0.295875,5.972198,6.386483
cuda,hf_T5_large,2,68.122363,56.106699,23.418203,10.129373,38.442503,21.353684,6.160144,2.297126,23.758968,25.666569
cuda,lennard_jones,1000,1.356649,1.284818,0.991912,0.076840,1.554651,0.077466,0.048633,0.006819,0.644373
