dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,16.597925,14.899879,7.160916,2.722099,10.489988,4.046402,1.672400,0.326794,0.000006,8.975983,6.164882
cuda,Background_Matting,4,15.272350,14.307161,7.693224,3.053065,11.152596,5.994290,2.545483,0.281211,0.490785,7.109804
cuda,LearningToPaint,96,6.739111,6.332857,3.632987,1.117500,4.334091,1.415029,0.665671,0.095244,0.276626,2.138514
cuda,Super_SloMo,6,16.246531,15.052454,8.847462,3.345733,11.619354,6.182636,2.312200,0.143989,0.398438,6.611557
cuda,alexnet,128,2.192984,2.103986,1.723341,0.231544,2.923806,0.824028,0.292558,0.016395,0.136888,1.575360
cuda,attention_is_all_you_need_pytorch,256,17.542863,16.090739,8.101137,2.639929,10.755045,4.516459,1.847409,0.401975,0.404825,9.551735,5.823718
cuda,dcgan,32,2.062878,1.967769,1.484581,0.215003,2.074078,0.223993,0.091766,0.013855,0.113653,0.926689
cuda,demucs,4,0.280846
cuda,densenet121,4,40.162509,37.802564,19.834717,7.513956,25.307816,14.966789,4.792234,0.769939,0.874300,14.145122
cuda,drq,1,2.599560,2.406851,1.902788,0.155402,2.956600,0.179756,0.089810,0.015898,0.398654,1.617830
cuda,fastNLP_Bert,6,17.031977,15.216612,8.351871,2.151819,11.489311,4.001068,1.702847,0.303127,0.794952,4.345466,6.189430
cuda,functorch_dp_cifar10,64,6.107752,5.852566,3.420530,1.372938,5.872900,2.191043,0.715894,0.074661,3.582048,7.451722,3.413038
cuda,hf_Albert,8,11.706257,10.147682,3.686855,1.977291,6.914237,3.053054,1.182022,0.148195,3.332000,8.627995,2.991046
cuda,hf_Bart,4,20.502808,18.430193,8.848813,2.759163,13.237876,4.814385,2.049480,0.406542,3.287063,4.108356,10.571672
cuda,hf_Bert,4,14.183957,12.371472,5.281090,2.079169,8.099574,3.640765,1.537104,0.294269,0.786931,5.784954,0.416231
cuda,hf_DistilBert,8,7.511139,6.768702,3.283942,1.238793,5.274626,1.652821,0.829196,0.128652,2.137103,5.418740,1.876649
cuda,hf_GPT2,4,13.216576,11.470777,5.214551,2.259641,8.134274,3.575125,1.465397,0.258148,2.256827,7.532365,1.858240
cuda,hf_Longformer,2,178.723948,171.823485,155.734188,7.413608,161.467135,139.992108,4.715319,0.418483,17.599947,0.737780,31.103837
cuda,hf_Reformer,4,11.746592,9.961581,8.699144,0.804889,9.362674,1.269512,0.644622,0.056231,2.377120,3.184602,3.886362
cuda,hf_T5,8,17.859144,15.382787,7.269010,2.374428,11.209537,4.582438,1.613635,0.295579,2.618785,5.792104,9.062631
