dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,101.6407,128,1.0,1.0,1185.0,1186.0,0.9992,0.3761
cuda,huggingface,MobileBertForQuestionAnswering,63.7469,32,1.0,1.0,1647.0,1647.0,1.0,0.9991
cuda,huggingface,MobileBertForMaskedLM,62.5619,16,1.0,1.0,1666.0,1666.0,1.0,0.9992
cuda,timm_models,nasnetalarge,28.2769,16,1.0,1.0,1530.0,1530.0,1.0,0.9996
cuda,timm_models,pnasnet5large,21.3745,16,1.0,1.0,1153.0,1153.0,1.0,0.9995
cuda,timm_models,hrnet_w18,17.9771,128,1.0,1.0,1471.0,1471.0,1.0,0.9996
cuda,timm_models,dpn107,16.2633,64,1.0,1.0,977.0,977.0,1.0,0.9988
cuda,huggingface,MegatronBertForCausalLM,15.7553,8,1.0,1.0,769.0,769.0,1.0,0.9985
cuda,huggingface,MegatronBertForQuestionAnswering,15.7375,8,1.0,1.0,792.0,792.0,1.0,0.9987
cuda,timm_models,tf_mixnet_l,15.4915,128,1.0,1.0,489.0,489.0,1.0,0.9988
cuda,torchbench,yolov3,15.1349,16,5.0,3.0,323.0,324.0,0.9969,0.9962
cuda,huggingface,XLNetLMHeadModel,13.8144,8,1.0,1.0,975.0,975.0,1.0,0.9995
cuda,torchbench,vision_maskrcnn,13.738,4,245.0,265.0,3983.0,12173.0,0.3272,0.4698
cuda,huggingface,MT5ForConditionalGeneration,12.6381,4,1.0,1.0,1250.0,1250.0,1.0,0.998
cuda,timm_models,mixnet_l,11.9285,128,1.0,1.0,474.0,474.0,1.0,0.9987
cuda,torchbench,timm_regnet,10.5964,32,1.0,1.0,447.0,447.0,1.0,0.9988
cuda,huggingface,MBartForConditionalGeneration,9.9007,8,1.0,1.0,1316.0,1316.0,1.0,0.9992
cuda,huggingface,BartForConditionalGeneration,9.8111,2,1.0,1.0,1294.0,1294.0,1.0,0.9991
cuda,timm_models,swin_base_patch4_window7_224,9.7354,64,1.0,1.0,1346.0,1346.0,1.0,0.9991
cuda,torchbench,maml,9.7208,1,23.0,23.0,749.0,1190.0,0.6294,0.5857
cuda,torchbench,hf_Longformer,9.516,1,4.0,4.0,3311.0,3313.0,0.9994,0.9951
cuda,huggingface,AllenaiLongformerBase,9.2,1,4.0,4.0,3345.0,3347.0,0.9994,0.9956
cuda,timm_models,dm_nfnet_f0,9.0456,128,1.0,1.0,590.0,590.0,1.0,0.9981
cuda,timm_models,fbnetv3_b,9.0419,128,1.0,1.0,456.0,456.0,1.0,0.9983
cuda,torchbench,timm_nfnet,8.8613,128,1.0,1.0,590.0,590.0,1.0,0.9985
cuda,timm_models,gluon_senet154,8.7176,64,1.0,1.0,979.0,979.0,1.0,0.9994
cuda,huggingface,YituTechConvBert,7.8299,1,1.0,1.0,679.0,679.0,1.0,0.9984
cuda,timm_models,cait_m36_384,7.8057,4,1.0,1.0,1368.0,1368.0,1.0,0.9993
cuda,huggingface,BigBird,7.6089,1,64.0,75.0,5457.0,5526.0,0.9875,0.9719
cuda,torchbench,hf_BigBird,7.5761,1,64.0,75.0,5437.0,5516.0,0.9857,0.9687
cuda,timm_models,resnest101e,7.292,64,1.0,1.0,1006.0,1006.0,1.0,0.9994
cuda,huggingface,T5ForConditionalGeneration,7.2575,4,1.0,1.0,863.0,863.0,1.0,0.9987
cuda,huggingface,GPTNeoForSequenceClassification,7.2053,4,2.0,2.0,1276.0,1277.0,0.9992,0.9995
cuda,huggingface,T5Small,7.1965,1,1.0,1.0,870.0,870.0,1.0,0.9983
cuda,huggingface,GPTNeoForCausalLM,7.1545,4,1.0,1.0,1276.0,1276.0,1.0,0.9996
cuda,torchbench,hf_T5,6.9859,1,1.0,1.0,859.0,859.0,1.0,0.9976
cuda,timm_models,densenet121,6.3614,128,13.0,13.0,565.0,571.0,0.9895,0.9959
cuda,huggingface,DebertaV2ForMaskedLM,6.3303,4,163.0,99.0,956.0,1037.0,0.9219,0.7837
cuda,huggingface,DebertaV2ForQuestionAnswering,6.3273,4,163.0,99.0,959.0,1042.0,0.9203,0.7855
cuda,timm_models,cspdarknet53,6.2668,64,1.0,1.0,305.0,305.0,1.0,0.9975
cuda,timm_models,xcit_large_24_p8_224,6.2123,11,1.0,1.0,1307.0,1307.0,1.0,0.9992
cuda,huggingface,PegasusForConditionalGeneration,6.0237,8,7.0,7.0,1306.0,1309.0,0.9977,0.9983
cuda,huggingface,XGLMForCausalLM,6.0176,4,4.0,4.0,1001.0,1003.0,0.998,0.9977
cuda,huggingface,M2M100ForConditionalGeneration,5.8287,4,7.0,7.0,1320.0,1321.0,0.9992,0.997
cuda,timm_models,twins_pcpvt_base,5.806,128,1.0,1.0,1063.0,1063.0,1.0,0.9987
cuda,timm_models,nfnet_l0,5.5059,128,1.0,1.0,521.0,521.0,1.0,0.9978
cuda,timm_models,legacy_senet154,5.4528,64,1.0,1.0,979.0,979.0,1.0,0.9994
cuda,timm_models,res2net101_26w_4s,5.3562,128,1.0,1.0,842.0,842.0,1.0,0.9992
cuda,timm_models,poolformer_m36,5.302,64,1.0,1.0,621.0,621.0,1.0,0.9986
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.2064,64,1.0,1.0,874.0,874.0,1.0,0.9986
cuda,huggingface,LayoutLMForMaskedLM,5.0214,16,1.0,1.0,455.0,455.0,1.0,0.9974
cuda,timm_models,gernet_l,5.0034,128,1.0,1.0,246.0,246.0,1.0,0.9964
