,Compiler,torchbench,huggingface,timm_models
eager,eager,0.99x,1.00x,0.99x
aot_eager,aot_eager,0.85x,0.90x,0.88x
inductor,inductor,0.84x,0.90x,0.97x
inductor_no_cudagraphs,inductor_no_cudagraphs,1.01x,1.08x,1.09x
