dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.635179,6.928204,3.969718,9.988150,4.022033,1.540285,0.326685,11.201301,7.506887
cuda,Background_Matting,4,1.547840,5.143525,2.463283,8.746215,4.523084,1.912694,0.204428,6.148762
cuda,LearningToPaint,96,0.681173,2.733776,1.065338,3.918315,1.374240,0.518096,0.075273,2.287793
cuda,Super_SloMo,6,1.522703,6.894529,2.668659,8.390451,4.085061,1.554178,0.115968,4.234834
cuda,alexnet,128,0.134450,1.573374,0.215216,2.480819,0.446304,0.188362,0.014737,1.129058
cuda,attention_is_all_you_need_pytorch,256,2.106797,7.700301,3.761758,10.386877,4.059875,1.707967,0.387624,16.327997,6.571063
cuda,dcgan,32,0.134629,1.955014,0.214399,2.574276,0.211425,0.088480,0.012947,6.375423,0.840762
cuda,demucs,4,0.283614
cuda,densenet121,4,3.924997,14.753340,9.518118,22.033381,12.951299,4.170842,0.646963,17.613924
cuda,dlrm,2048,0.420474,1.138533,0.185076,2.219635,0.382386,0.262224,0.015613,1.274153
cuda,drq,1,0.239110,1.740981,0.161350,2.725686,0.150754,0.074875,0.014806,1.154543
cuda,fastNLP_Bert,6,2.662985,8.702353,3.338769,12.022662,3.793197,1.634620,0.313693,6.227147,6.766902
cuda,functorch_dp_cifar10,64,0.399454,3.866844,1.500576,6.370321,2.251667,0.753227,0.069115,11.911073,4.049145
cuda,hf_Albert,8,2.113662,3.841555,2.519863,7.479574,3.539944,1.137232,0.161815,6.243635,3.776516
cuda,hf_Bart,4,3.008286,9.320524,4.327100,13.662271,5.313700,2.000386,0.425024,4.783940,9.066392
cuda,hf_Bert,4,2.541846,5.443667,3.605899,8.014151,3.506753,1.477619,0.311990,6.284764,2.150459
cuda,hf_BigBird,2,11.481307,6.992535,1.923846,10.859148,2.957663,1.261604,0.223395,5.904365,0.372334
cuda,hf_DistilBert,8,1.132019,3.413306,1.572969,5.468026,1.966470,0.787580,0.134654,3.681206,3.321623
cuda,hf_GPT2,4,2.566825,5.022844,2.783101,7.318922,2.735932,1.326832,0.243809,5.175514,1.811433
cuda,hf_GPT2_large,4,8.216275,15.598031,10.871634,20.108826,10.341112,3.903153,1.260289,15.663827,1.511799
cuda,hf_Reformer,4,2.282724,8.185229,0.753498,8.868366,1.386338,0.758042,0.055907,3.149931,1.480806
