dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,adv_inception_v3,128,6.086018,0.000168
cuda,beit_base_patch16_224,64,4.165558,0.000225
cuda,botnet26t_256,128,3.104388,0.000296
cuda,cait_m36_384,4,13.863173,0.000470
cuda,coat_lite_mini,128,3.563390,0.000199
cuda,convit_base,64,3.871138,0.000218
cuda,convmixer_768_32,32,1.709261,0.000141
cuda,convnext_base,64,7.265663,0.000249
cuda,crossvit_9_240,128,5.978848,0.000247
cuda,cspdarknet53,64,6.086772,0.000498
cuda,deit_base_distilled_patch16_224,64,3.353194,0.000177
cuda,dla102,128,6.897333,0.000193
cuda,dm_nfnet_f0,128,6.124943,0.000289
cuda,dpn107,32,9.973253,0.000890
cuda,eca_botnext26ts_256,128,3.276683,0.000322
cuda,ese_vovnet19b_dw,128,2.640605,0.000255
cuda,fbnetc_100,128,5.157625,0.000510
cuda,fbnetv3_b,128,8.526868,0.000658
cuda,gernet_l,128,5.031175,0.000463
cuda,ghostnet_100,128,7.906046,0.000188
cuda,gluon_inception_v3,128,6.265343,0.000164
cuda,gluon_xception65,32,8.177820,0.000171
cuda,gmixer_24_224,128,6.005839,0.000247
cuda,gmlp_s16_224,128,6.014856,0.000205
cuda,hrnet_w18,128,10.057087,0.000546
cuda,inception_v3,128,6.173102,0.000167
cuda,jx_nest_base,32,6.778736,0.000353
cuda,lcnet_050,128,2.492256,0.000246
cuda,mixer_b16_224,128,3.050682,0.000142
cuda,mixnet_l,128,8.813177,0.000522
cuda,mnasnet_100,128,4.007800,0.000459
cuda,mobilenetv2_100,128,4.068884,0.000453
cuda,mobilenetv3_large_100,128,4.362204,0.000363
cuda,mobilevit_s,64,5.443525,0.000400
cuda,nfnet_l0,128,5.472131,0.000295
cuda,pit_b_224,64,3.871583,0.000220
cuda,pnasnet5large,16,8.547651,0.000413
cuda,poolformer_m36,64,7.863505,0.000335
cuda,regnety_002,128,4.788253,0.000359
cuda,repvgg_a2,128,4.895458,0.000460
cuda,res2net101_26w_4s,64,10.953395,0.000305
cuda,res2net50_14w_8s,128,9.344074,0.000282
cuda,res2next50,128,5.415279,0.000194
cuda,resmlp_12_224,128,2.919097,0.000212
cuda,resnest101e,64,11.527854,0.000399
cuda,rexnet_100,128,5.715283,0.000407
cuda,sebotnet33ts_256,64,4.362250,0.000403
cuda,selecsls42b,128,2.648675,0.000133
cuda,spnasnet_100,128,5.049206,0.000490
cuda,swin_base_patch4_window7_224,64,8.688594,0.000456
cuda,swsl_resnext101_32x16d,32,6.604572,0.000235
cuda,tf_efficientnet_b0,128,5.268292,0.000397
cuda,tf_mixnet_l,128,9.319107,0.000516
cuda,tinynet_a,128,5.977130,0.000432
cuda,tnt_s_patch16_224,128,7.293652,0.000301
cuda,twins_pcpvt_base,64,10.959992,0.000353
cuda,visformer_small,128,2.827885,0.000171
cuda,vit_base_patch16_224,64,3.350683,0.000179
cuda,volo_d1_224,64,5.376590,0.000278
cuda,xcit_large_24_p8_224,5,12.690645,0.000432
