dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,squeezenet1_1,32,12.097203,11.317736,6.857785,5.531945,0.517947,11.723617,1.633461,0.861530,0.059558,10.080592,16.828587,9.881290
cuda,timm_efficientdet,1,107.072137,88.314888,83.555317,48.041495,15.240058,76.021012,23.784558,8.960674,1.631164,83.624063,138.590436,127.859773
cuda,timm_efficientnet,32,38.992592,34.767212,30.281394,20.135514,3.873459,30.757574,6.247140,2.890156,0.343524,64.415490,101.900007,79.209029
cuda,timm_nfnet,128,34.018472,29.329934,24.852437,14.135671,4.528321,24.093137,6.443349,2.823326,0.352607,25.139464,31.493877,39.929367
cuda,timm_regnet,32,37.453744,32.185858,27.500217,16.345574,4.121438,23.402072,6.046753,2.937578,0.424767,25.323139,30.261264,37.079066
cuda,timm_resnest,32,24.327895,22.858000,18.401070,14.282762,1.711122,22.249980,3.607498,1.750177,0.120636,46.989704,76.046082,56.788558
cuda,timm_vision_transformer,8,27.878244,25.282565,20.844580,14.400513,6.299295,24.296997,3.798820,2.267413,0.269643,10.337064,17.103653,26.894292
cuda,timm_vision_transformer_large,8,65.099128,54.837220,50.245812,28.715101,20.503724,75.449682,13.822556,6.652195,1.689944,9.832007,13.652696,78.026119
cuda,timm_vovnet,32,26.267582,23.634304,19.184088,13.088265,2.369830,21.801821,4.488311,2.128481,0.183005,17.188759,31.941627,28.453004
cuda,tts_angular,64,7.375081,7.070189,3.438084,3.153079,0.277683,4.051013,0.109058,0.077168,0.005969,0.101597,1.291014
cuda,vgg16,64,10.333581,9.789131,5.447076,4.477537,0.824976,9.420664,1.083103,0.510166,0.035399,4.923499,10.716882,4.690701
cuda,yolov3,16,44.261456,40.030121,35.567052,22.863513,4.645720,32.748178,7.895133,4.322665,0.416063,31.796017,68.733568,46.696414
