dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.4343,112.9945,47.4491,1.0112
cuda,beit_base_patch16_224,64,1.2603,107.6386,25.7396,1.0598
cuda,botnet26t_256,128,1.3051,79.5344,30.2725,0.9926
cuda,cait_m36_384,4,1.1551,145.4365,90.8318,0.9292
cuda,coat_lite_mini,128,1.9125,60.7472,73.4474,1.0201
cuda,convit_base,64,1.5888,114.5151,32.9912,1.1769
cuda,convmixer_768_32,32,1.0499,282.5271,27.8826,0.9863
cuda,convnext_base,64,1.4882,82.0710,61.2722,1.0012
cuda,crossvit_9_240,128,1.4288,76.6424,47.2902,1.1033
cuda,cspdarknet53,64,1.3286,68.3180,32.4787,1.0260
cuda,deit_base_distilled_patch16_224,64,1.2532,75.5389,27.1341,1.0313
cuda,dla102,128,1.5148,118.0994,46.8553,1.0154
cuda,dm_nfnet_f0,128,1.4692,89.7732,31.3339,1.0382
cuda,dpn107,32,1.1442,93.2392,57.1386,0.9385
cuda,eca_botnext26ts_256,128,1.2714,86.3628,36.6248,1.2543
cuda,eca_halonext26ts,0,0.0000
cuda,ese_vovnet19b_dw,128,1.3431,49.0724,17.0965,1.0631
cuda,fbnetc_100,128,1.3597,61.6759,30.4671,0.9866
cuda,fbnetv3_b,128,1.3716,84.0396,51.9256,1.0376
cuda,gernet_l,128,1.0684,70.8659,25.2440,0.9598
cuda,ghostnet_100,128,1.6468,56.5596,47.8705,1.0608
cuda,gluon_inception_v3,128,1.4464,112.8746,46.4719,1.0112
cuda,gluon_xception65,32,1.0899,90.3910,54.3125,0.9707
cuda,gmixer_24_224,128,1.5213,79.0116,40.3664,1.3963
cuda,gmlp_s16_224,128,1.5397,88.5601,42.0015,1.3469
cuda,hrnet_w18,128,1.3646,212.4210,135.6419,1.0034
cuda,inception_v3,128,1.4317,112.8992,46.8995,1.0112
cuda,jx_nest_base,32,1.3092,91.2399,63.3580,0.9919
cuda,lcnet_050,128,1.5397,19.8495,18.2332,0.9391
cuda,mixer_b16_224,128,1.3173,90.6554,23.2833,0.9807
cuda,mixnet_l,128,1.1649,157.3103,43.3801,1.0200
cuda,mnasnet_100,128,1.4352,46.5780,25.3632,0.9773
cuda,mobilenetv2_100,128,1.4065,45.8420,25.9236,1.1511
cuda,mobilenetv3_large_100,128,1.4366,43.8204,27.9469,1.0232
cuda,mobilevit_s,64,1.3590,64.4841,64.7540,1.3168
cuda,nfnet_l0,128,1.4926,70.9597,30.8051,1.1895
cuda,pit_b_224,64,1.3102,118.0431,26.8042,1.2022
cuda,pnasnet5large,16,1.0104,204.2843,93.5320,1.3091
cuda,poolformer_m36,64,1.2568,118.7413,55.3132,1.4048
cuda,regnety_002,128,1.4295,29.7048,25.7642,1.0011
cuda,repvgg_a2,128,1.1457,65.6952,25.2739,0.9537
cuda,res2net101_26w_4s,64,1.1392,90.7584,82.6313,0.9434
cuda,res2net50_14w_8s,128,1.3540,108.2408,74.6595,0.9622
cuda,res2next50,128,1.3146,105.6593,41.3494,0.9551
cuda,resmlp_12_224,128,1.1469,59.6570,24.3052,1.0356
cuda,resnest101e,64,1.3714,120.1994,88.2615,1.1493
cuda,rexnet_100,128,1.2425,70.8567,37.3219,1.4114
cuda,sebotnet33ts_256,64,1.1553,69.6736,38.9830,1.1990
cuda,selecsls42b,128,1.3844,45.3859,22.1971,0.9588
cuda,spnasnet_100,128,1.3710,52.9647,30.1535,0.9803
cuda,swin_base_patch4_window7_224,64,1.5088,98.1874,81.9804,0.9132
cuda,swsl_resnext101_32x16d,32,1.0324,116.0472,44.8540,0.9154
cuda,tf_efficientnet_b0,128,1.3118,66.6698,32.1626,1.3511
cuda,tf_mixnet_l,128,1.1763,162.6616,44.1856,1.0998
cuda,tinynet_a,128,1.2192,58.9485,37.2468,1.4999
cuda,tnt_s_patch16_224,128,2.0663,175.8294,46.2332,1.1646
cuda,twins_pcpvt_base,64,1.7954,71.4569,100.8029,1.0872
cuda,visformer_small,128,1.1265,87.2879,30.7338,1.3452
cuda,vit_base_patch16_224,64,1.1753,102.9486,26.5122,1.0295
cuda,volo_d1_224,64,1.5830,85.1730,44.9948,1.1445
cuda,xcit_large_24_p8_224,5,1.7749,71.2734,90.3546,0.9100
